Moved to 1204, 1510 at time 1607904712462
Moved to 1203, 1509 at time 1607904712823
Moved to 1202, 1508 at time 1607904713028
Moved to 1201, 1507 at time 1607904713225
Moved to 1200, 1506 at time 1607904725561
Moved to 1199, 1505 at time 1607904725833
Moved to 1198, 1504 at time 1607904725999
Moved to 1197, 1503 at time 1607904726175
Moved to 1196, 1502 at time 1607904750466
Moved to 1195, 1501 at time 1607904750633
Moved to 1194, 1500 at time 1607904750876
Moved to 1193, 1499 at time 1607904750999
Moved to 1192, 1498 at time 1607904751162
Moved to 1191, 1497 at time 1607904751325
Moved to 1190, 1496 at time 1607904751430
Moved to 1189, 1495 at time 1607904751546
Moved to 1188, 1494 at time 1607904751699
Moved to 1187, 1493 at time 1607904751809
Moved to 1186, 1492 at time 1607904751988
Moved to 1185, 1491 at time 1607904752129
Moved to 1184, 1490 at time 1607904752241
Moved to 1183, 1489 at time 1607904752385
Moved to 1182, 1488 at time 1607904752515
Moved to 1181, 1487 at time 1607904752681
Moved to 1180, 1486 at time 1607904752800
Moved to 1179, 1485 at time 1607904752942
Moved to 1178, 1484 at time 1607904753049
Moved to 1177, 1483 at time 1607904753196
Moved to 1176, 1482 at time 1607904753322
Moved to 1175, 1481 at time 1607904753467
Moved to 1174, 1480 at time 1607904753604
Moved to 1173, 1479 at time 1607904753725
Moved to 1172, 1478 at time 1607904753831
Moved to 1171, 1477 at time 1607904753951
Moved to 1170, 1476 at time 1607904754201
Moved to 1169, 1475 at time 1607904754316
Moved to 1168, 1474 at time 1607904754449
Moved to 1167, 1473 at time 1607904754584
Moved to 1166, 1472 at time 1607904754719
Moved to 1165, 1471 at time 1607904754860
Moved to 1164, 1470 at time 1607904754977
Moved to 1163, 1469 at time 1607904755092
Moved to 1162, 1468 at time 1607904755194
Moved to 1161, 1467 at time 1607904755297
Moved to 1160, 1466 at time 1607904755399
Moved to 1159, 1465 at time 1607904755529
Moved to 1158, 1464 at time 1607904755632
Moved to 1157, 1463 at time 1607904755735
Moved to 1156, 1462 at time 1607904755861
Moved to 1155, 1461 at time 1607904756100
Moved to 1154, 1460 at time 1607904756211
Moved to 1153, 1459 at time 1607904756334
Moved to 1152, 1458 at time 1607904756446
Moved to 1151, 1457 at time 1607904756590
Moved to 1150, 1456 at time 1607904756731
Moved to 1149, 1455 at time 1607904756881
Moved to 1148, 1454 at time 1607904757045
Moved to 1147, 1453 at time 1607904757183
Moved to 1146, 1452 at time 1607904757300
Moved to 1145, 1451 at time 1607904757412
Moved to 1144, 1450 at time 1607904757534
Moved to 1143, 1449 at time 1607904757667
Moved to 1142, 1448 at time 1607904757801
Moved to 1141, 1447 at time 1607904757928
Moved to 1140, 1446 at time 1607904758063
Moved to 1139, 1445 at time 1607904758167
Moved to 1138, 1444 at time 1607904758284
Moved to 1137, 1443 at time 1607904758387
Moved to 1136, 1442 at time 1607904758523
Moved to 1135, 1441 at time 1607904758629
Moved to 1134, 1440 at time 1607904758735
Moved to 1133, 1439 at time 1607904758840
Moved to 1132, 1438 at time 1607904758942
Moved to 1131, 1437 at time 1607904759082
Moved to 1130, 1436 at time 1607904759190
Moved to 1129, 1435 at time 1607904759316
Moved to 1128, 1434 at time 1607904759450
Moved to 1127, 1433 at time 1607904759580
Moved to 1126, 1432 at time 1607904759700
Moved to 1125, 1431 at time 1607904759830
Moved to 1124, 1430 at time 1607904759946
Moved to 1123, 1429 at time 1607904760087
Moved to 1122, 1428 at time 1607904760196
Moved to 1121, 1427 at time 1607904760325
Moved to 1120, 1426 at time 1607904760448
Moved to 1119, 1425 at time 1607904760573
Moved to 1118, 1424 at time 1607904760694
Moved to 1117, 1423 at time 1607904760812
Moved to 1116, 1422 at time 1607904760934
Moved to 1115, 1421 at time 1607904761036
Moved to 1114, 1420 at time 1607904761152
Moved to 1113, 1419 at time 1607904761283
Moved to 1112, 1418 at time 1607904761390
Moved to 1111, 1417 at time 1607904761498
Moved to 1110, 1416 at time 1607904761616
Moved to 1109, 1415 at time 1607904761734
Moved to 1108, 1414 at time 1607904761845
Moved to 1107, 1413 at time 1607904761957
Moved to 1106, 1412 at time 1607904762060
Moved to 1105, 1411 at time 1607904762162
Moved to 1104, 1410 at time 1607904762264
Moved to 1103, 1409 at time 1607904762365
Moved to 1102, 1408 at time 1607904762495
Moved to 1101, 1407 at time 1607904762614
Moved to 1100, 1406 at time 1607904762738
Moved to 1099, 1405 at time 1607904762880
Moved to 1098, 1404 at time 1607904763033
Moved to 1097, 1403 at time 1607904763136
Moved to 1096, 1402 at time 1607904763244
Moved to 1095, 1401 at time 1607904763350
Moved to 1094, 1400 at time 1607904763552
Moved to 1093, 1399 at time 1607904763656
Moved to 1092, 1398 at time 1607904763757
Moved to 1091, 1397 at time 1607904763858
Moved to 1090, 1396 at time 1607904763960
Moved to 1089, 1395 at time 1607904764096
Moved to 1088, 1394 at time 1607904764207
Moved to 1087, 1393 at time 1607904764323
Moved to 1086, 1392 at time 1607904764433
Moved to 1085, 1391 at time 1607904764535
Moved to 1084, 1390 at time 1607904764640
Moved to 1083, 1389 at time 1607904764741
Moved to 1082, 1388 at time 1607904764843
Moved to 1081, 1387 at time 1607904764945
Moved to 1080, 1386 at time 1607904765048
Moved to 1079, 1385 at time 1607904765152
Moved to 1078, 1384 at time 1607904765254
Moved to 1077, 1383 at time 1607904765356
Moved to 1076, 1382 at time 1607904765458
Moved to 1075, 1381 at time 1607904765559
Moved to 1074, 1380 at time 1607904765663
Moved to 1073, 1379 at time 1607904765764
Moved to 1072, 1378 at time 1607904765868
Moved to 1071, 1377 at time 1607904765969
Moved to 1070, 1376 at time 1607904766072
Moved to 1069, 1375 at time 1607904766173
Moved to 1068, 1374 at time 1607904766277
Moved to 1067, 1373 at time 1607904766380
Moved to 1066, 1372 at time 1607904766481
Moved to 1065, 1371 at time 1607904766582
Moved to 1064, 1370 at time 1607904766683
Moved to 1063, 1369 at time 1607904766784
Moved to 1062, 1368 at time 1607904766885
Moved to 1061, 1367 at time 1607904766988
Moved to 1060, 1366 at time 1607904767091
Moved to 1059, 1365 at time 1607904767192
Moved to 1058, 1364 at time 1607904767294
Moved to 1057, 1363 at time 1607904767397
Moved to 1056, 1362 at time 1607904767500
Moved to 1055, 1361 at time 1607904767601
Moved to 1054, 1360 at time 1607904767703
Moved to 1053, 1359 at time 1607904767808
Moved to 1052, 1358 at time 1607904767909
Moved to 1051, 1357 at time 1607904768011
Moved to 1050, 1356 at time 1607904768126
