Moved to 968, 493 at time 1607870162142
Moved to 967, 492 at time 1607870162226
Moved to 966, 491 at time 1607870162295
Moved to 965, 490 at time 1607870162324
Moved to 964, 489 at time 1607870162406
Moved to 963, 488 at time 1607870162421
Moved to 962, 487 at time 1607870162434
Moved to 961, 486 at time 1607870162447
Moved to 960, 485 at time 1607870162477
Moved to 959, 484 at time 1607870162502
Moved to 958, 483 at time 1607870162513
Moved to 957, 482 at time 1607870162527
Moved to 956, 481 at time 1607870162567
Moved to 955, 480 at time 1607870162599
Moved to 954, 479 at time 1607870162611
Moved to 953, 478 at time 1607870162626
Moved to 952, 477 at time 1607870162664
Moved to 951, 476 at time 1607870162693
Moved to 950, 475 at time 1607870162704
Moved to 949, 474 at time 1607870162737
Moved to 948, 473 at time 1607870162759
Moved to 947, 472 at time 1607870162802
Moved to 946, 471 at time 1607870162826
Moved to 945, 470 at time 1607870162898
Moved to 944, 469 at time 1607870162978
Moved to 943, 468 at time 1607870162999
Moved to 942, 467 at time 1607870163053
Moved to 941, 466 at time 1607870163152
Moved to 940, 465 at time 1607870163214
Moved to 939, 464 at time 1607870163236
Moved to 938, 463 at time 1607870163303
Moved to 937, 462 at time 1607870163396
Moved to 936, 461 at time 1607870163423
Moved to 935, 460 at time 1607870163441
Moved to 934, 459 at time 1607870163472
Moved to 933, 458 at time 1607870163500
Moved to 932, 457 at time 1607870163517
Moved to 931, 456 at time 1607870163542
Moved to 930, 455 at time 1607870163579
Moved to 929, 454 at time 1607870163611
Moved to 928, 453 at time 1607870163625
Moved to 927, 452 at time 1607870163697
Moved to 926, 451 at time 1607870163751
Moved to 925, 450 at time 1607870163774
Moved to 924, 449 at time 1607870163794
Moved to 923, 448 at time 1607870163812
Moved to 922, 447 at time 1607870163844
Moved to 921, 446 at time 1607870163873
Moved to 920, 445 at time 1607870163901
Moved to 919, 444 at time 1607870163934
Moved to 918, 443 at time 1607870163947
Moved to 917, 442 at time 1607870163977
Moved to 916, 441 at time 1607870164047
Moved to 915, 440 at time 1607870164068
Moved to 914, 439 at time 1607870164141
Moved to 913, 438 at time 1607870164239
Moved to 912, 437 at time 1607870164343
Moved to 911, 436 at time 1607870164437
Moved to 910, 435 at time 1607870164528
Moved to 909, 434 at time 1607870164543
Moved to 908, 433 at time 1607870164558
Moved to 907, 432 at time 1607870164576
Moved to 906, 431 at time 1607870164593
Moved to 905, 430 at time 1607870164629
Moved to 904, 429 at time 1607870164644
Moved to 903, 428 at time 1607870164679
Moved to 902, 427 at time 1607870164695
Moved to 901, 426 at time 1607870164712
Moved to 900, 425 at time 1607870164761
Moved to 899, 424 at time 1607870164790
Moved to 898, 423 at time 1607870164804
Moved to 897, 422 at time 1607870164816
Moved to 896, 421 at time 1607870164845
Moved to 895, 420 at time 1607870164867
Moved to 894, 419 at time 1607870164885
Moved to 893, 418 at time 1607870164910
Moved to 892, 417 at time 1607870164924
Moved to 891, 416 at time 1607870164944
Moved to 890, 415 at time 1607870164979
Moved to 889, 414 at time 1607870165005
Moved to 888, 413 at time 1607870165043
Moved to 887, 412 at time 1607870165066
Moved to 886, 411 at time 1607870165086
Moved to 885, 410 at time 1607870165118
Moved to 884, 409 at time 1607870165185
Moved to 883, 408 at time 1607870165228
Moved to 882, 407 at time 1607870165303
Moved to 881, 406 at time 1607870165344
Moved to 880, 405 at time 1607870165378
Moved to 879, 404 at time 1607870165445
Moved to 878, 403 at time 1607870165505
Moved to 877, 402 at time 1607870165541
Moved to 876, 401 at time 1607870165602
Moved to 875, 400 at time 1607870165628
Moved to 874, 399 at time 1607870165650
Moved to 873, 398 at time 1607870165670
Moved to 872, 397 at time 1607870165681
Moved to 871, 396 at time 1607870165697
Moved to 870, 395 at time 1607870165719
Moved to 869, 394 at time 1607870165741
Moved to 868, 393 at time 1607870165778
Moved to 867, 392 at time 1607870165794
Moved to 866, 391 at time 1607870165823
Moved to 865, 390 at time 1607870165870
Moved to 864, 389 at time 1607870165900
Moved to 863, 388 at time 1607870165967
Moved to 862, 387 at time 1607870166061
Moved to 861, 386 at time 1607870166078
Moved to 860, 385 at time 1607870166129
Moved to 859, 384 at time 1607870166167
Moved to 858, 383 at time 1607870166221
Moved to 857, 382 at time 1607870166276
Moved to 856, 381 at time 1607870166311
Moved to 855, 380 at time 1607870166356
Moved to 854, 379 at time 1607870166381
Moved to 853, 378 at time 1607870166444
Moved to 852, 377 at time 1607870166457
Moved to 851, 376 at time 1607870166580
Moved to 850, 375 at time 1607870166648
Moved to 849, 374 at time 1607870166697
Moved to 848, 373 at time 1607870166789
Moved to 847, 372 at time 1607870166810
Moved to 846, 371 at time 1607870166864
Moved to 845, 370 at time 1607870166911
Moved to 844, 369 at time 1607870166933
Moved to 843, 368 at time 1607870167011
Moved to 842, 367 at time 1607870167040
Moved to 841, 366 at time 1607870167117
Moved to 840, 365 at time 1607870167164
Moved to 839, 364 at time 1607870167221
Moved to 838, 363 at time 1607870167248
Moved to 837, 362 at time 1607870167315
Moved to 836, 361 at time 1607870167351
Moved to 835, 360 at time 1607870167419
Moved to 834, 359 at time 1607870167456
Moved to 833, 358 at time 1607870167576
Moved to 832, 357 at time 1607870167649
Moved to 831, 356 at time 1607870167720
Moved to 830, 355 at time 1607870167769
Moved to 829, 354 at time 1607870167840
Moved to 828, 353 at time 1607870167877
Moved to 827, 352 at time 1607870167938
Moved to 826, 351 at time 1607870167982
Moved to 825, 350 at time 1607870168064
Moved to 824, 349 at time 1607870168099
Moved to 823, 348 at time 1607870168157
Moved to 822, 347 at time 1607870168190
Moved to 821, 346 at time 1607870168268
Moved to 820, 345 at time 1607870168393
Moved to 819, 344 at time 1607870168483
Moved to 818, 343 at time 1607870168585
Moved to 817, 342 at time 1607870168665
Moved to 816, 341 at time 1607870168715
Moved to 815, 340 at time 1607870168736
Moved to 814, 339 at time 1607870168747
Moved to 813, 338 at time 1607870168765
Moved to 812, 337 at time 1607870168781
Moved to 811, 336 at time 1607870168793
Moved to 810, 335 at time 1607870168804
Moved to 809, 334 at time 1607870168821
Moved to 808, 333 at time 1607870168832
Moved to 807, 332 at time 1607870168847
Moved to 806, 331 at time 1607870168860
Moved to 805, 330 at time 1607870168871
Moved to 804, 329 at time 1607870168911
Moved to 803, 328 at time 1607870168934
Moved to 802, 327 at time 1607870168989
Moved to 801, 326 at time 1607870169048
Moved to 800, 325 at time 1607870169071
Moved to 799, 324 at time 1607870169093
Moved to 798, 323 at time 1607870169149
Moved to 797, 322 at time 1607870169160
Moved to 796, 321 at time 1607870169227
Moved to 795, 320 at time 1607870169274
Moved to 794, 319 at time 1607870169304
Moved to 793, 318 at time 1607870169389
Moved to 792, 317 at time 1607870169427
Moved to 791, 316 at time 1607870169471
Moved to 790, 315 at time 1607870169524
Moved to 789, 314 at time 1607870169583
Moved to 788, 313 at time 1607870169632
Moved to 787, 312 at time 1607870169660
Moved to 786, 311 at time 1607870169734
Moved to 785, 310 at time 1607870169857
Moved to 784, 309 at time 1607870169930
Moved to 783, 308 at time 1607870169949
Moved to 782, 307 at time 1607870169987
Moved to 781, 306 at time 1607870170048
Moved to 780, 305 at time 1607870170101
Moved to 779, 304 at time 1607870170249
Moved to 778, 303 at time 1607870170404
Moved to 777, 302 at time 1607870170547
Moved to 776, 301 at time 1607870170654
Moved to 775, 300 at time 1607870170781
Moved to 774, 299 at time 1607870170868
Moved to 773, 298 at time 1607870170931
Moved to 772, 297 at time 1607870170948
Moved to 771, 296 at time 1607870171067
Moved to 770, 295 at time 1607870171161
Moved to 769, 294 at time 1607870171177
Moved to 768, 293 at time 1607870171265
Moved to 767, 292 at time 1607870171278
Moved to 766, 291 at time 1607870171344
Moved to 765, 290 at time 1607870171413
Moved to 764, 289 at time 1607870171462
Moved to 763, 288 at time 1607870171525
Moved to 762, 287 at time 1607870171538
Moved to 761, 286 at time 1607870171606
Moved to 760, 285 at time 1607870171628
Moved to 759, 284 at time 1607870171645
Moved to 758, 283 at time 1607870171682
Moved to 757, 282 at time 1607870171744
Moved to 756, 281 at time 1607870171786
Moved to 755, 280 at time 1607870171825
Moved to 754, 279 at time 1607870171870
Moved to 753, 278 at time 1607870171893
Moved to 752, 277 at time 1607870171904
Moved to 751, 276 at time 1607870171920
Moved to 750, 275 at time 1607870171952
Moved to 749, 274 at time 1607870171964
Moved to 748, 273 at time 1607870172014
Moved to 747, 272 at time 1607870172033
Moved to 746, 271 at time 1607870172105
Moved to 745, 270 at time 1607870172145
Moved to 744, 269 at time 1607870172216
Moved to 743, 268 at time 1607870172273
Moved to 742, 267 at time 1607870172305
Moved to 741, 266 at time 1607870172372
Moved to 740, 265 at time 1607870172389
Moved to 739, 264 at time 1607870172478
Moved to 738, 263 at time 1607870172568
Moved to 737, 262 at time 1607870172669
Moved to 736, 261 at time 1607870172781
Moved to 735, 260 at time 1607870172850
Moved to 734, 259 at time 1607870172876
Moved to 733, 258 at time 1607870172938
Moved to 732, 257 at time 1607870172965
Moved to 731, 256 at time 1607870173030
Moved to 730, 255 at time 1607870173066
Moved to 729, 254 at time 1607870173116
Moved to 728, 253 at time 1607870173132
Moved to 727, 252 at time 1607870173149
