Moved to 2251, 641 at time 1607968586293
Moved to 2250, 640 at time 1607968622578
Moved to 2249, 639 at time 1607968622779
Attacked Unit@9e89407at position 1980, 611 at time 1607968622971
Got attacked at 2249, 639 by Unit@9e89407 at time 1607968624604
Attacked Unit@9e89407at position 1980, 611 at time 1607968624762
Attacked Unit@9e89407at position 1980, 611 at time 1607968626503
Moved to 2248, 640 at time 1607968626808
Moved to 2247, 639 at time 1607968626917
Moved to 2246, 638 at time 1607968626975
Moved to 2245, 637 at time 1607968627017
Moved to 2244, 636 at time 1607968627167
Moved to 2243, 637 at time 1607968627272
Attacked Unit@529707a1at position 1974, 686 at time 1607968628243
Got attacked at 2243, 637 by Unit@529707a1 at time 1607968629489
Attacked Unit@529707a1at position 1974, 686 at time 1607968629972
Moved to 2242, 638 at time 1607968630017
Moved to 2241, 639 at time 1607968630055
Moved to 2240, 638 at time 1607968630132
Moved to 2239, 639 at time 1607968630214
Moved to 2238, 640 at time 1607968630281
Moved to 2237, 639 at time 1607968630348
Moved to 2236, 638 at time 1607968630560
Moved to 2235, 637 at time 1607968630710
Moved to 2234, 636 at time 1607968630950
Moved to 2233, 637 at time 1607968631162
Moved to 2232, 636 at time 1607968631777
Moved to 2231, 635 at time 1607968631988
Moved to 2230, 634 at time 1607968632099
Moved to 2229, 635 at time 1607968632287
Moved to 2228, 634 at time 1607968632325
Moved to 2227, 635 at time 1607968632366
Moved to 2226, 634 at time 1607968632460
Moved to 2225, 635 at time 1607968632521
Moved to 2224, 634 at time 1607968632583
Moved to 2223, 633 at time 1607968632654
Moved to 2222, 632 at time 1607968632727
Moved to 2221, 631 at time 1607968632776
Moved to 2220, 630 at time 1607968632841
Moved to 2219, 631 at time 1607968632894
Moved to 2218, 630 at time 1607968632962
Moved to 2217, 631 at time 1607968633039
Moved to 2216, 632 at time 1607968633114
Moved to 2215, 633 at time 1607968633172
Moved to 2214, 634 at time 1607968633241
Moved to 2213, 635 at time 1607968633309
Moved to 2212, 636 at time 1607968633343
Moved to 2211, 637 at time 1607968633411
Moved to 2210, 636 at time 1607968633464
Moved to 2209, 637 at time 1607968705443
Moved to 2208, 638 at time 1607968705502
Moved to 2207, 639 at time 1607968705553
Moved to 2206, 638 at time 1607968705591
Moved to 2205, 637 at time 1607968705675
Moved to 2204, 636 at time 1607968705734
Moved to 2203, 637 at time 1607968705804
Moved to 2202, 638 at time 1607968705864
Moved to 2200, 637 at time 1607968705963
Moved to 2199, 638 at time 1607968706020
Moved to 2198, 639 at time 1607968706070
Moved to 2197, 638 at time 1607968706126
Moved to 2196, 637 at time 1607968706210
Moved to 2195, 638 at time 1607968706270
Moved to 2194, 637 at time 1607968706343
Moved to 2191, 638 at time 1607968706549
Moved to 2190, 639 at time 1607968706615
