Moved to 3426, 160 at time 1607967053574
Moved to 3425, 159 at time 1607967097590
Moved to 3424, 158 at time 1607967097813
Moved to 3423, 157 at time 1607967098069
Moved to 3422, 156 at time 1607967098197
Moved to 3421, 155 at time 1607967098258
Moved to 3420, 154 at time 1607967098387
Moved to 3419, 153 at time 1607967098424
Moved to 3418, 152 at time 1607967098628
Moved to 3417, 151 at time 1607967098934
Moved to 3416, 150 at time 1607967098968
Moved to 3415, 149 at time 1607967099247
Moved to 3414, 148 at time 1607967099572
Moved to 3413, 147 at time 1607967099982
Moved to 3412, 146 at time 1607967100448
Moved to 3411, 145 at time 1607967100854
Moved to 3410, 144 at time 1607967101640
Moved to 3409, 143 at time 1607967101865
Moved to 3408, 142 at time 1607967101977
Moved to 3407, 141 at time 1607967102048
Moved to 3406, 140 at time 1607967102163
Moved to 3405, 139 at time 1607967102464
Moved to 3404, 138 at time 1607967102806
Moved to 3403, 137 at time 1607967102842
Moved to 3402, 136 at time 1607967103247
Moved to 3401, 135 at time 1607967103430
Moved to 3400, 134 at time 1607967103562
Moved to 3399, 133 at time 1607967103742
Moved to 3398, 132 at time 1607967103875
Moved to 3397, 131 at time 1607967104009
Moved to 3396, 130 at time 1607967104405
Moved to 3395, 129 at time 1607967104776
Moved to 3394, 128 at time 1607967104826
Moved to 3393, 127 at time 1607967105292
Moved to 3392, 126 at time 1607967105917
Moved to 3391, 125 at time 1607967106227
Moved to 3390, 124 at time 1607967106314
Moved to 3389, 123 at time 1607967106710
Moved to 3388, 122 at time 1607967106947
Moved to 3387, 121 at time 1607967107115
Moved to 3386, 120 at time 1607967107249
Moved to 3385, 119 at time 1607967107573
Moved to 3384, 118 at time 1607967107713
Moved to 3383, 117 at time 1607967107822
Moved to 3382, 116 at time 1607967107861
Moved to 3381, 115 at time 1607967107982
Moved to 3380, 114 at time 1607967108127
Moved to 3379, 113 at time 1607967108227
Moved to 3378, 112 at time 1607967108377
Moved to 3377, 111 at time 1607967108448
Moved to 3376, 110 at time 1607967108489
Moved to 3375, 109 at time 1607967108584
Moved to 3374, 108 at time 1607967108877
Moved to 3373, 107 at time 1607967109263
Moved to 3372, 106 at time 1607967109298
Moved to 3371, 105 at time 1607967109666
Moved to 3370, 104 at time 1607967109748
Moved to 3369, 103 at time 1607967109998
Moved to 3368, 102 at time 1607967110291
Moved to 3367, 101 at time 1607967110704
Moved to 3366, 100 at time 1607967110742
Moved to 3214, 101 at time 1607967135199
Moved to 3213, 102 at time 1607967135293
Moved to 3212, 103 at time 1607967135408
Moved to 3211, 104 at time 1607967135512
Moved to 3210, 105 at time 1607967135616
Moved to 3209, 106 at time 1607967135674
Moved to 3208, 107 at time 1607967135773
Moved to 3207, 108 at time 1607967135837
Moved to 3206, 109 at time 1607967135938
Moved to 3205, 110 at time 1607967136010
Moved to 3204, 111 at time 1607967136125
Moved to 3203, 112 at time 1607967136192
Moved to 3202, 113 at time 1607967136226
Moved to 3201, 114 at time 1607967136260
Moved to 3200, 115 at time 1607967136305
Moved to 3199, 116 at time 1607967136403
Moved to 3198, 117 at time 1607967136455
Moved to 3197, 118 at time 1607967136489
Moved to 3196, 119 at time 1607967136771
Moved to 3195, 120 at time 1607967136825
Moved to 3194, 121 at time 1607967136860
Moved to 3193, 122 at time 1607967136921
Moved to 3192, 123 at time 1607967137168
Moved to 3191, 124 at time 1607967137537
Moved to 3190, 125 at time 1607967137873
Moved to 3189, 126 at time 1607967138273
Moved to 3188, 127 at time 1607967138553
Moved to 3187, 128 at time 1607967138676
Moved to 3186, 129 at time 1607967138763
Moved to 3185, 130 at time 1607967138960
Moved to 3184, 131 at time 1607967139029
Moved to 3183, 132 at time 1607967139129
Moved to 3182, 133 at time 1607967139236
Moved to 3181, 134 at time 1607967139308
Moved to 3180, 135 at time 1607967139377
Moved to 3179, 136 at time 1607967139467
Moved to 3178, 137 at time 1607967139529
Moved to 3177, 138 at time 1607967139610
Moved to 3176, 139 at time 1607967139671
Moved to 3175, 140 at time 1607967139705
Moved to 3174, 141 at time 1607967139794
Moved to 3173, 142 at time 1607967139853
Moved to 3172, 143 at time 1607967139944
Moved to 3171, 144 at time 1607967139996
Moved to 3170, 145 at time 1607967140068
Moved to 3169, 146 at time 1607967140137
Moved to 3168, 147 at time 1607967140217
Moved to 3167, 148 at time 1607967140253
Moved to 3166, 149 at time 1607967140350
Moved to 3165, 150 at time 1607967140390
Moved to 3164, 151 at time 1607967140488
Moved to 3163, 152 at time 1607967140525
Moved to 3162, 153 at time 1607967140613
Moved to 3161, 154 at time 1607967140662
Moved to 3160, 155 at time 1607967140765
Moved to 3159, 156 at time 1607967140801
Moved to 3158, 157 at time 1607967140847
Moved to 3157, 158 at time 1607967140883
Moved to 3156, 159 at time 1607967140917
Moved to 3155, 160 at time 1607967141017
Moved to 3154, 161 at time 1607967141058
Moved to 3153, 162 at time 1607967141099
Moved to 3152, 163 at time 1607967141145
Moved to 3151, 164 at time 1607967141245
Moved to 3150, 165 at time 1607967141280
Moved to 3149, 166 at time 1607967141372
Moved to 3148, 167 at time 1607967141420
Moved to 3147, 168 at time 1607967141501
Moved to 3146, 169 at time 1607967141538
Moved to 3145, 170 at time 1607967141573
Moved to 3144, 171 at time 1607967141665
Moved to 3143, 172 at time 1607967141703
Moved to 3142, 173 at time 1607967141800
Moved to 3141, 174 at time 1607967141843
Moved to 3140, 175 at time 1607967141926
Moved to 3139, 176 at time 1607967142018
