Attacked Unit@6155db0at position 1051, 332 at time 1607969349804
Attacked Unit@24aba69dat position 979, 362 at time 1607969394739
Got attacked at 924, 105 by Unit@f3c45e6 at time 1607969394758
Attacked Unit@24aba69dat position 979, 362 at time 1607969396429
Got attacked at 924, 105 by Unit@9ce5980 at time 1607969396870
Attacked Unit@410c5cf9at position 1161, 102 at time 1607969398152
Got attacked at 924, 105 by Unit@410c5cf9 at time 1607969398169
Got attacked at 924, 105 by Unit@9ce5980 at time 1607969398302
Attacked Unit@f3c45e6at position 683, 215 at time 1607969399775
Got attacked at 924, 105 by Unit@9ce5980 at time 1607969399970
Attacked Unit@9ce5980at position 658, 177 at time 1607969401680
Got attacked at 924, 105 by Unit@9ce5980 at time 1607969401775
Got attacked at 924, 105 by Unit@f3c45e6 at time 1607969401873
Died at 924, 105 at time 1607969401918
