Moved to 1281, 3309 at time 1607969349763
Moved to 1280, 3308 at time 1607969394754
Moved to 1279, 3307 at time 1607969394868
Moved to 1278, 3306 at time 1607969394955
Moved to 1277, 3305 at time 1607969395025
Moved to 1276, 3304 at time 1607969395154
Moved to 1275, 3303 at time 1607969395384
Moved to 1274, 3302 at time 1607969395449
Moved to 1273, 3301 at time 1607969395685
Moved to 1272, 3300 at time 1607969395898
Moved to 1271, 3299 at time 1607969396296
Moved to 1270, 3298 at time 1607969396456
Moved to 1269, 3297 at time 1607969396626
Moved to 1268, 3296 at time 1607969396841
Moved to 1267, 3295 at time 1607969397064
Moved to 1266, 3294 at time 1607969397198
Moved to 1265, 3293 at time 1607969397314
Moved to 1264, 3292 at time 1607969397599
Moved to 1263, 3291 at time 1607969397947
Moved to 1262, 3290 at time 1607969398101
Moved to 1261, 3289 at time 1607969398195
Moved to 1260, 3288 at time 1607969398432
Moved to 1259, 3287 at time 1607969398488
Moved to 1258, 3286 at time 1607969398653
Moved to 1257, 3285 at time 1607969398803
Moved to 1256, 3284 at time 1607969399072
Moved to 1255, 3283 at time 1607969399189
Moved to 1254, 3282 at time 1607969399266
Moved to 1253, 3281 at time 1607969399330
Moved to 1252, 3280 at time 1607969399400
Moved to 1251, 3279 at time 1607969399491
Moved to 1250, 3278 at time 1607969399554
Moved to 1249, 3277 at time 1607969399621
Moved to 1248, 3276 at time 1607969399688
Moved to 1247, 3275 at time 1607969399795
Moved to 1246, 3274 at time 1607969399889
Moved to 1245, 3273 at time 1607969400058
Moved to 1244, 3272 at time 1607969400230
Moved to 1243, 3271 at time 1607969400301
Moved to 1242, 3270 at time 1607969400383
Moved to 1241, 3269 at time 1607969400454
Moved to 1240, 3268 at time 1607969400501
Moved to 1239, 3267 at time 1607969400585
Moved to 1238, 3266 at time 1607969400656
Moved to 1237, 3265 at time 1607969400711
Moved to 1236, 3264 at time 1607969400770
Moved to 1235, 3263 at time 1607969400832
Moved to 1234, 3262 at time 1607969400911
Moved to 1233, 3261 at time 1607969401014
Moved to 1232, 3260 at time 1607969401272
Moved to 1231, 3259 at time 1607969401533
Moved to 1230, 3258 at time 1607969401816
Moved to 1229, 3257 at time 1607969402042
Moved to 1228, 3256 at time 1607969402360
Moved to 1227, 3255 at time 1607969402658
Moved to 1226, 3254 at time 1607969402940
Moved to 1225, 3253 at time 1607969403173
Moved to 1224, 3252 at time 1607969403216
Moved to 1223, 3251 at time 1607969403287
Moved to 1222, 3250 at time 1607969403425
Moved to 1221, 3249 at time 1607969403495
Moved to 1220, 3248 at time 1607969403646
Moved to 1219, 3247 at time 1607969403725
Moved to 1218, 3246 at time 1607969403888
Moved to 1217, 3245 at time 1607969403971
Moved to 1216, 3244 at time 1607969404170
Moved to 1215, 3243 at time 1607969404265
Moved to 1214, 3242 at time 1607969404464
Moved to 1213, 3241 at time 1607969404516
Moved to 1212, 3240 at time 1607969404739
Moved to 1211, 3239 at time 1607969404790
Moved to 1210, 3238 at time 1607969404894
Moved to 1209, 3237 at time 1607969405125
Moved to 1208, 3236 at time 1607969405259
Moved to 1207, 3235 at time 1607969405301
Moved to 1206, 3234 at time 1607969405440
Moved to 1205, 3233 at time 1607969405548
Moved to 1204, 3232 at time 1607969405587
Moved to 1203, 3231 at time 1607969405661
Moved to 1202, 3230 at time 1607969405774
Moved to 1201, 3229 at time 1607969405839
Moved to 1200, 3228 at time 1607969406048
Moved to 1199, 3227 at time 1607969406119
Moved to 1198, 3226 at time 1607969406213
Moved to 1197, 3225 at time 1607969406292
Moved to 1196, 3224 at time 1607969406353
Moved to 1195, 3223 at time 1607969406387
Moved to 1194, 3222 at time 1607969406460
Moved to 1193, 3221 at time 1607969406516
Moved to 1192, 3220 at time 1607969406580
Moved to 1191, 3219 at time 1607969406627
Moved to 1190, 3218 at time 1607969406720
Moved to 1189, 3217 at time 1607969406859
Moved to 1188, 3216 at time 1607969407045
Moved to 1187, 3215 at time 1607969407206
Moved to 1186, 3214 at time 1607969407273
Moved to 1185, 3213 at time 1607969407400
Moved to 1184, 3212 at time 1607969407578
Moved to 1183, 3211 at time 1607969407731
Moved to 1182, 3210 at time 1607969407874
Moved to 1181, 3209 at time 1607969407928
Moved to 1180, 3208 at time 1607969407980
Moved to 1179, 3207 at time 1607969408030
Moved to 1178, 3206 at time 1607969408075
Moved to 1177, 3205 at time 1607969408140
Moved to 1176, 3204 at time 1607969408225
Moved to 1175, 3203 at time 1607969408271
Moved to 1174, 3202 at time 1607969408337
Moved to 1173, 3201 at time 1607969408385
Moved to 1172, 3200 at time 1607969408559
Moved to 1171, 3199 at time 1607969408647
Moved to 1170, 3198 at time 1607969408701
Moved to 1169, 3197 at time 1607969408795
Moved to 1168, 3196 at time 1607969408892
Moved to 1167, 3195 at time 1607969408941
Moved to 1166, 3194 at time 1607969409011
Moved to 1165, 3193 at time 1607969409069
Moved to 1164, 3192 at time 1607969409114
Moved to 1163, 3191 at time 1607969409149
Moved to 1162, 3190 at time 1607969409185
Moved to 1161, 3189 at time 1607969409244
Moved to 1160, 3188 at time 1607969409289
Moved to 1159, 3187 at time 1607969409378
Moved to 1158, 3186 at time 1607969409452
Moved to 1157, 3185 at time 1607969409488
Moved to 1156, 3184 at time 1607969409560
Moved to 1155, 3183 at time 1607969409594
Moved to 1154, 3182 at time 1607969409668
Moved to 1153, 3181 at time 1607969409727
Moved to 1152, 3180 at time 1607969409762
Moved to 1151, 3179 at time 1607969409835
Moved to 1150, 3178 at time 1607969409872
Moved to 1149, 3177 at time 1607969409925
Moved to 1148, 3176 at time 1607969409971
Moved to 1147, 3175 at time 1607969410054
Moved to 1146, 3174 at time 1607969410127
Moved to 1145, 3173 at time 1607969410220
Moved to 1144, 3172 at time 1607969410286
Moved to 1143, 3171 at time 1607969410341
Moved to 1142, 3170 at time 1607969410421
Moved to 1141, 3169 at time 1607969410504
Moved to 1140, 3168 at time 1607969410577
Moved to 1139, 3167 at time 1607969410662
Moved to 1138, 3166 at time 1607969410740
Moved to 1137, 3165 at time 1607969410775
Moved to 1136, 3164 at time 1607969410842
Moved to 1135, 3163 at time 1607969410882
Moved to 1134, 3162 at time 1607969410964
Moved to 1133, 3161 at time 1607969411103
Moved to 1132, 3160 at time 1607969411194
Moved to 1131, 3159 at time 1607969411246
Moved to 1130, 3158 at time 1607969411301
Moved to 1129, 3157 at time 1607969411338
Moved to 1128, 3156 at time 1607969411428
Moved to 1127, 3155 at time 1607969411475
Moved to 1126, 3154 at time 1607969411522
Moved to 1125, 3153 at time 1607969411645
Moved to 1124, 3152 at time 1607969411741
Moved to 1123, 3151 at time 1607969411856
Moved to 1122, 3150 at time 1607969411911
Moved to 1121, 3149 at time 1607969411962
Moved to 1120, 3148 at time 1607969412109
Moved to 1119, 3147 at time 1607969412343
Moved to 1118, 3146 at time 1607969412420
Moved to 1117, 3145 at time 1607969412504
Moved to 1116, 3144 at time 1607969412709
Moved to 1115, 3143 at time 1607969412863
Moved to 1114, 3142 at time 1607969413043
Moved to 1113, 3141 at time 1607969413266
Moved to 1112, 3140 at time 1607969413526
Moved to 1111, 3139 at time 1607969413589
Moved to 1110, 3138 at time 1607969413709
Moved to 1109, 3137 at time 1607969413777
Moved to 1108, 3136 at time 1607969413812
Moved to 1107, 3135 at time 1607969413873
Moved to 1106, 3134 at time 1607969413958
Moved to 1105, 3133 at time 1607969414008
Moved to 1104, 3132 at time 1607969414087
Moved to 1103, 3131 at time 1607969414122
Moved to 1102, 3130 at time 1607969414190
Moved to 1101, 3129 at time 1607969414233
Moved to 1100, 3128 at time 1607969414341
Moved to 1099, 3127 at time 1607969414535
Moved to 1098, 3126 at time 1607969414635
Moved to 1097, 3125 at time 1607969414672
Moved to 1096, 3124 at time 1607969414876
Moved to 1095, 3123 at time 1607969415165
Moved to 1094, 3122 at time 1607969415314
Moved to 1093, 3121 at time 1607969415479
Moved to 1092, 3120 at time 1607969415630
Moved to 1091, 3119 at time 1607969415778
Moved to 1090, 3118 at time 1607969415849
Moved to 1089, 3117 at time 1607969416082
Moved to 1088, 3116 at time 1607969416399
Moved to 1087, 3115 at time 1607969416621
Moved to 1086, 3114 at time 1607969416835
Moved to 1085, 3113 at time 1607969416989
Moved to 1084, 3112 at time 1607969417029
Moved to 1083, 3111 at time 1607969417143
Moved to 1082, 3110 at time 1607969417253
Moved to 1081, 3109 at time 1607969417290
Moved to 1080, 3108 at time 1607969417324
Moved to 1079, 3107 at time 1607969417445
Moved to 1078, 3106 at time 1607969417511
Moved to 1077, 3105 at time 1607969417581
Moved to 1076, 3104 at time 1607969417628
Moved to 1075, 3103 at time 1607969417693
Moved to 1074, 3102 at time 1607969417757
Moved to 1073, 3101 at time 1607969417857
Moved to 1072, 3100 at time 1607969417918
Moved to 1071, 3099 at time 1607969418001
Moved to 1070, 3098 at time 1607969418060
Moved to 1069, 3097 at time 1607969418143
Moved to 1068, 3096 at time 1607969418229
Moved to 1067, 3095 at time 1607969418303
Moved to 1066, 3094 at time 1607969418396
Moved to 1065, 3093 at time 1607969418463
Moved to 1064, 3092 at time 1607969418557
Moved to 1063, 3091 at time 1607969418597
Moved to 1062, 3090 at time 1607969418710
Moved to 1061, 3089 at time 1607969418778
Moved to 1060, 3088 at time 1607969418857
Moved to 1059, 3087 at time 1607969418963
Moved to 1058, 3086 at time 1607969419011
Moved to 1057, 3085 at time 1607969419078
Moved to 1056, 3084 at time 1607969419173
Moved to 1055, 3083 at time 1607969419264
Moved to 1054, 3082 at time 1607969419311
Moved to 1053, 3081 at time 1607969419380
Moved to 1052, 3080 at time 1607969419423
Moved to 1051, 3079 at time 1607969419503
Moved to 1050, 3078 at time 1607969419590
Moved to 1049, 3077 at time 1607969419646
Moved to 1048, 3076 at time 1607969419691
Moved to 1047, 3075 at time 1607969419749
Moved to 1046, 3074 at time 1607969419806
Moved to 1045, 3073 at time 1607969419916
Moved to 1044, 3072 at time 1607969419964
Moved to 1043, 3071 at time 1607969420026
Moved to 1042, 3070 at time 1607969420228
Moved to 1041, 3069 at time 1607969420444
Moved to 1040, 3068 at time 1607969420711
Moved to 1039, 3067 at time 1607969420913
Moved to 1038, 3066 at time 1607969420996
Moved to 1037, 3065 at time 1607969421114
Moved to 1036, 3064 at time 1607969421350
Moved to 1035, 3063 at time 1607969421475
Moved to 1034, 3062 at time 1607969421636
Moved to 1033, 3061 at time 1607969421750
Moved to 1032, 3060 at time 1607969421793
Moved to 1031, 3059 at time 1607969421892
Moved to 1030, 3058 at time 1607969421994
Moved to 1029, 3057 at time 1607969422125
Moved to 1028, 3056 at time 1607969422280
Moved to 1027, 3055 at time 1607969422423
Moved to 1026, 3054 at time 1607969422595
Moved to 1025, 3053 at time 1607969422702
Moved to 1024, 3052 at time 1607969422865
Moved to 1023, 3051 at time 1607969422987
Moved to 1022, 3050 at time 1607969423150
Moved to 1021, 3049 at time 1607969423315
Moved to 1020, 3048 at time 1607969423401
Moved to 1019, 3047 at time 1607969423587
Moved to 1018, 3046 at time 1607969423714
Moved to 1017, 3045 at time 1607969423915
Moved to 1016, 3044 at time 1607969424006
Moved to 1015, 3043 at time 1607969424178
Moved to 1014, 3042 at time 1607969424474
Moved to 1013, 3041 at time 1607969424707
Moved to 1012, 3040 at time 1607969424815
Moved to 1011, 3039 at time 1607969424866
Moved to 1010, 3038 at time 1607969424974
Moved to 1009, 3037 at time 1607969425017
Moved to 1008, 3036 at time 1607969425224
Moved to 1007, 3035 at time 1607969425498
Moved to 1006, 3034 at time 1607969425533
Moved to 1005, 3033 at time 1607969425697
Moved to 1004, 3032 at time 1607969425792
Moved to 1003, 3031 at time 1607969425983
Moved to 1002, 3030 at time 1607969426037
Moved to 1001, 3029 at time 1607969426151
Moved to 1000, 3028 at time 1607969426232
Moved to 999, 3027 at time 1607969426423
Moved to 998, 3026 at time 1607969426494
Moved to 997, 3025 at time 1607969426676
Moved to 996, 3024 at time 1607969426749
Moved to 995, 3023 at time 1607969426878
