Moved to 59, 710 at time 1607904712096
Moved to 60, 709 at time 1607904712229
Moved to 61, 708 at time 1607904712423
Moved to 62, 707 at time 1607904712516
Moved to 63, 706 at time 1607904712651
Moved to 64, 705 at time 1607904712877
Moved to 65, 704 at time 1607904712977
Moved to 66, 703 at time 1607904713068
Moved to 67, 702 at time 1607904713170
Moved to 68, 701 at time 1607904713289
Moved to 69, 700 at time 1607904713361
Moved to 70, 699 at time 1607904725351
Moved to 71, 698 at time 1607904725364
Moved to 72, 697 at time 1607904725419
Moved to 73, 696 at time 1607904725522
Moved to 74, 695 at time 1607904725618
Moved to 75, 694 at time 1607904725699
Moved to 76, 693 at time 1607904725783
Moved to 77, 692 at time 1607904725873
Moved to 78, 691 at time 1607904725950
Moved to 79, 690 at time 1607904726023
Moved to 80, 689 at time 1607904726043
Moved to 81, 688 at time 1607904726109
Moved to 82, 687 at time 1607904726122
Moved to 83, 686 at time 1607904726190
Moved to 84, 685 at time 1607904750295
Moved to 85, 684 at time 1607904750306
Moved to 86, 683 at time 1607904750336
Moved to 87, 682 at time 1607904750387
Moved to 88, 681 at time 1607904750398
Moved to 89, 680 at time 1607904750486
Moved to 90, 679 at time 1607904750547
Moved to 91, 678 at time 1607904750620
Moved to 92, 677 at time 1607904750676
Moved to 93, 676 at time 1607904750729
Moved to 94, 675 at time 1607904750811
Moved to 95, 674 at time 1607904750868
Moved to 96, 673 at time 1607904750916
Moved to 97, 672 at time 1607904750975
Moved to 98, 671 at time 1607904751058
Moved to 99, 670 at time 1607904751112
Moved to 100, 669 at time 1607904751128
Got attacked at 100, 580 by Unit@5490bf59 at time 1607904754898
Got attacked at 100, 577 by Unit@f6dfc02 at time 1607904754960
Got attacked at 100, 544 by Unit@a693ad5 at time 1607904756102
Got attacked at 100, 544 by Unit@f6dfc02 at time 1607904756117
Got attacked at 100, 472 by Unit@37925914 at time 1607904758312
Got attacked at 100, 471 by Unit@232c92ba at time 1607904758316
Got attacked at 100, 431 by Unit@a693ad5 at time 1607904759560
Got attacked at 100, 390 by Unit@232c92ba at time 1607904760668
Got attacked at 100, 342 by Unit@f6dfc02 at time 1607904761852
Got attacked at 100, 294 by Unit@37925914 at time 1607904762914
Got attacked at 100, 292 by Unit@232c92ba at time 1607904762996
Got attacked at 100, 212 by Unit@a693ad5 at time 1607904764162
Attacked Unit@7d086d2at position 100, 100 at time 1607904764763
Got attacked at 58, 318 by Unit@f6dfc02 at time 1607904766398
Got attacked at 58, 325 by Unit@d279a1e at time 1607904766474
