Moved to 1566, 811 at time 1607967053380
Moved to 1565, 810 at time 1607967053777
Moved to 1564, 809 at time 1607967097331
Moved to 1563, 808 at time 1607967097561
Moved to 1562, 809 at time 1607967097868
Moved to 1561, 808 at time 1607967098028
Moved to 1560, 809 at time 1607967098072
Moved to 1559, 808 at time 1607967098196
Moved to 1558, 807 at time 1607967098259
Moved to 1557, 806 at time 1607967098380
Moved to 1556, 805 at time 1607967098429
Moved to 1557, 804 at time 1607967098614
Moved to 1556, 803 at time 1607967098664
Moved to 1555, 802 at time 1607967098894
Moved to 1556, 800 at time 1607967100034
Moved to 1555, 799 at time 1607967100069
Moved to 1554, 798 at time 1607967100282
Moved to 1553, 797 at time 1607967100530
Moved to 1552, 798 at time 1607967100771
Moved to 1551, 797 at time 1607967100978
Moved to 1550, 796 at time 1607967101013
Moved to 1549, 795 at time 1607967101380
Moved to 1548, 794 at time 1607967101745
Moved to 1549, 793 at time 1607967101815
Moved to 1548, 792 at time 1607967101889
Moved to 1549, 791 at time 1607967102108
Moved to 1548, 790 at time 1607967102282
Moved to 1549, 789 at time 1607967102595
Moved to 1548, 788 at time 1607967103058
Moved to 1549, 787 at time 1607967103124
Moved to 1548, 786 at time 1607967103351
Moved to 1547, 787 at time 1607967103503
Moved to 1546, 786 at time 1607967103646
Moved to 1547, 785 at time 1607967103814
Moved to 1546, 784 at time 1607967103932
Moved to 1547, 783 at time 1607967104207
Moved to 1546, 782 at time 1607967104590
Moved to 1545, 781 at time 1607967104967
Moved to 1544, 780 at time 1607967105047
Moved to 1543, 779 at time 1607967105525
Moved to 1542, 778 at time 1607967106035
Moved to 1541, 777 at time 1607967106468
Moved to 1540, 776 at time 1607967106792
Moved to 1541, 775 at time 1607967106857
Moved to 1540, 774 at time 1607967107173
Moved to 1539, 773 at time 1607967107472
Moved to 1538, 772 at time 1607967107650
Moved to 1537, 773 at time 1607967107749
Moved to 1538, 772 at time 1607967107788
Moved to 1537, 771 at time 1607967107917
Moved to 1538, 770 at time 1607967108068
Moved to 1537, 769 at time 1607967108162
Moved to 1538, 768 at time 1607967108197
Moved to 1539, 767 at time 1607967108281
Moved to 1538, 766 at time 1607967108322
Moved to 1537, 765 at time 1607967108396
Moved to 1538, 764 at time 1607967108555
Moved to 1537, 763 at time 1607967108660
Moved to 1536, 764 at time 1607967109035
Moved to 1535, 763 at time 1607967109473
Moved to 1536, 762 at time 1607967109925
Moved to 1537, 761 at time 1607967110079
Moved to 1536, 762 at time 1607967110499
Moved to 1535, 763 at time 1607967110965
Moved to 1534, 762 at time 1607967111341
Moved to 1535, 761 at time 1607967111798
Moved to 1534, 760 at time 1607967112021
Moved to 1535, 759 at time 1607967112263
Moved to 1536, 758 at time 1607967112604
Moved to 1535, 759 at time 1607967113028
Moved to 1536, 758 at time 1607967113510
Moved to 1537, 757 at time 1607967113992
Moved to 1538, 756 at time 1607967114203
Moved to 1537, 755 at time 1607967114452
Moved to 1538, 754 at time 1607967114654
Moved to 1537, 755 at time 1607967114849
Moved to 1536, 754 at time 1607967114884
Moved to 1535, 755 at time 1607967115027
Moved to 1536, 754 at time 1607967115311
Moved to 1537, 753 at time 1607967115468
Moved to 1536, 754 at time 1607967115624
Moved to 1535, 753 at time 1607967115715
Moved to 1534, 752 at time 1607967115865
Moved to 1535, 751 at time 1607967115942
Moved to 1534, 750 at time 1607967116120
Moved to 1533, 749 at time 1607967116227
Attacked Unit@43da1053at position 1455, 480 at time 1607967116467
Got attacked at 1533, 749 by Unit@965adc7 at time 1607967116704
Got attacked at 1533, 749 by Unit@2012e7bf at time 1607967117089
Got attacked at 1533, 749 by Unit@7fd22736 at time 1607967117254
Got attacked at 1533, 749 by Unit@7c35aaaa at time 1607967117564
Got attacked at 1533, 749 by Unit@28c4d5f3 at time 1607967117574
Got attacked at 1533, 749 by Unit@43da1053 at time 1607967117575
Attacked Unit@28c4d5f3at position 1612, 480 at time 1607967118267
Got attacked at 1533, 749 by Unit@965adc7 at time 1607967118484
Died at 1533, 749 at time 1607967118670
