Moved to 751, 735 at time 1607968070151
Moved to 750, 734 at time 1607968070333
Moved to 749, 733 at time 1607968143804
Moved to 748, 732 at time 1607968143861
Moved to 747, 731 at time 1607968143939
Moved to 746, 730 at time 1607968144123
Moved to 745, 729 at time 1607968144139
Moved to 744, 728 at time 1607968144240
Moved to 743, 727 at time 1607968144259
Moved to 742, 726 at time 1607968144384
Moved to 741, 725 at time 1607968144603
Moved to 740, 724 at time 1607968144618
Moved to 739, 723 at time 1607968144630
Moved to 738, 722 at time 1607968144846
Moved to 737, 721 at time 1607968144883
Moved to 736, 720 at time 1607968145055
Moved to 735, 719 at time 1607968145074
Moved to 734, 718 at time 1607968145222
Moved to 733, 717 at time 1607968145447
Moved to 732, 716 at time 1607968145773
Moved to 731, 715 at time 1607968145785
Moved to 730, 714 at time 1607968145948
Moved to 729, 713 at time 1607968145981
Moved to 728, 712 at time 1607968146159
Moved to 727, 711 at time 1607968146228
Moved to 726, 710 at time 1607968146501
Moved to 725, 709 at time 1607968146579
Moved to 724, 708 at time 1607968146801
Moved to 723, 707 at time 1607968146839
Moved to 722, 706 at time 1607968146941
Moved to 721, 705 at time 1607968146961
Moved to 720, 704 at time 1607968147047
Moved to 719, 703 at time 1607968147059
Moved to 718, 702 at time 1607968147173
Moved to 717, 701 at time 1607968147189
Moved to 716, 700 at time 1607968147299
Moved to 715, 699 at time 1607968147313
Got attacked at 715, 699 by Unit@543b2c63 at time 1607968147360
Moved to 714, 698 at time 1607968147476
Moved to 713, 697 at time 1607968147634
Moved to 712, 696 at time 1607968147700
Moved to 711, 695 at time 1607968147759
Moved to 710, 694 at time 1607968147823
Moved to 709, 693 at time 1607968147863
Moved to 708, 692 at time 1607968147948
Moved to 707, 691 at time 1607968148040
Moved to 706, 690 at time 1607968148154
Moved to 705, 689 at time 1607968148297
Moved to 704, 688 at time 1607968148495
Moved to 703, 687 at time 1607968148614
Got attacked at 703, 687 by Unit@543b2c63 at time 1607968148623
Moved to 702, 686 at time 1607968148736
Moved to 701, 685 at time 1607968149073
Moved to 700, 684 at time 1607968149214
Moved to 699, 683 at time 1607968149338
Moved to 698, 682 at time 1607968149541
Moved to 697, 681 at time 1607968149741
Moved to 696, 680 at time 1607968149925
Got attacked at 696, 680 by Unit@62e56bfe at time 1607968150056
Moved to 695, 679 at time 1607968150097
