Moved to 1501, 1000 at time 1607969349744
Moved to 1500, 999 at time 1607969349797
Moved to 1499, 998 at time 1607969394711
Moved to 1498, 997 at time 1607969394722
Moved to 1497, 996 at time 1607969394816
Moved to 1496, 995 at time 1607969394839
Moved to 1495, 994 at time 1607969394919
Moved to 1494, 993 at time 1607969395007
Moved to 1493, 992 at time 1607969395102
Moved to 1492, 991 at time 1607969395273
Moved to 1491, 990 at time 1607969395286
Moved to 1490, 989 at time 1607969395583
Moved to 1489, 988 at time 1607969395599
Moved to 1488, 987 at time 1607969395781
Moved to 1487, 986 at time 1607969395997
Moved to 1486, 985 at time 1607969396163
Moved to 1485, 984 at time 1607969396339
Moved to 1484, 983 at time 1607969396438
Moved to 1483, 982 at time 1607969396738
Moved to 1482, 981 at time 1607969396821
Moved to 1481, 980 at time 1607969396832
Moved to 1480, 979 at time 1607969396903
Moved to 1479, 978 at time 1607969396950
Moved to 1478, 977 at time 1607969397015
Moved to 1477, 976 at time 1607969397043
Moved to 1476, 975 at time 1607969397121
Moved to 1475, 974 at time 1607969397168
Moved to 1474, 973 at time 1607969397231
Moved to 1473, 972 at time 1607969397302
Moved to 1472, 971 at time 1607969397379
Moved to 1471, 970 at time 1607969397513
Moved to 1470, 969 at time 1607969397717
Moved to 1469, 968 at time 1607969397856
Moved to 1468, 967 at time 1607969398012
Moved to 1467, 966 at time 1607969398287
Moved to 1466, 965 at time 1607969398343
Moved to 1465, 964 at time 1607969398603
Moved to 1464, 963 at time 1607969398618
Moved to 1463, 962 at time 1607969398708
Moved to 1462, 961 at time 1607969398936
Moved to 1461, 960 at time 1607969398954
Moved to 1460, 959 at time 1607969399159
Moved to 1459, 958 at time 1607969399240
Moved to 1458, 957 at time 1607969399304
Moved to 1457, 956 at time 1607969399317
Moved to 1456, 955 at time 1607969399367
Moved to 1455, 954 at time 1607969399383
Moved to 1454, 953 at time 1607969399481
Moved to 1453, 952 at time 1607969399524
Moved to 1452, 951 at time 1607969399548
Moved to 1451, 950 at time 1607969399590
Moved to 1450, 949 at time 1607969399610
Moved to 1449, 948 at time 1607969399655
Moved to 1448, 947 at time 1607969399675
Moved to 1447, 946 at time 1607969399717
Moved to 1446, 945 at time 1607969399740
Moved to 1445, 944 at time 1607969399801
Moved to 1444, 943 at time 1607969399821
Moved to 1443, 942 at time 1607969399887
Moved to 1442, 941 at time 1607969400074
Moved to 1441, 940 at time 1607969400235
Moved to 1440, 939 at time 1607969400316
Moved to 1439, 938 at time 1607969400389
Moved to 1438, 937 at time 1607969400496
Moved to 1437, 936 at time 1607969400603
Moved to 1436, 935 at time 1607969400660
Moved to 1435, 934 at time 1607969400732
Moved to 1434, 933 at time 1607969400773
Moved to 1433, 932 at time 1607969400787
Moved to 1432, 931 at time 1607969400840
Moved to 1431, 930 at time 1607969400851
Moved to 1430, 929 at time 1607969400916
Moved to 1429, 928 at time 1607969400932
Moved to 1428, 927 at time 1607969401016
Moved to 1427, 926 at time 1607969401069
Moved to 1426, 925 at time 1607969401237
Moved to 1425, 924 at time 1607969401527
Moved to 1424, 923 at time 1607969401581
Moved to 1423, 922 at time 1607969401798
Moved to 1422, 921 at time 1607969402037
Moved to 1421, 920 at time 1607969402087
Moved to 1420, 919 at time 1607969402339
Moved to 1419, 918 at time 1607969402654
Moved to 1418, 917 at time 1607969402693
Moved to 1417, 916 at time 1607969402924
Moved to 1416, 915 at time 1607969402977
Moved to 1415, 914 at time 1607969403169
Moved to 1414, 913 at time 1607969403180
Moved to 1413, 912 at time 1607969403296
Moved to 1412, 911 at time 1607969403441
Moved to 1411, 910 at time 1607969403505
Moved to 1410, 909 at time 1607969403669
Moved to 1409, 908 at time 1607969403726
Moved to 1408, 907 at time 1607969403915
Moved to 1407, 906 at time 1607969403963
Moved to 1406, 905 at time 1607969404265
Moved to 1405, 904 at time 1607969404525
Moved to 1404, 903 at time 1607969404660
Moved to 1403, 902 at time 1607969404709
Moved to 1402, 901 at time 1607969404884
Moved to 1401, 900 at time 1607969405002
Moved to 1400, 899 at time 1607969405181
Moved to 1399, 898 at time 1607969405372
Moved to 1398, 897 at time 1607969405507
Moved to 1397, 896 at time 1607969405579
Moved to 1396, 895 at time 1607969405634
Moved to 1395, 894 at time 1607969405722
Moved to 1394, 893 at time 1607969405909
Moved to 1393, 892 at time 1607969406067
Moved to 1392, 891 at time 1607969406122
Moved to 1391, 890 at time 1607969406177
Moved to 1390, 889 at time 1607969406234
Moved to 1389, 888 at time 1607969406293
Moved to 1388, 887 at time 1607969406373
Moved to 1387, 886 at time 1607969406437
Moved to 1386, 885 at time 1607969406503
Moved to 1385, 884 at time 1607969406575
Moved to 1384, 883 at time 1607969406601
Moved to 1383, 882 at time 1607969406627
Moved to 1382, 881 at time 1607969406672
Moved to 1381, 880 at time 1607969406685
Moved to 1380, 879 at time 1607969406801
