Moved to 333, 567 at time 1607903707465
Moved to 332, 566 at time 1607903707501
Moved to 331, 565 at time 1607903707548
Moved to 330, 564 at time 1607903707586
Moved to 329, 563 at time 1607903707622
Moved to 328, 562 at time 1607903707659
Moved to 327, 561 at time 1607903707693
Moved to 326, 560 at time 1607903707728
Moved to 325, 559 at time 1607903707768
Moved to 324, 558 at time 1607903707802
Moved to 323, 557 at time 1607903707836
Moved to 322, 556 at time 1607903707870
Moved to 321, 555 at time 1607903707907
Moved to 320, 554 at time 1607903707941
Moved to 319, 551 at time 1607903708562
Moved to 318, 550 at time 1607903708597
Moved to 317, 549 at time 1607903708631
Moved to 316, 548 at time 1607903708665
Moved to 315, 547 at time 1607903708699
Moved to 314, 546 at time 1607903708767
Moved to 313, 545 at time 1607903708802
Moved to 312, 544 at time 1607903708869
Moved to 311, 543 at time 1607903708904
Moved to 310, 542 at time 1607903708939
Moved to 309, 541 at time 1607903708975
Moved to 308, 540 at time 1607903709011
Moved to 307, 539 at time 1607903709078
Moved to 306, 538 at time 1607903709114
Moved to 305, 537 at time 1607903709150
Moved to 304, 536 at time 1607903709187
Moved to 303, 535 at time 1607903709223
Moved to 302, 534 at time 1607903709257
Moved to 301, 533 at time 1607903709294
Moved to 300, 532 at time 1607903709329
Moved to 299, 531 at time 1607903709396
Moved to 298, 530 at time 1607903709432
Moved to 297, 529 at time 1607903709466
Moved to 296, 528 at time 1607903709500
Moved to 295, 527 at time 1607903709534
Moved to 294, 526 at time 1607903709568
Moved to 293, 525 at time 1607903709602
Moved to 292, 524 at time 1607903709636
Moved to 291, 523 at time 1607903709670
Moved to 290, 522 at time 1607903709704
Moved to 289, 521 at time 1607903709772
Moved to 288, 520 at time 1607903709807
Moved to 287, 519 at time 1607903709841
Moved to 286, 518 at time 1607903709875
Moved to 285, 517 at time 1607903709912
Moved to 284, 516 at time 1607903709946
Moved to 283, 515 at time 1607903709982
Moved to 282, 514 at time 1607903710017
Moved to 281, 513 at time 1607903710051
Moved to 280, 512 at time 1607903710085
Moved to 279, 511 at time 1607903710152
Moved to 278, 510 at time 1607903710186
Moved to 277, 509 at time 1607903710220
Moved to 276, 508 at time 1607903710254
Moved to 275, 507 at time 1607903710288
Moved to 274, 506 at time 1607903710355
Moved to 273, 505 at time 1607903710389
Moved to 272, 504 at time 1607903710423
Moved to 271, 503 at time 1607903710457
Moved to 270, 502 at time 1607903710491
Moved to 269, 501 at time 1607903710525
Moved to 268, 500 at time 1607903710559
Moved to 267, 499 at time 1607903710593
Moved to 266, 498 at time 1607903710660
Moved to 263, 497 at time 1607903710764
Moved to 261, 496 at time 1607903710832
Moved to 259, 495 at time 1607903710933
Moved to 256, 494 at time 1607903711035
Moved to 255, 493 at time 1607903711102
Moved to 254, 492 at time 1607903711169
Moved to 253, 491 at time 1607903711236
Moved to 252, 490 at time 1607903711369
Moved to 251, 489 at time 1607903711436
Moved to 250, 488 at time 1607903711503
Moved to 249, 487 at time 1607903711570
Moved to 248, 486 at time 1607903711637
Moved to 247, 485 at time 1607903711770
Moved to 246, 484 at time 1607903711837
Moved to 245, 483 at time 1607903711904
Moved to 244, 482 at time 1607903711971
Moved to 243, 481 at time 1607903712105
Moved to 242, 441 at time 1607903716060
Moved to 241, 440 at time 1607903716127
Moved to 240, 439 at time 1607903716260
Moved to 239, 438 at time 1607903716327
Moved to 238, 437 at time 1607903716394
Moved to 237, 436 at time 1607903716461
Moved to 236, 435 at time 1607903716528
Moved to 235, 434 at time 1607903716661
Moved to 234, 433 at time 1607903716695
Moved to 233, 432 at time 1607903716729
Moved to 232, 431 at time 1607903716763
Moved to 231, 430 at time 1607903716797
Moved to 230, 429 at time 1607903716864
Moved to 229, 428 at time 1607903716898
Moved to 228, 427 at time 1607903716932
Moved to 227, 426 at time 1607903716966
Moved to 226, 425 at time 1607903717001
Moved to 225, 424 at time 1607903717035
Moved to 224, 423 at time 1607903717069
Moved to 223, 422 at time 1607903717104
Moved to 222, 421 at time 1607903717138
Moved to 221, 420 at time 1607903717172
Moved to 220, 419 at time 1607903717206
Moved to 184, 418 at time 1607903719651
Moved to 183, 417 at time 1607903719718
Moved to 182, 416 at time 1607903719785
Moved to 181, 415 at time 1607903719852
Moved to 180, 414 at time 1607903719919
Moved to 179, 413 at time 1607903720052
Moved to 178, 412 at time 1607903720122
Moved to 177, 411 at time 1607903720188
Moved to 176, 410 at time 1607903720256
Moved to 175, 409 at time 1607903720324
Moved to 174, 408 at time 1607903720392
Moved to 173, 407 at time 1607903720460
Moved to 172, 406 at time 1607903720527
Moved to 171, 405 at time 1607903720594
Moved to 170, 404 at time 1607903720661
Moved to 169, 403 at time 1607903720794
Moved to 168, 402 at time 1607903720861
Moved to 167, 401 at time 1607903720928
Moved to 166, 400 at time 1607903720995
Moved to 165, 399 at time 1607903721062
Attacked Unit@78f22753at position 100, 100 at time 1607903721128
Attacked Unit@78f22753at position 100, 100 at time 1607903722807
Attacked Unit@78f22753at position 100, 100 at time 1607903724480
Attacked Unit@78f22753at position 100, 100 at time 1607903726149
Attacked Unit@78f22753at position 100, 100 at time 1607903727833
Attacked Unit@78f22753at position 100, 100 at time 1607903729509
