Moved to 215, 173 at time 1607969803947
Moved to 214, 172 at time 1607969803965
Moved to 213, 171 at time 1607969803987
Moved to 212, 170 at time 1607969804008
Moved to 211, 169 at time 1607969804037
Moved to 210, 168 at time 1607969804069
Moved to 209, 167 at time 1607969804080
Moved to 208, 166 at time 1607969804092
Moved to 207, 165 at time 1607969804106
Moved to 206, 164 at time 1607969804123
Moved to 205, 163 at time 1607969804138
Moved to 204, 162 at time 1607969804155
Moved to 203, 161 at time 1607969804169
Moved to 202, 160 at time 1607969804182
Moved to 201, 159 at time 1607969804226
Moved to 200, 158 at time 1607969804240
Moved to 199, 157 at time 1607969804254
Moved to 198, 156 at time 1607969804271
Moved to 197, 155 at time 1607969804286
Moved to 196, 154 at time 1607969804298
Moved to 195, 153 at time 1607969804309
Moved to 194, 152 at time 1607969804320
Moved to 193, 151 at time 1607969804331
Moved to 192, 150 at time 1607969804359
Moved to 191, 149 at time 1607969804372
Moved to 190, 148 at time 1607969804385
Moved to 189, 147 at time 1607969804397
Moved to 188, 146 at time 1607969804409
Moved to 187, 145 at time 1607969804421
Moved to 186, 144 at time 1607969804432
Moved to 185, 143 at time 1607969804451
Moved to 184, 142 at time 1607969804463
Moved to 183, 141 at time 1607969804476
Moved to 182, 140 at time 1607969804489
Moved to 181, 139 at time 1607969804502
Moved to 180, 138 at time 1607969804515
Moved to 179, 137 at time 1607969804536
Attacked Unit@545bec9dat position 100, 100 at time 1607969804548
Attacked Unit@545bec9dat position 100, 100 at time 1607969804971
