Moved to 2610, 1804 at time 1607968070276
Moved to 2609, 1803 at time 1607968144062
Moved to 2608, 1802 at time 1607968144390
Moved to 2607, 1801 at time 1607968144644
Moved to 2606, 1800 at time 1607968144908
Moved to 2605, 1799 at time 1607968145200
Moved to 2604, 1798 at time 1607968145517
Moved to 2603, 1797 at time 1607968145809
Moved to 2602, 1796 at time 1607968146130
Moved to 2601, 1795 at time 1607968146357
Moved to 2600, 1794 at time 1607968146825
Moved to 2599, 1793 at time 1607968147098
Moved to 2598, 1792 at time 1607968147303
Moved to 2597, 1791 at time 1607968147541
Moved to 2596, 1790 at time 1607968147705
Moved to 2595, 1789 at time 1607968147909
Moved to 2594, 1788 at time 1607968148196
Moved to 2593, 1787 at time 1607968148512
Moved to 2592, 1786 at time 1607968148779
Moved to 2591, 1785 at time 1607968149099
Moved to 2590, 1784 at time 1607968149447
Moved to 2589, 1783 at time 1607968149657
Moved to 2588, 1782 at time 1607968149917
Moved to 2587, 1781 at time 1607968150188
Moved to 2586, 1780 at time 1607968150314
Moved to 2585, 1779 at time 1607968150446
Moved to 2584, 1778 at time 1607968150668
Moved to 2583, 1777 at time 1607968150772
Moved to 2582, 1776 at time 1607968151030
Moved to 2581, 1775 at time 1607968151135
Moved to 2580, 1774 at time 1607968151380
Moved to 2579, 1773 at time 1607968151661
Moved to 2578, 1772 at time 1607968151790
Moved to 2577, 1771 at time 1607968152025
Moved to 2576, 1770 at time 1607968152133
Moved to 2575, 1769 at time 1607968152360
Moved to 2574, 1768 at time 1607968152627
Moved to 2573, 1767 at time 1607968152858
Moved to 2572, 1766 at time 1607968153114
Moved to 2571, 1765 at time 1607968153361
Moved to 2570, 1764 at time 1607968153647
Moved to 2569, 1763 at time 1607968153927
Moved to 2568, 1762 at time 1607968263756
Moved to 2567, 1761 at time 1607968263980
Moved to 2566, 1760 at time 1607968264258
Moved to 2565, 1759 at time 1607968264461
Moved to 2564, 1758 at time 1607968264696
Moved to 2563, 1757 at time 1607968264907
Moved to 2562, 1756 at time 1607968265154
Moved to 2561, 1755 at time 1607968265340
Moved to 2560, 1754 at time 1607968265601
Moved to 2559, 1753 at time 1607968265756
Moved to 2558, 1752 at time 1607968266042
Moved to 2557, 1751 at time 1607968266225
Moved to 2556, 1750 at time 1607968266385
Moved to 2555, 1749 at time 1607968266538
Moved to 2554, 1748 at time 1607968266714
Moved to 2553, 1747 at time 1607968266818
Moved to 2552, 1746 at time 1607968266991
Moved to 2551, 1745 at time 1607968267106
Moved to 2550, 1744 at time 1607968267260
Moved to 2549, 1743 at time 1607968267435
Moved to 2548, 1742 at time 1607968267541
Moved to 2547, 1741 at time 1607968267677
Moved to 2546, 1740 at time 1607968267825
Moved to 2545, 1739 at time 1607968267975
Moved to 2544, 1738 at time 1607968268109
Moved to 2543, 1737 at time 1607968268255
Moved to 2542, 1736 at time 1607968268381
Moved to 2541, 1735 at time 1607968268507
Moved to 2540, 1734 at time 1607968268617
Moved to 2539, 1733 at time 1607968268771
Moved to 2538, 1732 at time 1607968268927
Moved to 2537, 1731 at time 1607968269054
Moved to 2536, 1730 at time 1607968269212
Moved to 2535, 1729 at time 1607968269343
Moved to 2534, 1728 at time 1607968269474
Moved to 2533, 1727 at time 1607968269592
Moved to 2532, 1726 at time 1607968269704
Moved to 2531, 1725 at time 1607968269860
Moved to 2530, 1724 at time 1607968270004
Moved to 2529, 1723 at time 1607968270106
