Moved to 863, 854 at time 1607968070154
Moved to 862, 853 at time 1607968070339
Moved to 861, 852 at time 1607968143798
Moved to 860, 851 at time 1607968143810
Moved to 859, 850 at time 1607968143823
Moved to 858, 849 at time 1607968143964
Moved to 857, 848 at time 1607968144096
Moved to 856, 847 at time 1607968144154
Moved to 855, 846 at time 1607968144223
Moved to 854, 845 at time 1607968144290
Moved to 853, 844 at time 1607968144345
Moved to 852, 843 at time 1607968144472
Moved to 851, 842 at time 1607968144523
Moved to 850, 841 at time 1607968144705
Moved to 849, 840 at time 1607968144769
Moved to 848, 839 at time 1607968144981
Moved to 847, 838 at time 1607968144994
Got attacked at 847, 838 by Unit@62e56bfe at time 1607968145098
Moved to 846, 837 at time 1607968145161
Moved to 845, 836 at time 1607968145368
Moved to 844, 835 at time 1607968145540
Moved to 843, 834 at time 1607968145665
Moved to 842, 833 at time 1607968145910
Moved to 841, 832 at time 1607968146025
Moved to 840, 831 at time 1607968146103
Moved to 839, 830 at time 1607968146284
Moved to 838, 829 at time 1607968146422
Moved to 837, 828 at time 1607968146646
Moved to 836, 827 at time 1607968146763
Moved to 835, 826 at time 1607968146867
Moved to 834, 825 at time 1607968146922
Moved to 833, 824 at time 1607968146986
Moved to 832, 823 at time 1607968147024
Moved to 831, 822 at time 1607968147089
Moved to 830, 821 at time 1607968147125
Moved to 829, 820 at time 1607968147232
Moved to 828, 819 at time 1607968147258
Moved to 827, 818 at time 1607968147377
Moved to 826, 817 at time 1607968147401
Moved to 825, 816 at time 1607968147523
Moved to 824, 815 at time 1607968147572
Moved to 823, 814 at time 1607968147656
Moved to 822, 813 at time 1607968147675
Moved to 821, 812 at time 1607968147784
Moved to 820, 811 at time 1607968147802
Moved to 819, 810 at time 1607968147896
Moved to 818, 809 at time 1607968148089
Moved to 817, 808 at time 1607968148106
Moved to 816, 807 at time 1607968148398
Moved to 815, 806 at time 1607968148653
Moved to 814, 805 at time 1607968148684
Moved to 813, 804 at time 1607968149028
Moved to 812, 803 at time 1607968149248
Moved to 811, 802 at time 1607968149306
Moved to 810, 801 at time 1607968149430
Moved to 809, 800 at time 1607968149495
Moved to 808, 799 at time 1607968149611
Moved to 807, 798 at time 1607968149815
Moved to 806, 797 at time 1607968149858
Moved to 805, 796 at time 1607968149986
Moved to 804, 795 at time 1607968149997
Moved to 803, 794 at time 1607968150017
Moved to 802, 793 at time 1607968150180
Moved to 801, 792 at time 1607968150197
Moved to 800, 791 at time 1607968150279
Moved to 799, 790 at time 1607968150310
Moved to 798, 789 at time 1607968150415
Moved to 797, 788 at time 1607968150436
Moved to 796, 787 at time 1607968150510
Moved to 795, 786 at time 1607968150547
Moved to 794, 785 at time 1607968150660
Moved to 793, 784 at time 1607968150842
Moved to 792, 783 at time 1607968150856
Moved to 791, 782 at time 1607968151034
Moved to 790, 781 at time 1607968151216
Moved to 789, 780 at time 1607968151396
Moved to 788, 779 at time 1607968151549
Moved to 787, 778 at time 1607968151566
Moved to 786, 777 at time 1607968151714
Moved to 785, 776 at time 1607968151819
Moved to 784, 775 at time 1607968151936
Moved to 783, 774 at time 1607968152131
Moved to 782, 773 at time 1607968152281
Moved to 781, 772 at time 1607968152299
Moved to 780, 771 at time 1607968152449
Moved to 779, 770 at time 1607968152460
Moved to 778, 769 at time 1607968152620
Moved to 777, 768 at time 1607968152633
Moved to 776, 767 at time 1607968152785
Moved to 775, 766 at time 1607968152950
Moved to 774, 765 at time 1607968152964
Moved to 773, 764 at time 1607968153097
Moved to 772, 763 at time 1607968153127
Moved to 771, 762 at time 1607968153275
Moved to 770, 761 at time 1607968153296
Moved to 769, 760 at time 1607968153442
Moved to 768, 759 at time 1607968153465
Moved to 767, 758 at time 1607968153631
Moved to 766, 757 at time 1607968153842
Moved to 765, 756 at time 1607968153999
Moved to 764, 755 at time 1607968263623
Moved to 763, 754 at time 1607968263654
Moved to 762, 753 at time 1607968263679
Moved to 761, 752 at time 1607968263785
Moved to 760, 751 at time 1607968263908
Moved to 759, 750 at time 1607968264044
Moved to 758, 749 at time 1607968264226
Moved to 757, 748 at time 1607968264402
Moved to 756, 747 at time 1607968264618
Moved to 755, 746 at time 1607968264630
Got attacked at 755, 746 by Unit@62e56bfe at time 1607968264776
Moved to 754, 745 at time 1607968264828
Moved to 753, 744 at time 1607968264871
Moved to 752, 743 at time 1607968265062
Moved to 751, 742 at time 1607968265086
Moved to 750, 741 at time 1607968265282
Moved to 749, 740 at time 1607968265313
Moved to 748, 739 at time 1607968265506
Moved to 747, 738 at time 1607968265523
Moved to 746, 737 at time 1607968265716
Moved to 745, 736 at time 1607968265735
Moved to 744, 735 at time 1607968265938
Moved to 743, 734 at time 1607968265963
Moved to 742, 733 at time 1607968266155
Moved to 741, 732 at time 1607968266201
Moved to 740, 731 at time 1607968266342
Moved to 739, 730 at time 1607968266363
Moved to 738, 729 at time 1607968266453
Moved to 737, 728 at time 1607968266470
Moved to 736, 727 at time 1607968266540
Moved to 735, 726 at time 1607968266554
Moved to 734, 725 at time 1607968266568
Moved to 733, 724 at time 1607968266603
Moved to 732, 723 at time 1607968266658
Moved to 731, 722 at time 1607968266685
Moved to 730, 721 at time 1607968266742
Moved to 729, 720 at time 1607968266757
Moved to 728, 719 at time 1607968266844
Moved to 727, 718 at time 1607968266857
Moved to 726, 717 at time 1607968266910
Moved to 725, 716 at time 1607968266922
Moved to 724, 715 at time 1607968266988
Moved to 723, 714 at time 1607968267068
Moved to 722, 713 at time 1607968267079
Moved to 721, 712 at time 1607968267114
Moved to 720, 711 at time 1607968267170
Moved to 719, 710 at time 1607968267255
Moved to 718, 709 at time 1607968267274
Moved to 717, 708 at time 1607968267341
Moved to 716, 707 at time 1607968267352
Moved to 715, 706 at time 1607968267441
Moved to 714, 705 at time 1607968267525
Moved to 713, 704 at time 1607968267542
Moved to 712, 703 at time 1607968267609
Moved to 711, 702 at time 1607968267702
Moved to 710, 701 at time 1607968267770
Moved to 709, 700 at time 1607968267823
Moved to 708, 699 at time 1607968267920
Moved to 707, 698 at time 1607968267972
Moved to 706, 697 at time 1607968267987
Moved to 705, 696 at time 1607968268040
Moved to 704, 695 at time 1607968268058
Moved to 703, 694 at time 1607968268119
Moved to 702, 693 at time 1607968268131
Moved to 701, 692 at time 1607968268173
Moved to 700, 691 at time 1607968268196
Moved to 699, 690 at time 1607968268250
Moved to 698, 689 at time 1607968268263
Moved to 697, 688 at time 1607968268330
Moved to 696, 687 at time 1607968268393
Moved to 695, 686 at time 1607968268406
Moved to 694, 685 at time 1607968268459
Moved to 693, 684 at time 1607968268525
Moved to 692, 683 at time 1607968268603
Moved to 691, 682 at time 1607968268694
Moved to 690, 681 at time 1607968268780
Moved to 689, 680 at time 1607968268797
Moved to 688, 679 at time 1607968268855
Moved to 687, 678 at time 1607968268938
Moved to 686, 677 at time 1607968269002
Moved to 685, 676 at time 1607968269064
Moved to 684, 675 at time 1607968269122
Moved to 683, 674 at time 1607968269187
Moved to 682, 673 at time 1607968269238
Moved to 681, 672 at time 1607968269326
Moved to 680, 671 at time 1607968269387
Moved to 679, 670 at time 1607968269456
Moved to 678, 669 at time 1607968269520
Moved to 677, 668 at time 1607968269576
Moved to 676, 667 at time 1607968269665
Moved to 675, 666 at time 1607968269720
Moved to 674, 665 at time 1607968269791
Moved to 673, 664 at time 1607968269864
Moved to 672, 663 at time 1607968269931
Moved to 671, 662 at time 1607968270026
Moved to 670, 661 at time 1607968270093
Moved to 669, 660 at time 1607968270176
Moved to 668, 659 at time 1607968270188
Moved to 667, 658 at time 1607968270228
Moved to 666, 657 at time 1607968270258
Moved to 665, 656 at time 1607968270293
Moved to 664, 655 at time 1607968270324
Moved to 663, 654 at time 1607968270390
Moved to 662, 653 at time 1607968270419
Moved to 661, 652 at time 1607968270458
Moved to 660, 651 at time 1607968270495
Moved to 659, 650 at time 1607968270530
Moved to 658, 649 at time 1607968270610
Moved to 657, 648 at time 1607968270626
Moved to 656, 647 at time 1607968270685
Moved to 655, 646 at time 1607968270710
Moved to 654, 645 at time 1607968270775
Moved to 653, 644 at time 1607968270799
Moved to 652, 643 at time 1607968270842
Moved to 651, 642 at time 1607968270927
Moved to 650, 641 at time 1607968270939
Moved to 649, 640 at time 1607968270989
Moved to 648, 639 at time 1607968271091
Moved to 647, 638 at time 1607968271165
Moved to 646, 637 at time 1607968271176
Moved to 645, 636 at time 1607968271226
Moved to 644, 635 at time 1607968271238
Moved to 643, 634 at time 1607968271298
Moved to 642, 633 at time 1607968271375
Moved to 641, 632 at time 1607968271432
Moved to 640, 631 at time 1607968271527
Moved to 639, 630 at time 1607968271594
Moved to 638, 629 at time 1607968271677
Got attacked at 638, 629 by Unit@62e56bfe at time 1607968271739
Moved to 637, 628 at time 1607968271753
Moved to 636, 627 at time 1607968271838
Moved to 635, 626 at time 1607968271928
Moved to 634, 625 at time 1607968271996
Moved to 633, 624 at time 1607968272065
Moved to 632, 623 at time 1607968272142
Moved to 631, 622 at time 1607968272209
Moved to 630, 621 at time 1607968272298
Moved to 629, 620 at time 1607968272369
Moved to 628, 619 at time 1607968272431
Moved to 627, 618 at time 1607968272507
Moved to 626, 617 at time 1607968272570
