Moved to 2116, 1441 at time 1607968586275
Moved to 2115, 1440 at time 1607968622504
Moved to 2114, 1439 at time 1607968622715
Moved to 2113, 1438 at time 1607968622824
Moved to 2112, 1437 at time 1607968622990
Moved to 2111, 1436 at time 1607968623024
Moved to 2110, 1435 at time 1607968623199
Moved to 2109, 1434 at time 1607968623524
Moved to 2108, 1433 at time 1607968624047
Moved to 2107, 1432 at time 1607968624536
Moved to 2106, 1431 at time 1607968625007
Moved to 2105, 1430 at time 1607968625283
Moved to 2104, 1429 at time 1607968625320
Moved to 2103, 1428 at time 1607968625673
Moved to 2102, 1427 at time 1607968625708
Moved to 2101, 1426 at time 1607968625843
Moved to 2100, 1425 at time 1607968625919
Moved to 2099, 1424 at time 1607968626123
Moved to 2098, 1423 at time 1607968626224
Moved to 2097, 1422 at time 1607968626371
Moved to 2096, 1421 at time 1607968626456
Moved to 2095, 1420 at time 1607968626644
Moved to 2094, 1419 at time 1607968626787
Moved to 2093, 1418 at time 1607968626928
Moved to 2092, 1417 at time 1607968627059
Moved to 2091, 1416 at time 1607968627130
Moved to 2090, 1415 at time 1607968627192
Moved to 2089, 1414 at time 1607968627258
Moved to 2088, 1413 at time 1607968627366
Moved to 2087, 1412 at time 1607968627418
Moved to 2086, 1411 at time 1607968627541
Moved to 2085, 1410 at time 1607968627592
Moved to 2084, 1409 at time 1607968627686
Moved to 2083, 1408 at time 1607968627736
Moved to 2082, 1407 at time 1607968627832
Moved to 2081, 1406 at time 1607968627895
Moved to 2080, 1405 at time 1607968627966
Moved to 2079, 1404 at time 1607968628042
Moved to 2078, 1403 at time 1607968628096
Moved to 2077, 1402 at time 1607968628143
Moved to 2076, 1401 at time 1607968628189
Moved to 2075, 1400 at time 1607968628270
Moved to 2074, 1399 at time 1607968628312
Moved to 2073, 1398 at time 1607968628396
Moved to 2072, 1397 at time 1607968628474
Moved to 2071, 1396 at time 1607968628550
Moved to 2070, 1395 at time 1607968628604
Moved to 2069, 1394 at time 1607968628643
Moved to 2068, 1393 at time 1607968628712
Moved to 2067, 1392 at time 1607968628759
Moved to 2066, 1391 at time 1607968628894
Moved to 2065, 1390 at time 1607968628928
Moved to 2064, 1389 at time 1607968628977
Moved to 2063, 1388 at time 1607968629123
Moved to 2062, 1387 at time 1607968629196
Moved to 2061, 1386 at time 1607968629345
Moved to 2060, 1385 at time 1607968629427
Moved to 2059, 1384 at time 1607968629586
Moved to 2058, 1383 at time 1607968629818
Moved to 2057, 1382 at time 1607968629982
Moved to 2056, 1381 at time 1607968630080
Moved to 2055, 1380 at time 1607968630159
Moved to 2054, 1379 at time 1607968630239
Moved to 2053, 1378 at time 1607968630326
Moved to 2052, 1377 at time 1607968630421
Moved to 2051, 1376 at time 1607968630464
Moved to 2050, 1375 at time 1607968630603
Moved to 2049, 1374 at time 1607968630650
Moved to 2048, 1373 at time 1607968630793
Moved to 2047, 1372 at time 1607968630834
Moved to 2046, 1371 at time 1607968631016
Moved to 2045, 1370 at time 1607968631076
Moved to 2044, 1369 at time 1607968631290
Moved to 2043, 1368 at time 1607968631383
Moved to 2042, 1367 at time 1607968631579
Moved to 2041, 1366 at time 1607968631647
Moved to 2040, 1365 at time 1607968631948
Moved to 2039, 1364 at time 1607968632008
Moved to 2038, 1363 at time 1607968632065
Moved to 2037, 1362 at time 1607968632269
Moved to 2036, 1361 at time 1607968632343
Moved to 2035, 1360 at time 1607968632418
Moved to 2034, 1359 at time 1607968632464
Moved to 2033, 1358 at time 1607968632499
Moved to 2032, 1357 at time 1607968632559
Moved to 2031, 1356 at time 1607968632631
Moved to 2030, 1355 at time 1607968632668
Moved to 2029, 1354 at time 1607968632712
Moved to 2028, 1353 at time 1607968632748
Moved to 2027, 1352 at time 1607968632791
Moved to 2026, 1351 at time 1607968632827
Moved to 2025, 1350 at time 1607968632874
Moved to 2024, 1349 at time 1607968632910
Moved to 2023, 1348 at time 1607968632976
Moved to 2022, 1347 at time 1607968633027
Moved to 2021, 1346 at time 1607968633083
Moved to 2020, 1345 at time 1607968633154
Moved to 2019, 1344 at time 1607968633216
Moved to 2018, 1343 at time 1607968633281
Moved to 2017, 1342 at time 1607968633319
Moved to 2016, 1341 at time 1607968633363
Moved to 2015, 1340 at time 1607968633430
Moved to 2014, 1339 at time 1607968633481
Moved to 2013, 1338 at time 1607968705448
Moved to 2012, 1337 at time 1607968705483
Moved to 2011, 1336 at time 1607968705568
Moved to 2010, 1335 at time 1607968705609
Moved to 2009, 1334 at time 1607968705653
Moved to 2008, 1333 at time 1607968705716
Moved to 2007, 1332 at time 1607968705776
Moved to 2006, 1331 at time 1607968705849
Moved to 2005, 1330 at time 1607968705919
Moved to 2004, 1329 at time 1607968705986
Moved to 2003, 1328 at time 1607968706082
Moved to 2002, 1327 at time 1607968706160
Moved to 2001, 1326 at time 1607968706227
Moved to 2000, 1325 at time 1607968706297
Moved to 1999, 1324 at time 1607968706364
Moved to 1998, 1323 at time 1607968706425
Moved to 1997, 1322 at time 1607968706463
Moved to 1996, 1321 at time 1607968706534
Moved to 1995, 1320 at time 1607968706580
Moved to 1994, 1319 at time 1607968706636
Moved to 1993, 1318 at time 1607968706767
Moved to 1992, 1317 at time 1607968706930
Moved to 1991, 1316 at time 1607968707003
Moved to 1990, 1315 at time 1607968707071
Moved to 1989, 1314 at time 1607968707158
Moved to 1988, 1313 at time 1607968707204
Moved to 1987, 1312 at time 1607968707276
Moved to 1986, 1311 at time 1607968707320
Moved to 1985, 1310 at time 1607968707354
Moved to 1984, 1309 at time 1607968707407
Moved to 1983, 1308 at time 1607968707461
Moved to 1982, 1307 at time 1607968707506
Moved to 1981, 1306 at time 1607968707564
Moved to 1980, 1305 at time 1607968707639
Moved to 1979, 1304 at time 1607968707717
Moved to 1978, 1303 at time 1607968707751
Moved to 1977, 1302 at time 1607968707810
Moved to 1976, 1301 at time 1607968707851
Moved to 1975, 1300 at time 1607968707918
Moved to 1974, 1299 at time 1607968707997
Moved to 1973, 1298 at time 1607968708069
Moved to 1972, 1297 at time 1607968708141
Moved to 1971, 1296 at time 1607968708247
Moved to 1970, 1295 at time 1607968708303
Moved to 1969, 1294 at time 1607968708387
Moved to 1968, 1293 at time 1607968708437
Moved to 1967, 1292 at time 1607968708516
Moved to 1966, 1291 at time 1607968708574
Moved to 1965, 1290 at time 1607968708661
Moved to 1964, 1289 at time 1607968708755
Moved to 1963, 1288 at time 1607968708853
Moved to 1962, 1287 at time 1607968708904
Moved to 1961, 1286 at time 1607968708977
Moved to 1960, 1285 at time 1607968709030
Moved to 1959, 1284 at time 1607968709104
Moved to 1958, 1283 at time 1607968709174
Moved to 1957, 1282 at time 1607968709210
Moved to 1956, 1281 at time 1607968709253
Moved to 1955, 1280 at time 1607968709341
Moved to 1954, 1279 at time 1607968709383
Moved to 1953, 1278 at time 1607968709460
Moved to 1952, 1277 at time 1607968709561
Moved to 1951, 1276 at time 1607968709643
Moved to 1950, 1275 at time 1607968709709
Moved to 1949, 1274 at time 1607968709814
Moved to 1948, 1273 at time 1607968709912
Moved to 1947, 1272 at time 1607968710190
Moved to 1946, 1271 at time 1607968710258
Moved to 1945, 1270 at time 1607968710431
Moved to 1944, 1269 at time 1607968710504
Moved to 1943, 1268 at time 1607968710688
