Moved to 98, 1026 at time 1607971941743
Moved to 99, 1025 at time 1607972019920
Moved to 100, 1024 at time 1607972019981
Moved to 101, 1023 at time 1607972020017
Moved to 102, 1022 at time 1607972020052
Moved to 103, 1021 at time 1607972020086
Moved to 104, 1020 at time 1607972020120
Moved to 105, 1019 at time 1607972020155
Moved to 106, 1018 at time 1607972020189
Moved to 107, 1017 at time 1607972020223
Moved to 108, 1016 at time 1607972020257
Moved to 109, 1015 at time 1607972020291
Moved to 110, 1014 at time 1607972020325
Moved to 111, 1013 at time 1607972020361
Moved to 112, 1011 at time 1607972020430
Moved to 113, 1010 at time 1607972020465
Moved to 114, 1009 at time 1607972020501
Moved to 115, 1008 at time 1607972020535
Moved to 116, 1007 at time 1607972020569
Moved to 117, 1006 at time 1607972020604
Moved to 118, 1005 at time 1607972020638
Moved to 119, 1004 at time 1607972020672
Moved to 120, 1003 at time 1607972020709
Moved to 121, 1002 at time 1607972020743
Moved to 122, 1001 at time 1607972020778
Moved to 123, 1000 at time 1607972020813
Moved to 124, 999 at time 1607972020847
Moved to 125, 998 at time 1607972020914
Moved to 127, 997 at time 1607972020985
Moved to 128, 996 at time 1607972021019
Moved to 129, 995 at time 1607972021053
Moved to 133, 996 at time 1607972021222
Moved to 134, 995 at time 1607972021256
Moved to 136, 996 at time 1607972021329
Moved to 144, 997 at time 1607972021646
Moved to 149, 998 at time 1607972021924
Moved to 171, 985 at time 1607972027225
Moved to 172, 984 at time 1607972027331
Moved to 173, 979 at time 1607972030147
Moved to 178, 979 at time 1607972030453
Moved to 179, 981 at time 1607972030556
Moved to 180, 981 at time 1607972030624
Moved to 181, 980 at time 1607972030658
Moved to 182, 979 at time 1607972030727
Moved to 183, 982 at time 1607972030830
Moved to 184, 983 at time 1607972030864
Moved to 185, 982 at time 1607972030966
Moved to 186, 983 at time 1607972031068
Moved to 187, 986 at time 1607972031240
Moved to 188, 988 at time 1607972031376
Moved to 189, 988 at time 1607972031477
Moved to 190, 991 at time 1607972031649
Moved to 191, 992 at time 1607972031683
Moved to 192, 993 at time 1607972031886
Moved to 193, 992 at time 1607972031988
Moved to 194, 994 at time 1607972032157
Moved to 195, 993 at time 1607972032191
Moved to 196, 995 at time 1607972032360
Moved to 197, 1000 at time 1607972032569
Moved to 198, 1003 at time 1607972032845
