Attacked Unit@381d7b3at position 349, 687 at time 1607905322010
Attacked Unit@2e2b7a12at position 624, 749 at time 1607905465194
Attacked Unit@4efb3b77at position 773, 813 at time 1607905467021
Attacked Unit@106b4657at position 382, 824 at time 1607905468733
Attacked Unit@4fd7c514at position 273, 785 at time 1607905470493
Moved to 509, 901 at time 1607905472198
Moved to 510, 900 at time 1607905472268
Moved to 511, 899 at time 1607905472342
Attacked Unit@2c142cf1at position 263, 630 at time 1607905472457
Attacked Unit@2c142cf1at position 263, 630 at time 1607905474175
Attacked Unit@2c142cf1at position 263, 630 at time 1607905475868
Attacked Unit@2c142cf1at position 263, 630 at time 1607905477542
Moved to 510, 898 at time 1607905478774
Moved to 509, 897 at time 1607905478813
Moved to 508, 896 at time 1607905478872
Moved to 507, 895 at time 1607905478934
Moved to 506, 894 at time 1607905478977
Moved to 505, 893 at time 1607905479025
Moved to 504, 892 at time 1607905479082
Moved to 503, 891 at time 1607905479131
Moved to 502, 890 at time 1607905479189
Moved to 501, 889 at time 1607905479237
Moved to 500, 888 at time 1607905479302
Moved to 499, 887 at time 1607905479358
Moved to 498, 886 at time 1607905479407
Moved to 497, 885 at time 1607905479469
Moved to 496, 884 at time 1607905479527
Moved to 495, 883 at time 1607905479578
Moved to 494, 882 at time 1607905479635
Moved to 493, 881 at time 1607905479678
Moved to 492, 880 at time 1607905479729
Moved to 491, 879 at time 1607905479770
Moved to 490, 878 at time 1607905479811
Moved to 489, 877 at time 1607905479860
Moved to 488, 876 at time 1607905479903
Attacked Unit@21f06dcfat position 352, 607 at time 1607905479948
Moved to 487, 875 at time 1607905480478
Moved to 486, 874 at time 1607905480532
Moved to 485, 873 at time 1607905480575
Moved to 484, 872 at time 1607905480622
Moved to 483, 871 at time 1607905480673
Moved to 482, 870 at time 1607905480720
Moved to 481, 869 at time 1607905480770
Moved to 480, 868 at time 1607905480809
Moved to 479, 867 at time 1607905480849
Moved to 478, 866 at time 1607905480903
Moved to 477, 865 at time 1607905480942
Moved to 476, 864 at time 1607905480986
Moved to 475, 863 at time 1607905481021
Moved to 474, 862 at time 1607905481057
Moved to 473, 861 at time 1607905481092
Moved to 472, 860 at time 1607905481141
Moved to 471, 859 at time 1607905481186
Moved to 470, 858 at time 1607905481226
Moved to 469, 857 at time 1607905481270
Moved to 468, 856 at time 1607905481304
Moved to 467, 855 at time 1607905481346
Moved to 466, 854 at time 1607905481386
Moved to 465, 853 at time 1607905481421
Moved to 464, 852 at time 1607905481460
Moved to 463, 851 at time 1607905481510
Moved to 462, 850 at time 1607905481557
Moved to 461, 849 at time 1607905481596
Moved to 460, 848 at time 1607905481643
Moved to 461, 847 at time 1607905481713
Moved to 462, 846 at time 1607905481758
Moved to 463, 845 at time 1607905481811
Moved to 464, 844 at time 1607905481854
Moved to 465, 843 at time 1607905481898
Moved to 466, 842 at time 1607905481953
Moved to 467, 841 at time 1607905482011
Moved to 468, 840 at time 1607905482061
Moved to 469, 839 at time 1607905482098
Moved to 470, 838 at time 1607905482139
Moved to 471, 837 at time 1607905482179
