Attacked Unit@f825842at position 568, 281 at time 1607905322150
Attacked Unit@22102b36at position 633, 351 at time 1607905465251
Attacked Unit@5d562a57at position 649, 205 at time 1607905466800
Attacked Unit@2868bdabat position 835, 335 at time 1607905468523
Attacked Unit@783eab6cat position 781, 346 at time 1607905470333
Got attacked at 792, 443 by Unit@f825842 at time 1607905470340
Got attacked at 792, 443 by Unit@5d562a57 at time 1607905471867
Attacked Unit@464a9b1eat position 544, 373 at time 1607905471923
Got attacked at 792, 443 by Unit@464a9b1e at time 1607905472101
Got attacked at 792, 443 by Unit@f825842 at time 1607905472102
Got attacked at 792, 443 by Unit@5d562a57 at time 1607905473591
Attacked Unit@1a18967cat position 558, 418 at time 1607905473609
Attacked Unit@2b222fbaat position 546, 452 at time 1607905475331
Got attacked at 792, 443 by Unit@464a9b1e at time 1607905475476
Got attacked at 792, 443 by Unit@633b79eb at time 1607905476084
Died at 792, 443 at time 1607905476118
