Moved to 711, 840 at time 1607967053367
Moved to 710, 839 at time 1607967053763
Moved to 709, 838 at time 1607967097302
Moved to 708, 837 at time 1607967097314
Moved to 707, 836 at time 1607967097341
Moved to 706, 835 at time 1607967097578
Moved to 705, 834 at time 1607967097599
Moved to 704, 833 at time 1607967097822
Moved to 703, 832 at time 1607967098057
Moved to 702, 831 at time 1607967098068
Moved to 701, 830 at time 1607967098227
Moved to 700, 829 at time 1607967098249
Moved to 699, 828 at time 1607967098409
Moved to 698, 827 at time 1607967098425
Moved to 697, 826 at time 1607967098639
Moved to 696, 825 at time 1607967098664
Moved to 695, 824 at time 1607967098919
Moved to 694, 823 at time 1607967098951
Moved to 693, 822 at time 1607967099441
Moved to 692, 821 at time 1607967099488
Moved to 691, 820 at time 1607967100028
Moved to 690, 819 at time 1607967100040
Moved to 689, 818 at time 1607967100445
Moved to 688, 817 at time 1607967100872
Moved to 687, 816 at time 1607967101641
Moved to 686, 815 at time 1607967101870
Moved to 685, 814 at time 1607967102016
Moved to 684, 813 at time 1607967102039
Moved to 683, 812 at time 1607967102186
Moved to 682, 811 at time 1607967102199
Moved to 681, 810 at time 1607967102448
Moved to 680, 809 at time 1607967102472
Moved to 679, 808 at time 1607967102816
Moved to 678, 807 at time 1607967102860
Moved to 677, 806 at time 1607967102871
Moved to 676, 805 at time 1607967103245
Moved to 675, 804 at time 1607967103257
Moved to 674, 803 at time 1607967103446
Moved to 673, 802 at time 1607967103569
Moved to 672, 801 at time 1607967103591
Moved to 671, 800 at time 1607967103728
Moved to 670, 799 at time 1607967103740
Moved to 669, 798 at time 1607967103891
Moved to 668, 797 at time 1607967104015
Moved to 667, 796 at time 1607967104426
Moved to 666, 795 at time 1607967104778
Moved to 665, 794 at time 1607967104838
Moved to 664, 793 at time 1607967105310
Moved to 663, 792 at time 1607967105331
Moved to 662, 791 at time 1607967105907
Moved to 661, 790 at time 1607967106281
Moved to 660, 789 at time 1607967106594
Moved to 659, 788 at time 1607967107053
Moved to 658, 787 at time 1607967107065
Moved to 657, 786 at time 1607967107325
Moved to 656, 785 at time 1607967107352
Moved to 655, 784 at time 1607967107584
Moved to 654, 783 at time 1607967107717
Moved to 653, 782 at time 1607967107890
Moved to 652, 781 at time 1607967107981
Moved to 651, 780 at time 1607967108033
Moved to 650, 779 at time 1607967108168
Moved to 649, 778 at time 1607967108210
Moved to 648, 777 at time 1607967108288
Moved to 647, 776 at time 1607967108342
Moved to 646, 775 at time 1607967108396
Moved to 645, 774 at time 1607967108455
Moved to 644, 773 at time 1607967108510
Moved to 643, 772 at time 1607967108589
Moved to 642, 771 at time 1607967108640
Moved to 641, 770 at time 1607967108815
Moved to 640, 769 at time 1607967108952
Moved to 639, 768 at time 1607967109206
Moved to 638, 767 at time 1607967109620
Moved to 637, 766 at time 1607967109803
Moved to 636, 765 at time 1607967109991
Moved to 635, 764 at time 1607967110051
Moved to 634, 763 at time 1607967110231
Moved to 633, 762 at time 1607967110363
Moved to 632, 761 at time 1607967110658
Moved to 631, 760 at time 1607967110816
Moved to 630, 759 at time 1607967111067
Moved to 629, 758 at time 1607967111235
Moved to 628, 757 at time 1607967111516
Moved to 627, 756 at time 1607967111661
Moved to 626, 755 at time 1607967111900
Moved to 625, 754 at time 1607967111967
Moved to 624, 753 at time 1607967112109
Moved to 623, 752 at time 1607967112204
Moved to 622, 751 at time 1607967112368
Moved to 621, 750 at time 1607967112537
Moved to 620, 749 at time 1607967112720
Moved to 619, 748 at time 1607967112854
Moved to 618, 747 at time 1607967113139
Moved to 617, 746 at time 1607967113257
Moved to 616, 745 at time 1607967113582
Moved to 615, 744 at time 1607967113745
Moved to 614, 743 at time 1607967114020
Moved to 613, 742 at time 1607967114188
Moved to 612, 741 at time 1607967114483
Moved to 611, 740 at time 1607967114638
Moved to 610, 739 at time 1607967114889
Moved to 609, 738 at time 1607967115036
Moved to 608, 737 at time 1607967115322
Moved to 607, 736 at time 1607967115481
Moved to 606, 735 at time 1607967115492
Moved to 605, 734 at time 1607967115619
Moved to 604, 733 at time 1607967115756
Moved to 603, 732 at time 1607967115853
Moved to 602, 731 at time 1607967115982
Moved to 601, 730 at time 1607967116104
Moved to 600, 729 at time 1607967116277
Moved to 599, 728 at time 1607967116684
Moved to 598, 727 at time 1607967116827
Moved to 597, 726 at time 1607967116838
Moved to 596, 725 at time 1607967117029
Moved to 595, 724 at time 1607967117152
Moved to 594, 723 at time 1607967117331
Moved to 593, 722 at time 1607967117446
Moved to 592, 721 at time 1607967117696
Moved to 591, 720 at time 1607967117805
Moved to 590, 719 at time 1607967118139
Moved to 589, 718 at time 1607967118194
Moved to 588, 717 at time 1607967118526
Moved to 587, 716 at time 1607967118598
Moved to 586, 715 at time 1607967118851
Moved to 585, 714 at time 1607967118906
Moved to 584, 713 at time 1607967119215
Moved to 583, 712 at time 1607967119293
Moved to 582, 711 at time 1607967119601
Moved to 581, 710 at time 1607967119763
Moved to 580, 709 at time 1607967119872
Moved to 579, 708 at time 1607967119970
Moved to 578, 707 at time 1607967120088
Moved to 577, 706 at time 1607967120200
Moved to 576, 705 at time 1607967120305
Moved to 575, 704 at time 1607967120378
Moved to 574, 703 at time 1607967120400
