Moved to 2541, 823 at time 1607968070274
Moved to 2540, 822 at time 1607968143879
Moved to 2539, 821 at time 1607968144138
Moved to 2538, 820 at time 1607968144220
Moved to 2537, 819 at time 1607968144256
Moved to 2536, 818 at time 1607968144359
Moved to 2535, 817 at time 1607968144428
Moved to 2534, 816 at time 1607968144555
Moved to 2533, 815 at time 1607968144645
Moved to 2532, 814 at time 1607968144802
Moved to 2531, 813 at time 1607968144916
Moved to 2530, 812 at time 1607968145016
Moved to 2529, 811 at time 1607968145090
Moved to 2528, 810 at time 1607968145184
Moved to 2527, 809 at time 1607968145254
Moved to 2526, 808 at time 1607968145386
Moved to 2525, 807 at time 1607968145493
Moved to 2524, 806 at time 1607968145815
Moved to 2523, 805 at time 1607968146045
Moved to 2522, 804 at time 1607968146329
Moved to 2521, 803 at time 1607968146698
Moved to 2520, 802 at time 1607968146907
Moved to 2519, 801 at time 1607968146978
Moved to 2518, 800 at time 1607968147017
Moved to 2517, 799 at time 1607968147071
Moved to 2516, 798 at time 1607968147120
Moved to 2515, 797 at time 1607968147212
Moved to 2514, 796 at time 1607968147254
Moved to 2513, 795 at time 1607968147351
Moved to 2512, 794 at time 1607968147403
Moved to 2511, 793 at time 1607968147495
Moved to 2510, 792 at time 1607968147573
Moved to 2509, 791 at time 1607968147633
Moved to 2508, 790 at time 1607968147675
Moved to 2507, 789 at time 1607968147762
Moved to 2506, 788 at time 1607968147802
Moved to 2505, 787 at time 1607968147954
Moved to 2504, 786 at time 1607968147989
Moved to 2503, 785 at time 1607968148186
Moved to 2502, 784 at time 1607968148235
Moved to 2501, 783 at time 1607968148596
Moved to 2500, 782 at time 1607968148731
Moved to 2499, 781 at time 1607968148897
Moved to 2498, 780 at time 1607968149230
Moved to 2497, 779 at time 1607968149301
Moved to 2496, 778 at time 1607968149412
Moved to 2495, 777 at time 1607968149490
Moved to 2494, 776 at time 1607968149713
Moved to 2493, 775 at time 1607968149931
Moved to 2492, 774 at time 1607968150062
Moved to 2491, 773 at time 1607968150134
