Moved to 1073, 640 at time 1607902051433
Moved to 1072, 639 at time 1607902051469
Moved to 1071, 638 at time 1607902051503
Moved to 1070, 637 at time 1607902051538
Moved to 1069, 636 at time 1607902051580
Moved to 1068, 635 at time 1607902051614
Moved to 1067, 634 at time 1607902051648
Moved to 1066, 633 at time 1607902051682
Moved to 1065, 632 at time 1607902051716
Moved to 1064, 631 at time 1607902051750
Moved to 1063, 630 at time 1607902051784
Moved to 1062, 629 at time 1607902051818
Moved to 1061, 628 at time 1607902051852
Moved to 1060, 627 at time 1607902051886
Moved to 1059, 626 at time 1607902051920
Moved to 1058, 625 at time 1607902051954
Moved to 1057, 624 at time 1607902051988
Moved to 1056, 623 at time 1607902052055
Moved to 1055, 622 at time 1607902052089
Moved to 1054, 621 at time 1607902052124
Moved to 1053, 620 at time 1607902052158
Moved to 1052, 619 at time 1607902052193
Moved to 1051, 618 at time 1607902052228
Moved to 1050, 617 at time 1607902052262
Moved to 1049, 616 at time 1607902052296
Moved to 1048, 615 at time 1607902052330
Moved to 1047, 614 at time 1607902052364
Moved to 1046, 613 at time 1607902052398
Moved to 1045, 612 at time 1607902052432
Moved to 1044, 611 at time 1607902052466
Moved to 1043, 610 at time 1607902052500
Moved to 1042, 609 at time 1607902052534
Moved to 1041, 608 at time 1607902052568
Moved to 1040, 607 at time 1607902052602
Moved to 1039, 606 at time 1607902052636
Moved to 1038, 605 at time 1607902052670
Moved to 1037, 604 at time 1607902052704
Moved to 1036, 603 at time 1607902052738
Moved to 1035, 602 at time 1607902052805
Moved to 1034, 601 at time 1607902052839
Moved to 1033, 600 at time 1607902052874
Moved to 1032, 599 at time 1607902052908
Moved to 1031, 598 at time 1607902052942
Moved to 1030, 597 at time 1607902052976
Moved to 1029, 596 at time 1607902053010
Moved to 1028, 595 at time 1607902053045
Moved to 1027, 594 at time 1607902053079
Moved to 1026, 593 at time 1607902053113
Moved to 1025, 592 at time 1607902053180
Moved to 1024, 591 at time 1607902053214
Moved to 1023, 590 at time 1607902053249
Moved to 1022, 589 at time 1607902053283
Moved to 1021, 588 at time 1607902053317
Moved to 1020, 587 at time 1607902053351
Moved to 1019, 586 at time 1607902053385
Moved to 1018, 585 at time 1607902053419
Moved to 1017, 584 at time 1607902053453
Moved to 1016, 583 at time 1607902053487
Moved to 1015, 582 at time 1607902053554
Moved to 1014, 581 at time 1607902053588
Moved to 1013, 580 at time 1607902053622
Moved to 1012, 579 at time 1607902053656
Moved to 1011, 578 at time 1607902053691
Moved to 1010, 577 at time 1607902053727
Moved to 1009, 576 at time 1607902053761
Moved to 1008, 575 at time 1607902053795
Moved to 1007, 574 at time 1607902053829
Moved to 1006, 573 at time 1607902053863
Moved to 1005, 572 at time 1607902053930
Moved to 1004, 571 at time 1607902053964
Moved to 1003, 570 at time 1607902053998
Moved to 1002, 569 at time 1607902054032
Moved to 1001, 568 at time 1607902054066
Moved to 1000, 567 at time 1607902054100
Moved to 999, 566 at time 1607902054134
Moved to 998, 565 at time 1607902054169
Moved to 997, 564 at time 1607902054203
Moved to 996, 563 at time 1607902054237
Moved to 995, 562 at time 1607902054304
Moved to 994, 561 at time 1607902054339
Moved to 993, 560 at time 1607902054373
Moved to 992, 559 at time 1607902054408
Moved to 991, 558 at time 1607902054442
Moved to 990, 557 at time 1607902054476
Moved to 989, 556 at time 1607902054511
Moved to 988, 555 at time 1607902054547
Moved to 987, 554 at time 1607902054581
Moved to 986, 553 at time 1607902054615
Moved to 381, 1306 at time 1607969349760
Moved to 380, 1305 at time 1607969394821
Moved to 381, 1304 at time 1607969394943
Moved to 380, 1303 at time 1607969395038
Moved to 379, 1302 at time 1607969395133
Moved to 378, 1301 at time 1607969395446
Moved to 379, 1300 at time 1607969395688
Moved to 380, 1299 at time 1607969395890
Moved to 379, 1298 at time 1607969396285
Moved to 378, 1297 at time 1607969396466
Moved to 377, 1296 at time 1607969396869
Moved to 378, 1295 at time 1607969396955
Moved to 379, 1294 at time 1607969397082
Moved to 380, 1293 at time 1607969397182
Moved to 381, 1292 at time 1607969397332
Moved to 380, 1291 at time 1607969397674
Moved to 379, 1290 at time 1607969397880
Moved to 378, 1289 at time 1607969397987
Moved to 379, 1288 at time 1607969398279
Moved to 380, 1287 at time 1607969398613
Moved to 379, 1286 at time 1607969398689
Moved to 378, 1285 at time 1607969398948
Moved to 377, 1284 at time 1607969399152
Moved to 376, 1283 at time 1607969399231
Moved to 375, 1282 at time 1607969399288
Moved to 374, 1281 at time 1607969399322
Moved to 373, 1280 at time 1607969399410
Moved to 374, 1279 at time 1607969399486
Moved to 375, 1278 at time 1607969399561
Moved to 374, 1277 at time 1607969399616
Moved to 375, 1276 at time 1607969399691
Moved to 374, 1275 at time 1607969399747
Moved to 375, 1274 at time 1607969399841
Moved to 376, 1273 at time 1607969399932
Moved to 375, 1272 at time 1607969399998
Moved to 374, 1271 at time 1607969400125
Moved to 375, 1270 at time 1607969400180
Moved to 374, 1269 at time 1607969400253
Moved to 373, 1268 at time 1607969400357
Moved to 374, 1267 at time 1607969400400
Moved to 375, 1266 at time 1607969400438
Moved to 374, 1265 at time 1607969400600
Moved to 373, 1264 at time 1607969400638
Moved to 374, 1263 at time 1607969400730
Moved to 373, 1262 at time 1607969400810
Moved to 374, 1261 at time 1607969400846
Moved to 375, 1260 at time 1607969400899
Moved to 374, 1259 at time 1607969401040
Moved to 375, 1258 at time 1607969401242
Moved to 374, 1257 at time 1607969401283
Moved to 373, 1256 at time 1607969401592
Moved to 372, 1255 at time 1607969401771
Moved to 371, 1254 at time 1607969402029
Moved to 370, 1253 at time 1607969402070
Moved to 369, 1252 at time 1607969402425
Moved to 368, 1251 at time 1607969402758
Moved to 367, 1250 at time 1607969402842
Moved to 366, 1249 at time 1607969403046
Moved to 367, 1248 at time 1607969403135
Moved to 366, 1247 at time 1607969403171
Moved to 365, 1246 at time 1607969403219
Moved to 364, 1245 at time 1607969403286
Moved to 365, 1244 at time 1607969403426
Moved to 364, 1243 at time 1607969403494
Moved to 363, 1242 at time 1607969403647
Moved to 362, 1241 at time 1607969403726
Moved to 363, 1240 at time 1607969403886
Moved to 364, 1239 at time 1607969403972
Moved to 365, 1238 at time 1607969404166
Moved to 364, 1237 at time 1607969404267
Moved to 363, 1236 at time 1607969404460
Moved to 362, 1235 at time 1607969404517
Moved to 361, 1234 at time 1607969404641
Moved to 362, 1233 at time 1607969404706
Moved to 361, 1232 at time 1607969404820
Moved to 362, 1231 at time 1607969404864
Moved to 361, 1230 at time 1607969405097
Moved to 360, 1229 at time 1607969405141
Moved to 359, 1228 at time 1607969405244
Moved to 360, 1227 at time 1607969405319
Moved to 359, 1226 at time 1607969405422
Moved to 358, 1225 at time 1607969405550
Moved to 357, 1224 at time 1607969405585
Moved to 358, 1223 at time 1607969405667
Moved to 357, 1222 at time 1607969405764
Moved to 358, 1221 at time 1607969405849
Moved to 357, 1220 at time 1607969405951
Moved to 356, 1219 at time 1607969406092
Moved to 357, 1218 at time 1607969406126
Moved to 356, 1217 at time 1607969406206
Moved to 357, 1216 at time 1607969406242
Attacked Unit@3dce38b0at position 246, 947 at time 1607969406327
Got attacked at 357, 1216 by Unit@30a5552a at time 1607969406381
Got attacked at 357, 1216 by Unit@51a3040c at time 1607969406459
Got attacked at 357, 1216 by Unit@21b7f32a at time 1607969406591
Got attacked at 357, 1216 by Unit@3dce38b0 at time 1607969406765
Attacked Unit@3dce38b0at position 246, 947 at time 1607969408024
Got attacked at 357, 1216 by Unit@30a5552a at time 1607969408090
Got attacked at 357, 1216 by Unit@51a3040c at time 1607969408168
Got attacked at 357, 1216 by Unit@21b7f32a at time 1607969408271
Died at 357, 1216 at time 1607969408280
