Moved to 670, 1140 at time 1607968586194
Moved to 669, 1139 at time 1607968586333
Moved to 668, 1138 at time 1607968622471
Moved to 667, 1137 at time 1607968622482
Moved to 666, 1136 at time 1607968622607
Moved to 665, 1135 at time 1607968622777
Moved to 664, 1134 at time 1607968622921
Moved to 663, 1133 at time 1607968623046
Moved to 662, 1132 at time 1607968623203
Moved to 661, 1131 at time 1607968623231
Moved to 660, 1130 at time 1607968623512
Moved to 659, 1129 at time 1607968623595
Moved to 658, 1128 at time 1607968623979
Moved to 657, 1127 at time 1607968624113
Moved to 656, 1126 at time 1607968624480
Moved to 655, 1125 at time 1607968624969
Moved to 654, 1124 at time 1607968625042
Moved to 653, 1123 at time 1607968625270
Moved to 652, 1122 at time 1607968625359
Moved to 651, 1121 at time 1607968625660
Moved to 650, 1120 at time 1607968625694
Moved to 649, 1119 at time 1607968625883
Moved to 648, 1118 at time 1607968625906
Moved to 647, 1117 at time 1607968626187
Moved to 646, 1116 at time 1607968626203
Moved to 645, 1115 at time 1607968626420
Moved to 644, 1114 at time 1607968626734
Moved to 643, 1113 at time 1607968626958
Moved to 642, 1112 at time 1607968627050
Moved to 641, 1111 at time 1607968627178
Moved to 640, 1110 at time 1607968627279
Moved to 639, 1109 at time 1607968627371
Moved to 638, 1108 at time 1607968627437
Moved to 637, 1107 at time 1607968627543
Moved to 636, 1106 at time 1607968627612
Moved to 635, 1105 at time 1607968627679
Moved to 634, 1104 at time 1607968627697
Moved to 633, 1103 at time 1607968627753
Moved to 632, 1102 at time 1607968627856
Moved to 631, 1101 at time 1607968627895
Moved to 630, 1100 at time 1607968627922
Moved to 629, 1099 at time 1607968627961
Moved to 628, 1098 at time 1607968627991
Moved to 627, 1097 at time 1607968628040
Moved to 626, 1096 at time 1607968628056
Moved to 625, 1095 at time 1607968628112
Moved to 624, 1094 at time 1607968628147
Moved to 623, 1093 at time 1607968628204
Moved to 622, 1092 at time 1607968628271
Moved to 621, 1091 at time 1607968628325
Moved to 620, 1090 at time 1607968628338
Moved to 619, 1089 at time 1607968628396
Moved to 618, 1088 at time 1607968628417
Moved to 617, 1087 at time 1607968628474
Moved to 616, 1086 at time 1607968628507
Moved to 615, 1085 at time 1607968628543
Moved to 614, 1084 at time 1607968628569
Moved to 613, 1083 at time 1607968628612
Moved to 612, 1082 at time 1607968628657
Moved to 611, 1081 at time 1607968628801
Moved to 610, 1080 at time 1607968628865
Moved to 609, 1079 at time 1607968628945
Moved to 608, 1078 at time 1607968628980
Moved to 607, 1077 at time 1607968629028
Moved to 606, 1076 at time 1607968629076
Moved to 605, 1075 at time 1607968629155
Moved to 604, 1074 at time 1607968629189
Moved to 603, 1073 at time 1607968629255
Moved to 602, 1072 at time 1607968629294
Moved to 601, 1071 at time 1607968629377
Moved to 600, 1070 at time 1607968629412
Moved to 599, 1069 at time 1607968629466
Moved to 598, 1068 at time 1607968629478
Moved to 597, 1067 at time 1607968629549
Moved to 596, 1066 at time 1607968629655
Moved to 595, 1065 at time 1607968629752
Moved to 594, 1064 at time 1607968629846
Moved to 593, 1063 at time 1607968629858
Moved to 592, 1062 at time 1607968629972
Moved to 591, 1061 at time 1607968630030
Moved to 590, 1060 at time 1607968630065
Moved to 589, 1059 at time 1607968630077
Moved to 588, 1058 at time 1607968630135
Moved to 587, 1057 at time 1607968630179
Moved to 586, 1056 at time 1607968630194
Moved to 585, 1055 at time 1607968630228
Moved to 584, 1054 at time 1607968630243
Moved to 583, 1053 at time 1607968630276
Moved to 582, 1052 at time 1607968630312
Moved to 581, 1051 at time 1607968630344
Moved to 580, 1050 at time 1607968630428
Moved to 579, 1049 at time 1607968630487
Moved to 578, 1048 at time 1607968630601
Moved to 577, 1047 at time 1607968630682
Moved to 576, 1046 at time 1607968630788
Moved to 575, 1045 at time 1607968630873
Moved to 574, 1044 at time 1607968631006
Moved to 573, 1043 at time 1607968631124
Moved to 572, 1042 at time 1607968631261
Moved to 571, 1041 at time 1607968631565
Moved to 570, 1040 at time 1607968631691
Moved to 569, 1039 at time 1607968631963
Moved to 568, 1038 at time 1607968632012
Moved to 567, 1037 at time 1607968632098
Moved to 566, 1036 at time 1607968632158
Moved to 565, 1035 at time 1607968632265
Moved to 564, 1034 at time 1607968632291
Moved to 563, 1033 at time 1607968632342
Moved to 562, 1032 at time 1607968632367
Moved to 561, 1031 at time 1607968632422
Moved to 560, 1030 at time 1607968632480
Moved to 559, 1029 at time 1607968632522
Moved to 558, 1028 at time 1607968632560
Moved to 557, 1027 at time 1607968632612
Moved to 556, 1026 at time 1607968632642
Moved to 555, 1025 at time 1607968632681
Moved to 554, 1024 at time 1607968632723
Moved to 553, 1023 at time 1607968632762
Moved to 552, 1022 at time 1607968632799
Moved to 551, 1021 at time 1607968632840
Moved to 550, 1020 at time 1607968632880
Moved to 549, 1019 at time 1607968632918
Moved to 548, 1018 at time 1607968632950
Moved to 547, 1017 at time 1607968632961
Moved to 546, 1016 at time 1607968632985
Moved to 545, 1015 at time 1607968633038
Moved to 544, 1014 at time 1607968633059
Moved to 543, 1013 at time 1607968633073
Moved to 542, 1012 at time 1607968633106
Moved to 541, 1011 at time 1607968633156
Moved to 540, 1010 at time 1607968633195
Moved to 539, 1009 at time 1607968633241
Moved to 538, 1008 at time 1607968633281
Moved to 537, 1007 at time 1607968633294
Moved to 536, 1006 at time 1607968633328
Moved to 535, 1005 at time 1607968633343
Moved to 534, 1004 at time 1607968633363
Moved to 533, 1003 at time 1607968633378
Moved to 532, 1002 at time 1607968633399
Moved to 531, 1001 at time 1607968633414
Moved to 530, 1000 at time 1607968633443
Moved to 529, 999 at time 1607968633489
Moved to 528, 998 at time 1607968705416
Moved to 527, 997 at time 1607968705429
Moved to 526, 996 at time 1607968705489
Moved to 525, 995 at time 1607968705536
Moved to 524, 994 at time 1607968705586
Moved to 523, 993 at time 1607968705615
Moved to 522, 992 at time 1607968705673
Moved to 521, 991 at time 1607968705718
Moved to 520, 990 at time 1607968705756
Moved to 519, 989 at time 1607968705806
Moved to 518, 988 at time 1607968705841
Moved to 517, 987 at time 1607968705898
Moved to 516, 986 at time 1607968705948
Moved to 515, 985 at time 1607968705977
Moved to 514, 984 at time 1607968706035
Moved to 513, 983 at time 1607968706084
Moved to 512, 982 at time 1607968706134
Moved to 511, 981 at time 1607968706177
Moved to 510, 980 at time 1607968706236
Moved to 509, 979 at time 1607968706268
Moved to 508, 978 at time 1607968706324
Moved to 507, 977 at time 1607968706361
Moved to 506, 976 at time 1607968706406
Moved to 505, 975 at time 1607968706458
Moved to 504, 974 at time 1607968706488
Moved to 503, 973 at time 1607968706528
Moved to 502, 972 at time 1607968706602
Moved to 501, 971 at time 1607968706639
Moved to 500, 970 at time 1607968706660
Moved to 499, 969 at time 1607968706767
Moved to 498, 968 at time 1607968706810
Moved to 497, 967 at time 1607968706923
Moved to 496, 966 at time 1607968706935
Moved to 495, 965 at time 1607968706977
Moved to 494, 964 at time 1607968707026
Moved to 493, 963 at time 1607968707070
Moved to 492, 962 at time 1607968707127
Moved to 491, 961 at time 1607968707190
Moved to 490, 960 at time 1607968707253
Moved to 489, 959 at time 1607968707306
Moved to 488, 958 at time 1607968707371
Moved to 487, 957 at time 1607968707411
Moved to 486, 956 at time 1607968707425
Moved to 485, 955 at time 1607968707468
Moved to 484, 954 at time 1607968707523
Moved to 483, 953 at time 1607968707568
Moved to 482, 952 at time 1607968707610
Moved to 481, 951 at time 1607968707665
Moved to 480, 950 at time 1607968707714
Moved to 479, 949 at time 1607968707776
Moved to 478, 948 at time 1607968707809
Moved to 477, 947 at time 1607968707873
Moved to 476, 946 at time 1607968707884
Moved to 475, 945 at time 1607968707907
Moved to 474, 944 at time 1607968707935
Moved to 473, 943 at time 1607968707954
Moved to 472, 942 at time 1607968707980
Moved to 471, 941 at time 1607968708007
Moved to 470, 940 at time 1607968708034
Moved to 469, 939 at time 1607968708053
Moved to 468, 938 at time 1607968708085
Moved to 467, 937 at time 1607968708145
Moved to 466, 936 at time 1607968708193
Moved to 465, 935 at time 1607968708293
Moved to 464, 934 at time 1607968708375
Moved to 463, 933 at time 1607968708408
Moved to 462, 932 at time 1607968708442
Moved to 461, 931 at time 1607968708478
Moved to 460, 930 at time 1607968708500
Moved to 459, 929 at time 1607968708545
Moved to 458, 928 at time 1607968708621
Moved to 457, 927 at time 1607968708723
Moved to 456, 926 at time 1607968708812
Moved to 455, 925 at time 1607968708825
Moved to 454, 924 at time 1607968708885
Moved to 453, 923 at time 1607968708959
Moved to 452, 922 at time 1607968709015
Moved to 451, 921 at time 1607968709088
Moved to 450, 920 at time 1607968709142
Moved to 449, 919 at time 1607968709158
Moved to 448, 918 at time 1607968709207
Moved to 447, 917 at time 1607968709218
Moved to 446, 916 at time 1607968709269
Moved to 445, 915 at time 1607968709281
Moved to 444, 914 at time 1607968709337
Moved to 443, 913 at time 1607968709408
Moved to 442, 912 at time 1607968709477
Moved to 441, 911 at time 1607968709507
Moved to 440, 910 at time 1607968709587
Moved to 439, 909 at time 1607968709642
Moved to 438, 908 at time 1607968709788
Moved to 437, 907 at time 1607968709979
Moved to 436, 906 at time 1607968709998
Moved to 435, 905 at time 1607968710010
Moved to 434, 904 at time 1607968710211
Moved to 433, 903 at time 1607968710260
Moved to 432, 902 at time 1607968710453
Moved to 431, 901 at time 1607968710501
Moved to 430, 900 at time 1607968710711
Moved to 429, 899 at time 1607968710770
Moved to 428, 898 at time 1607968710954
Moved to 427, 897 at time 1607968711023
Moved to 426, 896 at time 1607968711199
Moved to 425, 895 at time 1607968711276
Moved to 424, 894 at time 1607968711466
Moved to 423, 893 at time 1607968711520
Moved to 422, 892 at time 1607968711694
Moved to 421, 891 at time 1607968711720
Moved to 420, 890 at time 1607968711809
Moved to 419, 889 at time 1607968712055
Moved to 418, 888 at time 1607968712211
Moved to 417, 887 at time 1607968712224
Moved to 416, 886 at time 1607968712376
Moved to 415, 885 at time 1607968712393
Moved to 414, 884 at time 1607968712544
Moved to 413, 883 at time 1607968712557
Moved to 412, 882 at time 1607968712722
Moved to 411, 881 at time 1607968712880
Moved to 410, 880 at time 1607968713077
Moved to 409, 879 at time 1607968713296
Moved to 408, 878 at time 1607968713312
Moved to 407, 877 at time 1607968713538
Moved to 406, 876 at time 1607968713813
Moved to 405, 875 at time 1607968714037
Moved to 404, 874 at time 1607968714285
Moved to 403, 873 at time 1607968714496
Moved to 402, 872 at time 1607968714517
Moved to 401, 871 at time 1607968714740
Moved to 400, 870 at time 1607968714763
Moved to 399, 869 at time 1607968714979
Moved to 398, 868 at time 1607968715002
Got attacked at 398, 868 by Unit@7b04e36b at time 1607968715033
Got attacked at 398, 868 by Unit@38059512 at time 1607968715092
Moved to 397, 867 at time 1607968715101
Moved to 396, 866 at time 1607968715118
Moved to 395, 865 at time 1607968715142
Moved to 394, 864 at time 1607968715181
Moved to 393, 863 at time 1607968715209
Moved to 392, 862 at time 1607968715246
Moved to 391, 861 at time 1607968715277
Moved to 390, 860 at time 1607968715326
Moved to 389, 859 at time 1607968715356
Moved to 388, 858 at time 1607968715368
Moved to 387, 857 at time 1607968715394
Moved to 386, 856 at time 1607968715446
Moved to 385, 855 at time 1607968715519
Moved to 384, 854 at time 1607968715626
Moved to 383, 853 at time 1607968715853
Moved to 382, 852 at time 1607968716090
Moved to 381, 851 at time 1607968716114
Moved to 380, 850 at time 1607968716326
Moved to 379, 849 at time 1607968716337
Moved to 378, 848 at time 1607968716582
Moved to 377, 847 at time 1607968716741
Moved to 376, 846 at time 1607968716830
Moved to 375, 845 at time 1607968716875
Moved to 374, 844 at time 1607968716913
Moved to 373, 843 at time 1607968716956
Moved to 372, 842 at time 1607968717130
Moved to 371, 841 at time 1607968717358
Moved to 370, 840 at time 1607968717588
Moved to 369, 839 at time 1607968717819
Moved to 368, 838 at time 1607968718029
Moved to 367, 837 at time 1607968718255
Moved to 366, 836 at time 1607968718475
Moved to 365, 835 at time 1607968718722
Got attacked at 365, 835 by Unit@38059512 at time 1607968718732
Moved to 364, 834 at time 1607968718963
Moved to 363, 833 at time 1607968718978
Moved to 362, 832 at time 1607968719185
Moved to 361, 831 at time 1607968719393
Moved to 360, 830 at time 1607968719620
Moved to 359, 829 at time 1607968719775
Moved to 358, 828 at time 1607968719822
Got attacked at 358, 828 by Unit@38059512 at time 1607968719979
Moved to 357, 827 at time 1607968720056
Moved to 356, 826 at time 1607968720181
Moved to 355, 825 at time 1607968720278
Moved to 354, 824 at time 1607968720314
Moved to 353, 823 at time 1607968720364
Moved to 352, 822 at time 1607968720407
Moved to 351, 821 at time 1607968720444
Moved to 350, 820 at time 1607968720489
Moved to 349, 819 at time 1607968720526
Moved to 348, 818 at time 1607968720551
Moved to 347, 817 at time 1607968720585
Moved to 346, 816 at time 1607968720621
Moved to 345, 815 at time 1607968720649
Moved to 344, 814 at time 1607968720666
Moved to 343, 813 at time 1607968720689
Moved to 342, 812 at time 1607968720701
Moved to 341, 811 at time 1607968720715
Moved to 340, 810 at time 1607968720735
Moved to 339, 809 at time 1607968720753
Moved to 338, 808 at time 1607968720769
Moved to 337, 807 at time 1607968720782
Moved to 336, 806 at time 1607968720813
Moved to 335, 805 at time 1607968720825
Moved to 334, 804 at time 1607968720846
Moved to 333, 803 at time 1607968720857
Moved to 332, 802 at time 1607968720874
Moved to 331, 801 at time 1607968720896
Moved to 330, 800 at time 1607968720931
Moved to 329, 799 at time 1607968720956
Moved to 328, 798 at time 1607968720981
Moved to 327, 797 at time 1607968721048
Moved to 326, 796 at time 1607968721100
Moved to 325, 795 at time 1607968721311
Moved to 324, 794 at time 1607968721427
Moved to 323, 793 at time 1607968721503
Moved to 322, 792 at time 1607968721619
Moved to 321, 791 at time 1607968721700
Moved to 320, 790 at time 1607968721809
Moved to 319, 789 at time 1607968722014
Moved to 318, 788 at time 1607968722026
Moved to 317, 787 at time 1607968722049
Moved to 316, 786 at time 1607968722257
Moved to 315, 785 at time 1607968722441
