Moved to 481, 5247 at time 1607969349680
Moved to 480, 5246 at time 1607969349698
Moved to 479, 5245 at time 1607969349871
Moved to 478, 5244 at time 1607969394709
Moved to 477, 5243 at time 1607969394720
Moved to 476, 5242 at time 1607969394735
Moved to 475, 5241 at time 1607969394759
Moved to 474, 5240 at time 1607969394879
Moved to 473, 5239 at time 1607969394965
Moved to 472, 5238 at time 1607969395042
Moved to 471, 5237 at time 1607969395056
Moved to 470, 5236 at time 1607969395131
Moved to 469, 5235 at time 1607969395192
Moved to 468, 5234 at time 1607969395376
Moved to 467, 5233 at time 1607969395478
Moved to 466, 5232 at time 1607969395684
Moved to 465, 5231 at time 1607969395738
Moved to 464, 5230 at time 1607969395850
Moved to 463, 5229 at time 1607969395946
Moved to 462, 5228 at time 1607969396199
Moved to 461, 5227 at time 1607969396312
Moved to 460, 5226 at time 1607969396325
Moved to 459, 5225 at time 1607969396454
Moved to 458, 5224 at time 1607969396723
Moved to 457, 5223 at time 1607969396833
Moved to 456, 5222 at time 1607969396901
Moved to 455, 5221 at time 1607969396950
Moved to 454, 5220 at time 1607969397015
Moved to 453, 5219 at time 1607969397039
Moved to 452, 5218 at time 1607969397168
Moved to 451, 5217 at time 1607969397180
Moved to 450, 5216 at time 1607969397220
Moved to 449, 5215 at time 1607969397316
Moved to 448, 5214 at time 1607969397355
Moved to 447, 5213 at time 1607969397565
Moved to 446, 5212 at time 1607969397656
Moved to 445, 5211 at time 1607969397923
Moved to 444, 5210 at time 1607969397972
Moved to 443, 5209 at time 1607969398098
Moved to 442, 5208 at time 1607969398225
Moved to 441, 5207 at time 1607969398426
Moved to 440, 5206 at time 1607969398439
Moved to 439, 5205 at time 1607969398508
Moved to 438, 5204 at time 1607969398654
Moved to 437, 5203 at time 1607969398673
Moved to 436, 5202 at time 1607969398807
Moved to 435, 5201 at time 1607969398848
Moved to 434, 5200 at time 1607969399057
Moved to 433, 5199 at time 1607969399079
Moved to 432, 5198 at time 1607969399205
Moved to 431, 5197 at time 1607969399271
Moved to 430, 5196 at time 1607969399343
Moved to 429, 5195 at time 1607969399412
Moved to 428, 5194 at time 1607969399504
Moved to 427, 5193 at time 1607969399567
Moved to 426, 5192 at time 1607969399634
Moved to 425, 5191 at time 1607969399694
Moved to 424, 5190 at time 1607969399773
Moved to 423, 5189 at time 1607969399841
Moved to 422, 5188 at time 1607969399852
Moved to 421, 5187 at time 1607969399944
Moved to 420, 5186 at time 1607969400016
Moved to 419, 5185 at time 1607969400131
Moved to 418, 5184 at time 1607969400143
Moved to 417, 5183 at time 1607969400183
Moved to 416, 5182 at time 1607969400271
Moved to 415, 5181 at time 1607969400284
Moved to 414, 5180 at time 1607969400351
Moved to 413, 5179 at time 1607969400432
Moved to 412, 5178 at time 1607969400572
Moved to 411, 5177 at time 1607969400615
Moved to 410, 5176 at time 1607969400648
Moved to 409, 5175 at time 1607969400683
Moved to 408, 5174 at time 1607969400708
Moved to 407, 5173 at time 1607969400745
Moved to 406, 5172 at time 1607969400766
Moved to 405, 5171 at time 1607969400794
Moved to 404, 5170 at time 1607969400832
Moved to 403, 5169 at time 1607969400855
Moved to 402, 5168 at time 1607969400911
Moved to 401, 5167 at time 1607969400936
Moved to 400, 5166 at time 1607969401098
Moved to 399, 5165 at time 1607969401211
Moved to 398, 5164 at time 1607969401344
Moved to 397, 5163 at time 1607969401497
Moved to 396, 5162 at time 1607969401607
Moved to 395, 5161 at time 1607969401620
Moved to 394, 5160 at time 1607969401762
Moved to 393, 5159 at time 1607969401881
Moved to 392, 5158 at time 1607969401985
Moved to 391, 5157 at time 1607969402143
Moved to 390, 5156 at time 1607969402296
Moved to 389, 5155 at time 1607969402462
Moved to 388, 5154 at time 1607969402579
Moved to 387, 5153 at time 1607969402764
Moved to 386, 5152 at time 1607969403076
Moved to 385, 5151 at time 1607969403134
