Moved to 1462, 2261 at time 1607969349673
Moved to 1461, 2260 at time 1607969349698
Moved to 1460, 2259 at time 1607969349821
Moved to 1459, 2258 at time 1607969394713
Moved to 1458, 2257 at time 1607969394725
Moved to 1457, 2256 at time 1607969394790
Moved to 1456, 2255 at time 1607969394847
Moved to 1455, 2254 at time 1607969394909
Moved to 1454, 2253 at time 1607969394921
Moved to 1453, 2252 at time 1607969395005
Moved to 1452, 2251 at time 1607969395104
Moved to 1451, 2250 at time 1607969395299
Moved to 1450, 2249 at time 1607969395570
Moved to 1449, 2248 at time 1607969395617
Moved to 1448, 2247 at time 1607969395759
Moved to 1447, 2246 at time 1607969395811
Moved to 1446, 2245 at time 1607969395824
Moved to 1445, 2244 at time 1607969395981
Moved to 1444, 2243 at time 1607969396338
Moved to 1443, 2242 at time 1607969396442
Moved to 1442, 2241 at time 1607969396737
Moved to 1441, 2240 at time 1607969396822
Moved to 1440, 2239 at time 1607969396914
Moved to 1439, 2238 at time 1607969396940
Moved to 1438, 2237 at time 1607969397024
Moved to 1437, 2236 at time 1607969397148
Moved to 1436, 2235 at time 1607969397259
Moved to 1435, 2234 at time 1607969397272
Moved to 1434, 2233 at time 1607969397416
Moved to 1433, 2232 at time 1607969397448
Moved to 1432, 2231 at time 1607969397770
Moved to 1431, 2230 at time 1607969397808
Moved to 1430, 2229 at time 1607969397821
Moved to 1429, 2228 at time 1607969398027
Moved to 1428, 2227 at time 1607969398049
Moved to 1427, 2226 at time 1607969398287
Moved to 1426, 2225 at time 1607969398605
Moved to 1425, 2224 at time 1607969398617
Moved to 1424, 2223 at time 1607969398749
Moved to 1423, 2222 at time 1607969398890
Moved to 1422, 2221 at time 1607969399013
Moved to 1421, 2220 at time 1607969399188
Moved to 1420, 2219 at time 1607969399221
Moved to 1419, 2218 at time 1607969399255
Moved to 1418, 2217 at time 1607969399288
Moved to 1417, 2216 at time 1607969399328
Moved to 1416, 2215 at time 1607969399355
Moved to 1415, 2214 at time 1607969399402
Moved to 1414, 2213 at time 1607969399421
Moved to 1413, 2212 at time 1607969399497
Moved to 1412, 2211 at time 1607969399510
Moved to 1411, 2210 at time 1607969399560
Moved to 1410, 2209 at time 1607969399579
Moved to 1409, 2208 at time 1607969399617
Moved to 1408, 2207 at time 1607969399650
Moved to 1407, 2206 at time 1607969399682
Moved to 1406, 2205 at time 1607969399710
Moved to 1405, 2204 at time 1607969399756
Moved to 1404, 2203 at time 1607969399784
Moved to 1403, 2202 at time 1607969399834
Moved to 1402, 2201 at time 1607969399851
Moved to 1401, 2200 at time 1607969399947
Moved to 1400, 2199 at time 1607969400008
Moved to 1399, 2198 at time 1607969400137
Moved to 1398, 2197 at time 1607969400188
Moved to 1397, 2196 at time 1607969400267
Moved to 1396, 2195 at time 1607969400289
Moved to 1395, 2194 at time 1607969400346
Moved to 1394, 2193 at time 1607969400365
Moved to 1393, 2192 at time 1607969400416
Moved to 1392, 2191 at time 1607969400441
Moved to 1391, 2190 at time 1607969400535
Moved to 1390, 2189 at time 1607969400567
Moved to 1389, 2188 at time 1607969400619
Moved to 1388, 2187 at time 1607969400644
Moved to 1387, 2186 at time 1607969400688
Moved to 1386, 2185 at time 1607969400707
Moved to 1385, 2184 at time 1607969400746
Moved to 1384, 2183 at time 1607969400817
Moved to 1383, 2182 at time 1607969400872
Moved to 1382, 2181 at time 1607969400895
Moved to 1381, 2180 at time 1607969400949
Moved to 1380, 2179 at time 1607969400982
Moved to 1379, 2178 at time 1607969401116
Moved to 1378, 2177 at time 1607969401373
Moved to 1377, 2176 at time 1607969401453
Moved to 1376, 2175 at time 1607969401645
Moved to 1375, 2174 at time 1607969401657
Moved to 1374, 2173 at time 1607969401903
Moved to 1373, 2172 at time 1607969401957
Moved to 1372, 2171 at time 1607969402160
Moved to 1371, 2170 at time 1607969402288
Moved to 1370, 2169 at time 1607969402480
Moved to 1369, 2168 at time 1607969402551
Moved to 1368, 2167 at time 1607969402786
Moved to 1367, 2166 at time 1607969402837
Moved to 1366, 2165 at time 1607969403082
Moved to 1365, 2164 at time 1607969403129
Moved to 1364, 2163 at time 1607969403204
Moved to 1363, 2162 at time 1607969403357
Moved to 1362, 2161 at time 1607969403372
Moved to 1361, 2160 at time 1607969403385
Moved to 1360, 2159 at time 1607969403396
Moved to 1359, 2158 at time 1607969403541
Moved to 1358, 2157 at time 1607969403785
Moved to 1357, 2156 at time 1607969403852
Moved to 1356, 2155 at time 1607969404126
Moved to 1355, 2154 at time 1607969404314
