Moved to 1078, 270 at time 1607968586193
Moved to 1077, 269 at time 1607968586333
Moved to 1076, 268 at time 1607968622471
Moved to 1075, 267 at time 1607968622538
Moved to 1074, 266 at time 1607968622719
Moved to 1073, 265 at time 1607968622843
Moved to 1072, 264 at time 1607968622987
Moved to 1071, 263 at time 1607968623127
Moved to 1070, 262 at time 1607968623358
Moved to 1069, 261 at time 1607968623395
Moved to 1068, 260 at time 1607968623753
Moved to 1067, 259 at time 1607968623829
Moved to 1066, 258 at time 1607968624254
Moved to 1065, 257 at time 1607968624361
Moved to 1064, 256 at time 1607968624743
Moved to 1063, 255 at time 1607968624817
Got attacked at 1063, 255 by Unit@2f793617 at time 1607968625159
Moved to 1062, 254 at time 1607968625185
Moved to 1061, 253 at time 1607968625480
Moved to 1060, 252 at time 1607968625555
Moved to 1059, 251 at time 1607968625746
Moved to 1058, 250 at time 1607968625962
Moved to 1057, 249 at time 1607968626062
Moved to 1056, 248 at time 1607968626370
Moved to 1055, 247 at time 1607968626479
Moved to 1054, 246 at time 1607968626646
Moved to 1053, 245 at time 1607968626799
Moved to 1052, 244 at time 1607968626934
Moved to 1051, 243 at time 1607968627043
Moved to 1050, 242 at time 1607968627064
Moved to 1049, 241 at time 1607968627161
Moved to 1048, 240 at time 1607968627185
Moved to 1047, 239 at time 1607968627277
Moved to 1046, 238 at time 1607968627373
Moved to 1045, 237 at time 1607968627433
Moved to 1044, 236 at time 1607968627447
Got attacked at 1044, 236 by Unit@2f793617 at time 1607968627520
Moved to 1043, 235 at time 1607968627530
Moved to 1042, 234 at time 1607968627557
Moved to 1041, 233 at time 1607968627596
Moved to 1040, 232 at time 1607968627630
Moved to 1039, 231 at time 1607968627672
Moved to 1038, 230 at time 1607968627705
Moved to 1037, 229 at time 1607968627740
Moved to 1036, 228 at time 1607968627766
Moved to 1035, 227 at time 1607968627828
Moved to 1034, 226 at time 1607968627855
Moved to 1033, 225 at time 1607968627895
Moved to 1032, 224 at time 1607968627925
Moved to 1031, 223 at time 1607968627960
Moved to 1030, 222 at time 1607968627993
Moved to 1029, 221 at time 1607968628040
Moved to 1028, 220 at time 1607968628057
Moved to 1027, 219 at time 1607968628112
Moved to 1026, 218 at time 1607968628150
Moved to 1025, 217 at time 1607968628197
Moved to 1024, 216 at time 1607968628219
Moved to 1023, 215 at time 1607968628259
Moved to 1022, 214 at time 1607968628280
Moved to 1021, 213 at time 1607968628321
Moved to 1020, 212 at time 1607968628340
Moved to 1019, 211 at time 1607968628372
Moved to 1018, 210 at time 1607968628393
Moved to 1017, 209 at time 1607968628488
Moved to 1016, 208 at time 1607968628563
Moved to 1015, 207 at time 1607968628617
Moved to 1014, 206 at time 1607968628647
Moved to 1013, 205 at time 1607968628733
Moved to 1012, 204 at time 1607968628759
Moved to 1011, 203 at time 1607968628909
Moved to 1010, 202 at time 1607968628920
Moved to 1009, 201 at time 1607968629001
Moved to 1008, 200 at time 1607968629114
Moved to 1007, 199 at time 1607968629231
Moved to 1006, 198 at time 1607968629322
Moved to 1005, 197 at time 1607968629359
Moved to 1004, 196 at time 1607968629432
Moved to 1003, 195 at time 1607968629452
Moved to 1002, 194 at time 1607968629581
Moved to 1001, 193 at time 1607968629622
Moved to 1000, 192 at time 1607968629780
Moved to 999, 191 at time 1607968629824
Moved to 998, 190 at time 1607968629998
Moved to 997, 189 at time 1607968630084
Moved to 996, 188 at time 1607968630127
Moved to 995, 187 at time 1607968630192
Moved to 994, 186 at time 1607968630230
Moved to 993, 185 at time 1607968630297
Moved to 992, 184 at time 1607968630358
Got attacked at 992, 184 by Unit@3fe1a0ee at time 1607968630371
Moved to 991, 183 at time 1607968630398
Moved to 990, 182 at time 1607968630530
Moved to 989, 181 at time 1607968630576
Moved to 988, 180 at time 1607968630717
Moved to 987, 179 at time 1607968630757
Moved to 986, 178 at time 1607968630927
Moved to 985, 177 at time 1607968630965
