Moved to 2041, 1066 at time 1607968586264
Moved to 2040, 1065 at time 1607968622522
Moved to 2039, 1064 at time 1607968622664
Moved to 2038, 1063 at time 1607968622852
Moved to 2037, 1062 at time 1607968622975
Moved to 2036, 1061 at time 1607968623092
Moved to 2035, 1060 at time 1607968623368
Moved to 2034, 1059 at time 1607968623769
Moved to 2033, 1058 at time 1607968624315
Moved to 2032, 1057 at time 1607968624761
Moved to 2031, 1056 at time 1607968624796
Moved to 2030, 1055 at time 1607968625128
Moved to 2029, 1054 at time 1607968625509
Moved to 2028, 1053 at time 1607968625764
Moved to 2027, 1052 at time 1607968626031
Moved to 2026, 1051 at time 1607968626262
Moved to 2025, 1050 at time 1607968626330
Moved to 2024, 1049 at time 1607968626492
Moved to 2023, 1048 at time 1607968626600
Moved to 2022, 1047 at time 1607968626824
Moved to 2021, 1046 at time 1607968626910
Moved to 2020, 1045 at time 1607968626985
Moved to 2019, 1044 at time 1607968627104
Moved to 2018, 1043 at time 1607968627213
Moved to 2017, 1042 at time 1607968627327
Moved to 2016, 1041 at time 1607968627430
Moved to 2015, 1040 at time 1607968627526
Moved to 2014, 1039 at time 1607968627607
Moved to 2013, 1038 at time 1607968627673
Moved to 2012, 1037 at time 1607968627709
Moved to 2011, 1036 at time 1607968627780
Moved to 2010, 1035 at time 1607968627868
Moved to 2009, 1034 at time 1607968627927
Moved to 2008, 1033 at time 1607968628001
Moved to 2007, 1032 at time 1607968628065
Moved to 2006, 1031 at time 1607968628141
Moved to 2005, 1030 at time 1607968628192
Moved to 2004, 1029 at time 1607968628264
Moved to 2003, 1028 at time 1607968628354
Moved to 2002, 1027 at time 1607968628447
Moved to 2001, 1026 at time 1607968628510
Moved to 2000, 1025 at time 1607968628578
Moved to 1999, 1024 at time 1607968628672
Moved to 1998, 1023 at time 1607968628821
Moved to 1997, 1022 at time 1607968628958
Moved to 1996, 1021 at time 1607968629028
Moved to 1995, 1020 at time 1607968629172
Moved to 1994, 1019 at time 1607968629248
Moved to 1993, 1018 at time 1607968629282
Moved to 1992, 1017 at time 1607968629365
Moved to 1991, 1016 at time 1607968629509
Moved to 1990, 1015 at time 1607968629675
Moved to 1989, 1014 at time 1607968629918
Moved to 1988, 1013 at time 1607968630043
Moved to 1987, 1012 at time 1607968630129
Moved to 1986, 1011 at time 1607968630170
Moved to 1985, 1010 at time 1607968630255
Moved to 1984, 1009 at time 1607968630351
Moved to 1983, 1008 at time 1607968630558
Moved to 1982, 1007 at time 1607968630714
Moved to 1981, 1006 at time 1607968630945
Moved to 1980, 1005 at time 1607968631164
Moved to 1979, 1004 at time 1607968631493
Moved to 1978, 1003 at time 1607968631730
Moved to 1977, 1002 at time 1607968631796
Moved to 1976, 1001 at time 1607968631979
Moved to 1975, 1000 at time 1607968632150
Moved to 1974, 999 at time 1607968632258
Moved to 1973, 998 at time 1607968632293
Moved to 1972, 997 at time 1607968632399
Moved to 1971, 996 at time 1607968632497
Moved to 1970, 995 at time 1607968632564
Moved to 1969, 994 at time 1607968632626
Moved to 1968, 993 at time 1607968632701
Moved to 1967, 992 at time 1607968632760
Moved to 1966, 991 at time 1607968632819
Moved to 1965, 990 at time 1607968632853
Moved to 1964, 989 at time 1607968632920
Moved to 1963, 988 at time 1607968632969
Moved to 1962, 987 at time 1607968633035
Moved to 1961, 986 at time 1607968633071
Moved to 1960, 985 at time 1607968633128
Moved to 1959, 984 at time 1607968633200
Moved to 1958, 983 at time 1607968633249
Moved to 1957, 982 at time 1607968633297
Moved to 1956, 981 at time 1607968633348
Moved to 1955, 980 at time 1607968633407
Moved to 1954, 979 at time 1607968633469
Moved to 1953, 978 at time 1607968705454
