Moved to 601, 2340 at time 1607969349766
Moved to 600, 2339 at time 1607969394802
Moved to 599, 2338 at time 1607969394837
Moved to 598, 2337 at time 1607969394897
Moved to 597, 2336 at time 1607969395005
Moved to 596, 2335 at time 1607969395082
Moved to 595, 2334 at time 1607969395265
Moved to 594, 2333 at time 1607969395580
Moved to 593, 2332 at time 1607969395799
Moved to 592, 2331 at time 1607969395983
Moved to 591, 2330 at time 1607969396155
Moved to 590, 2329 at time 1607969396329
Moved to 589, 2328 at time 1607969396762
Moved to 588, 2327 at time 1607969396934
Moved to 587, 2326 at time 1607969397120
Moved to 586, 2325 at time 1607969397270
Moved to 585, 2324 at time 1607969397498
Moved to 584, 2323 at time 1607969397878
Moved to 583, 2322 at time 1607969398087
Moved to 582, 2321 at time 1607969398209
Moved to 581, 2320 at time 1607969398420
Moved to 580, 2319 at time 1607969398498
Moved to 579, 2318 at time 1607969398647
Moved to 578, 2317 at time 1607969398811
Moved to 577, 2316 at time 1607969399069
Moved to 576, 2315 at time 1607969399194
Moved to 575, 2314 at time 1607969399260
Moved to 574, 2313 at time 1607969399332
Moved to 573, 2312 at time 1607969399400
Moved to 572, 2311 at time 1607969399522
Moved to 571, 2310 at time 1607969399594
Moved to 570, 2309 at time 1607969399649
Moved to 569, 2308 at time 1607969399718
Moved to 568, 2307 at time 1607969399800
Moved to 567, 2306 at time 1607969399880
Moved to 566, 2305 at time 1607969400072
Moved to 565, 2304 at time 1607969400220
Moved to 564, 2303 at time 1607969400308
Moved to 563, 2302 at time 1607969400374
Moved to 562, 2301 at time 1607969400488
Moved to 561, 2300 at time 1607969400597
Moved to 560, 2299 at time 1607969400700
Moved to 559, 2298 at time 1607969400783
Moved to 558, 2297 at time 1607969400819
Moved to 557, 2296 at time 1607969400923
Moved to 556, 2295 at time 1607969400990
Moved to 555, 2294 at time 1607969401074
Moved to 554, 2293 at time 1607969401357
Moved to 553, 2292 at time 1607969401436
Moved to 552, 2291 at time 1607969401637
Moved to 551, 2290 at time 1607969401904
Moved to 550, 2289 at time 1607969402198
Moved to 549, 2288 at time 1607969402252
Moved to 548, 2287 at time 1607969402490
Moved to 547, 2286 at time 1607969402815
Moved to 546, 2285 at time 1607969403084
Moved to 545, 2284 at time 1607969403210
Moved to 544, 2283 at time 1607969403300
Moved to 543, 2282 at time 1607969403541
Moved to 542, 2281 at time 1607969403575
Moved to 541, 2280 at time 1607969403795
Moved to 540, 2279 at time 1607969404080
Moved to 539, 2278 at time 1607969404339
Moved to 538, 2277 at time 1607969404782
Moved to 537, 2276 at time 1607969404908
Moved to 536, 2275 at time 1607969404953
Moved to 535, 2274 at time 1607969405106
Moved to 534, 2273 at time 1607969405286
Moved to 533, 2272 at time 1607969405472
Moved to 532, 2271 at time 1607969405523
Moved to 531, 2270 at time 1607969405607
Moved to 530, 2269 at time 1607969405642
Moved to 529, 2268 at time 1607969405809
Moved to 528, 2267 at time 1607969405998
Moved to 527, 2266 at time 1607969406093
Moved to 526, 2265 at time 1607969406183
Moved to 525, 2264 at time 1607969406267
Moved to 524, 2263 at time 1607969406301
