Moved to 2641, 1501 at time 1607969349722
Moved to 2640, 1500 at time 1607969349796
Moved to 2639, 1499 at time 1607969394828
Moved to 2638, 1498 at time 1607969394904
Moved to 2637, 1497 at time 1607969395001
Moved to 2636, 1496 at time 1607969395087
Moved to 2635, 1495 at time 1607969395241
Moved to 2634, 1494 at time 1607969395295
Moved to 2633, 1493 at time 1607969395553
Moved to 2632, 1492 at time 1607969395613
Moved to 2631, 1491 at time 1607969395765
Moved to 2630, 1490 at time 1607969396066
Moved to 2629, 1489 at time 1607969396390
Moved to 2628, 1488 at time 1607969396765
Moved to 2627, 1487 at time 1607969396910
Moved to 2626, 1486 at time 1607969396944
Moved to 2625, 1485 at time 1607969397000
Moved to 2624, 1484 at time 1607969397271
Moved to 2623, 1483 at time 1607969397394
Moved to 2622, 1482 at time 1607969397439
Moved to 2621, 1481 at time 1607969397753
Moved to 2620, 1480 at time 1607969397804
Moved to 2619, 1479 at time 1607969398022
Moved to 2618, 1478 at time 1607969398351
Moved to 2617, 1477 at time 1607969398583
Moved to 2616, 1476 at time 1607969398720
Moved to 2615, 1475 at time 1607969398896
Moved to 2614, 1474 at time 1607969398974
Moved to 2613, 1473 at time 1607969399132
Moved to 2612, 1472 at time 1607969399168
Moved to 2611, 1471 at time 1607969399220
Moved to 2610, 1470 at time 1607969399300
Moved to 2609, 1469 at time 1607969399360
Moved to 2608, 1468 at time 1607969399450
Moved to 2607, 1467 at time 1607969399531
Moved to 2606, 1466 at time 1607969399589
Moved to 2605, 1465 at time 1607969399655
Moved to 2604, 1464 at time 1607969399690
Moved to 2603, 1463 at time 1607969399748
Moved to 2602, 1462 at time 1607969399843
Moved to 2601, 1461 at time 1607969399932
Moved to 2600, 1460 at time 1607969399995
Moved to 2599, 1459 at time 1607969400204
Moved to 2598, 1458 at time 1607969400322
Moved to 2597, 1457 at time 1607969400434
Moved to 2596, 1456 at time 1607969400522
Moved to 2595, 1455 at time 1607969400556
Moved to 2594, 1454 at time 1607969400610
Moved to 2593, 1453 at time 1607969400698
Moved to 2592, 1452 at time 1607969400784
Moved to 2591, 1451 at time 1607969400967
Moved to 2590, 1450 at time 1607969401103
Moved to 2589, 1449 at time 1607969401185
Moved to 2588, 1448 at time 1607969401348
Moved to 2587, 1447 at time 1607969401454
Moved to 2586, 1446 at time 1607969401629
Moved to 2585, 1445 at time 1607969401739
Moved to 2584, 1444 at time 1607969401880
Moved to 2583, 1443 at time 1607969402169
Moved to 2582, 1442 at time 1607969402279
Moved to 2581, 1441 at time 1607969402457
Moved to 2580, 1440 at time 1607969402790
Moved to 2579, 1439 at time 1607969403112
Moved to 2578, 1438 at time 1607969403201
Moved to 2577, 1437 at time 1607969403313
Moved to 2576, 1436 at time 1607969403391
Moved to 2575, 1435 at time 1607969403525
Moved to 2574, 1434 at time 1607969403614
Moved to 2573, 1433 at time 1607969403763
Moved to 2572, 1432 at time 1607969404058
Moved to 2571, 1431 at time 1607969404367
Moved to 2570, 1430 at time 1607969404574
Moved to 2569, 1429 at time 1607969404764
Moved to 2568, 1428 at time 1607969404927
Moved to 2567, 1427 at time 1607969405129
Moved to 2566, 1426 at time 1607969405256
Moved to 2565, 1425 at time 1607969405307
Moved to 2564, 1424 at time 1607969405438
Moved to 2563, 1423 at time 1607969405550
Moved to 2562, 1422 at time 1607969405586
Moved to 2561, 1421 at time 1607969405664
Moved to 2560, 1420 at time 1607969405771
Moved to 2559, 1419 at time 1607969405845
Moved to 2558, 1418 at time 1607969406050
Moved to 2557, 1417 at time 1607969406117
Moved to 2556, 1416 at time 1607969406153
Moved to 2555, 1415 at time 1607969406244
Moved to 2554, 1414 at time 1607969406325
Moved to 2553, 1413 at time 1607969406386
Moved to 2552, 1412 at time 1607969406463
Moved to 2551, 1411 at time 1607969406513
Moved to 2550, 1410 at time 1607969406547
Moved to 2549, 1409 at time 1607969406604
Moved to 2548, 1408 at time 1607969406670
Moved to 2547, 1407 at time 1607969406794
Moved to 2546, 1406 at time 1607969406945
Moved to 2545, 1405 at time 1607969407109
Moved to 2544, 1404 at time 1607969407332
Moved to 2543, 1403 at time 1607969407367
Moved to 2542, 1402 at time 1607969407455
Moved to 2541, 1401 at time 1607969407525
Moved to 2540, 1400 at time 1607969407597
Moved to 2539, 1399 at time 1607969407718
Moved to 2538, 1398 at time 1607969407885
Moved to 2537, 1397 at time 1607969407924
Moved to 2536, 1396 at time 1607969407987
Moved to 2535, 1395 at time 1607969408024
Moved to 2534, 1394 at time 1607969408084
Moved to 2533, 1393 at time 1607969408186
Moved to 2532, 1392 at time 1607969408260
Moved to 2531, 1391 at time 1607969408345
Moved to 2530, 1390 at time 1607969408502
Moved to 2529, 1389 at time 1607969408571
Moved to 2528, 1388 at time 1607969408635
Moved to 2527, 1387 at time 1607969408716
Moved to 2526, 1386 at time 1607969408791
Moved to 2525, 1385 at time 1607969408899
Moved to 2524, 1384 at time 1607969408935
Moved to 2523, 1383 at time 1607969409019
Moved to 2522, 1382 at time 1607969409060
Moved to 2521, 1381 at time 1607969409094
Moved to 2520, 1380 at time 1607969409133
Moved to 2519, 1379 at time 1607969409197
