Moved to 640, 509 at time 1607847540618
Moved to 639, 507 at time 1607847540840
Moved to 638, 506 at time 1607847540907
Moved to 637, 505 at time 1607847540941
Moved to 636, 504 at time 1607847540975
Moved to 635, 503 at time 1607847541009
Moved to 634, 502 at time 1607847541043
Moved to 633, 501 at time 1607847541078
Moved to 632, 500 at time 1607847541112
Moved to 631, 499 at time 1607847541148
Moved to 630, 498 at time 1607847541182
Moved to 629, 497 at time 1607847541218
Moved to 628, 496 at time 1607847541253
Moved to 627, 495 at time 1607847541287
Moved to 626, 494 at time 1607847541321
Moved to 625, 493 at time 1607847541355
Moved to 624, 492 at time 1607847541389
Moved to 623, 491 at time 1607847541424
Moved to 622, 490 at time 1607847541460
Moved to 621, 489 at time 1607847541527
Moved to 620, 488 at time 1607847541562
Moved to 619, 487 at time 1607847541597
Moved to 618, 486 at time 1607847541632
Moved to 617, 485 at time 1607847541699
Moved to 616, 484 at time 1607847541767
Moved to 615, 483 at time 1607847541801
Moved to 614, 482 at time 1607847541838
Moved to 613, 481 at time 1607847541872
Moved to 612, 480 at time 1607847541906
Moved to 611, 479 at time 1607847541942
Moved to 610, 478 at time 1607847541977
Moved to 609, 477 at time 1607847542013
Moved to 608, 476 at time 1607847542048
Moved to 607, 475 at time 1607847542083
Moved to 606, 474 at time 1607847542120
Moved to 605, 473 at time 1607847542155
Moved to 604, 472 at time 1607847542190
Moved to 603, 471 at time 1607847542224
Moved to 602, 470 at time 1607847542258
Moved to 601, 469 at time 1607847542292
Moved to 600, 468 at time 1607847542326
Moved to 599, 467 at time 1607847542362
Moved to 598, 466 at time 1607847542397
Moved to 597, 465 at time 1607847542433
Moved to 596, 464 at time 1607847542467
Moved to 595, 463 at time 1607847542534
Moved to 594, 462 at time 1607847542570
Moved to 593, 461 at time 1607847542610
Moved to 592, 460 at time 1607847542646
Moved to 591, 459 at time 1607847542683
Moved to 590, 458 at time 1607847542717
Moved to 589, 457 at time 1607847542752
Moved to 588, 456 at time 1607847542787
Moved to 587, 455 at time 1607847542821
Moved to 586, 454 at time 1607847542856
Moved to 585, 453 at time 1607847542923
Moved to 584, 452 at time 1607847542957
Moved to 583, 451 at time 1607847542991
Moved to 582, 450 at time 1607847543025
Moved to 581, 449 at time 1607847543059
Moved to 580, 448 at time 1607847543095
Moved to 579, 447 at time 1607847543129
Moved to 578, 446 at time 1607847543165
Moved to 577, 445 at time 1607847543204
Moved to 576, 444 at time 1607847543238
Moved to 575, 443 at time 1607847543273
Moved to 574, 442 at time 1607847543309
Moved to 573, 441 at time 1607847543349
Moved to 572, 440 at time 1607847543385
Moved to 571, 439 at time 1607847543420
Moved to 570, 438 at time 1607847543456
Moved to 569, 437 at time 1607847543491
Moved to 568, 436 at time 1607847543526
Moved to 567, 435 at time 1607847543560
Moved to 566, 434 at time 1607847543596
Moved to 565, 433 at time 1607847543629
Moved to 564, 432 at time 1607847543664
Moved to 563, 431 at time 1607847543699
Moved to 562, 430 at time 1607847543733
Moved to 561, 429 at time 1607847543770
Moved to 560, 428 at time 1607847543809
Moved to 559, 427 at time 1607847543847
Moved to 558, 426 at time 1607847543884
Moved to 557, 425 at time 1607847543919
Moved to 556, 424 at time 1607847543953
Moved to 555, 423 at time 1607847543987
Moved to 554, 422 at time 1607847544021
Moved to 553, 421 at time 1607847544055
Moved to 552, 420 at time 1607847544090
Moved to 551, 419 at time 1607847544125
Moved to 550, 418 at time 1607847544159
Moved to 549, 417 at time 1607847544194
Moved to 548, 416 at time 1607847544228
Moved to 547, 415 at time 1607847544264
Moved to 546, 414 at time 1607847544298
Moved to 545, 413 at time 1607847544334
Moved to 523, 412 at time 1607847545102
Moved to 522, 411 at time 1607847545136
Moved to 521, 410 at time 1607847545170
Moved to 520, 409 at time 1607847545204
