Moved to 271, 1302 at time 1607971941707
Moved to 272, 1301 at time 1607971941726
Moved to 273, 1300 at time 1607971941743
Moved to 274, 1299 at time 1607971941780
Moved to 275, 1298 at time 1607972019887
Moved to 276, 1297 at time 1607972019899
Moved to 277, 1296 at time 1607972019917
Moved to 278, 1295 at time 1607972019931
Moved to 279, 1294 at time 1607972019969
Moved to 280, 1293 at time 1607972019987
Moved to 281, 1292 at time 1607972020000
Moved to 282, 1291 at time 1607972020012
Moved to 283, 1290 at time 1607972020023
Moved to 284, 1289 at time 1607972020034
Moved to 285, 1288 at time 1607972020047
Moved to 286, 1287 at time 1607972020058
Moved to 287, 1286 at time 1607972020070
Moved to 288, 1285 at time 1607972020085
Moved to 289, 1284 at time 1607972020099
Moved to 290, 1283 at time 1607972020112
Moved to 291, 1282 at time 1607972020123
Moved to 292, 1281 at time 1607972020135
Moved to 293, 1280 at time 1607972020148
Moved to 294, 1279 at time 1607972020162
Moved to 295, 1278 at time 1607972020173
Moved to 296, 1277 at time 1607972020186
Moved to 297, 1276 at time 1607972020197
Moved to 298, 1275 at time 1607972020210
Moved to 299, 1274 at time 1607972020221
Moved to 300, 1273 at time 1607972020232
Moved to 301, 1272 at time 1607972020243
Moved to 302, 1271 at time 1607972020255
Moved to 303, 1270 at time 1607972020269
Moved to 304, 1269 at time 1607972020282
Moved to 305, 1268 at time 1607972020305
Moved to 306, 1267 at time 1607972020326
Moved to 307, 1266 at time 1607972020339
Moved to 308, 1265 at time 1607972020351
Moved to 309, 1264 at time 1607972020364
Moved to 310, 1263 at time 1607972020375
Moved to 311, 1262 at time 1607972020386
Moved to 312, 1261 at time 1607972020397
Moved to 313, 1260 at time 1607972020408
Moved to 314, 1259 at time 1607972020420
Moved to 315, 1258 at time 1607972020431
Moved to 316, 1257 at time 1607972020442
Moved to 317, 1256 at time 1607972020455
Moved to 318, 1255 at time 1607972020466
Moved to 319, 1254 at time 1607972020478
Moved to 320, 1253 at time 1607972020497
Moved to 321, 1252 at time 1607972020508
Moved to 322, 1251 at time 1607972020520
Moved to 323, 1250 at time 1607972020542
Moved to 324, 1249 at time 1607972020553
Moved to 325, 1248 at time 1607972020565
Moved to 326, 1247 at time 1607972020577
Moved to 327, 1246 at time 1607972020590
Moved to 328, 1245 at time 1607972020601
Moved to 329, 1244 at time 1607972020612
Moved to 330, 1243 at time 1607972020623
Moved to 331, 1242 at time 1607972020634
Moved to 332, 1241 at time 1607972020645
Moved to 333, 1240 at time 1607972020656
Moved to 334, 1239 at time 1607972020667
Moved to 335, 1238 at time 1607972020680
Moved to 336, 1237 at time 1607972020691
Moved to 337, 1236 at time 1607972020703
Moved to 338, 1235 at time 1607972020715
Moved to 339, 1234 at time 1607972020727
Moved to 340, 1233 at time 1607972020738
Moved to 341, 1232 at time 1607972020749
Moved to 342, 1231 at time 1607972020762
Moved to 343, 1230 at time 1607972020774
Moved to 344, 1229 at time 1607972020785
Moved to 345, 1228 at time 1607972020796
Moved to 346, 1227 at time 1607972020807
Moved to 347, 1226 at time 1607972020819
Moved to 348, 1225 at time 1607972020833
Moved to 349, 1224 at time 1607972020846
Moved to 350, 1223 at time 1607972020868
Moved to 351, 1222 at time 1607972020879
Moved to 352, 1221 at time 1607972020890
Moved to 353, 1220 at time 1607972020902
Moved to 354, 1219 at time 1607972020914
Moved to 355, 1218 at time 1607972020931
Moved to 356, 1217 at time 1607972020948
Moved to 357, 1216 at time 1607972020961
