Moved to 832, 754 at time 1607968070152
Moved to 831, 753 at time 1607968070338
Moved to 830, 752 at time 1607968143803
Moved to 829, 751 at time 1607968143944
Moved to 828, 750 at time 1607968144118
Moved to 827, 749 at time 1607968144142
Moved to 826, 748 at time 1607968144238
Moved to 825, 747 at time 1607968144261
Moved to 824, 746 at time 1607968144439
Moved to 823, 745 at time 1607968144571
Moved to 822, 744 at time 1607968144582
Moved to 821, 743 at time 1607968144639
Moved to 820, 742 at time 1607968144833
Moved to 819, 741 at time 1607968144907
Got attacked at 819, 741 by Unit@543b2c63 at time 1607968145042
Moved to 818, 740 at time 1607968145121
Moved to 817, 739 at time 1607968145174
Moved to 816, 738 at time 1607968145381
Moved to 815, 737 at time 1607968145521
Moved to 814, 736 at time 1607968145695
Moved to 813, 735 at time 1607968145814
Moved to 812, 734 at time 1607968145923
Moved to 811, 733 at time 1607968146009
Moved to 810, 732 at time 1607968146117
Moved to 809, 731 at time 1607968146460
Moved to 808, 730 at time 1607968146618
Moved to 807, 729 at time 1607968146789
Moved to 806, 728 at time 1607968146844
Moved to 805, 727 at time 1607968146940
Moved to 804, 726 at time 1607968146951
Moved to 803, 725 at time 1607968147055
Moved to 802, 724 at time 1607968147174
Moved to 801, 723 at time 1607968147189
Moved to 800, 722 at time 1607968147300
Moved to 799, 721 at time 1607968147313
Moved to 798, 720 at time 1607968147455
Moved to 797, 719 at time 1607968147617
Moved to 796, 718 at time 1607968147726
Moved to 795, 717 at time 1607968147740
Moved to 794, 716 at time 1607968147840
Moved to 793, 715 at time 1607968147985
Moved to 792, 714 at time 1607968148217
Moved to 791, 713 at time 1607968148585
Moved to 790, 712 at time 1607968148814
Moved to 789, 711 at time 1607968148852
Moved to 788, 710 at time 1607968149116
Moved to 787, 709 at time 1607968149180
Moved to 786, 708 at time 1607968149358
Moved to 785, 707 at time 1607968149558
Moved to 784, 706 at time 1607968149569
Moved to 783, 705 at time 1607968149580
Moved to 782, 704 at time 1607968149713
Moved to 781, 703 at time 1607968149776
Moved to 780, 702 at time 1607968149892
Moved to 779, 701 at time 1607968150075
Moved to 778, 700 at time 1607968150143
Moved to 777, 699 at time 1607968150215
Moved to 776, 698 at time 1607968150257
Moved to 775, 697 at time 1607968150346
Moved to 774, 696 at time 1607968150466
Moved to 773, 695 at time 1607968150477
Moved to 772, 694 at time 1607968150625
Moved to 771, 693 at time 1607968150636
Moved to 770, 692 at time 1607968150715
Moved to 769, 691 at time 1607968150811
Moved to 768, 690 at time 1607968150996
Moved to 767, 689 at time 1607968151065
Moved to 766, 688 at time 1607968151187
Moved to 765, 687 at time 1607968151237
Got attacked at 765, 687 by Unit@62e56bfe at time 1607968151346
Moved to 764, 686 at time 1607968151369
Moved to 763, 685 at time 1607968151408
Moved to 762, 684 at time 1607968151537
Moved to 761, 683 at time 1607968151574
Moved to 760, 682 at time 1607968151707
Moved to 759, 681 at time 1607968151726
Moved to 758, 680 at time 1607968151809
Moved to 757, 679 at time 1607968151825
Moved to 756, 678 at time 1607968151982
