Moved to 2054, 1091 at time 1607967053355
Moved to 2053, 1090 at time 1607967053370
Moved to 2052, 1089 at time 1607967053761
Moved to 2051, 1088 at time 1607967097305
Moved to 2050, 1087 at time 1607967097317
Moved to 2049, 1086 at time 1607967097587
Moved to 2048, 1085 at time 1607967097829
Moved to 2047, 1084 at time 1607967098064
Moved to 2046, 1083 at time 1607967098248
Moved to 2045, 1082 at time 1607967098413
Moved to 2044, 1081 at time 1607967098656
Moved to 2043, 1080 at time 1607967098927
Moved to 2042, 1079 at time 1607967098947
Moved to 2041, 1078 at time 1607967099449
Moved to 2040, 1077 at time 1607967099476
Moved to 2039, 1076 at time 1607967100038
Moved to 2038, 1075 at time 1607967100446
Moved to 2037, 1074 at time 1607967100873
Moved to 2036, 1073 at time 1607967101872
Moved to 2035, 1072 at time 1607967102016
Moved to 2034, 1071 at time 1607967102034
Moved to 2033, 1070 at time 1607967102192
Moved to 2032, 1069 at time 1607967102462
Moved to 2031, 1068 at time 1607967102842
Moved to 2030, 1067 at time 1607967103259
Moved to 2029, 1066 at time 1607967103442
Moved to 2028, 1065 at time 1607967103574
Moved to 2027, 1064 at time 1607967103750
Moved to 2026, 1063 at time 1607967103887
Moved to 2025, 1062 at time 1607967104020
Moved to 2024, 1061 at time 1607967104426
Moved to 2023, 1060 at time 1607967104776
Moved to 2022, 1059 at time 1607967104838
Moved to 2021, 1058 at time 1607967105302
Moved to 2020, 1057 at time 1607967105342
Moved to 2019, 1056 at time 1607967105902
Moved to 2018, 1055 at time 1607967105927
Moved to 2017, 1054 at time 1607967106243
Moved to 2016, 1053 at time 1607967106561
Moved to 2015, 1052 at time 1607967106637
Moved to 2014, 1051 at time 1607967107026
Moved to 2013, 1050 at time 1607967107069
Moved to 2012, 1049 at time 1607967107319
Moved to 2011, 1048 at time 1607967107358
Moved to 2010, 1047 at time 1607967107581
Moved to 2009, 1046 at time 1607967107601
Moved to 2008, 1045 at time 1607967107710
Moved to 2007, 1044 at time 1607967107852
Moved to 2006, 1043 at time 1607967108010
Moved to 2005, 1042 at time 1607967108119
Moved to 2004, 1041 at time 1607967108254
Moved to 2003, 1040 at time 1607967108375
Moved to 2002, 1039 at time 1607967108479
Moved to 2001, 1038 at time 1607967108614
Moved to 2000, 1037 at time 1607967108871
Moved to 1999, 1036 at time 1607967109298
Moved to 1998, 1035 at time 1607967109704
Moved to 1997, 1034 at time 1607967109729
Moved to 1996, 1033 at time 1607967110016
Moved to 1995, 1032 at time 1607967110036
Moved to 1994, 1031 at time 1607967110267
Moved to 1993, 1030 at time 1607967110329
Moved to 1992, 1029 at time 1607967110697
Moved to 1991, 1028 at time 1607967110768
Moved to 1990, 1027 at time 1607967111118
Moved to 1989, 1026 at time 1607967111185
Moved to 1988, 1025 at time 1607967111555
Moved to 1987, 1024 at time 1607967111614
Moved to 1986, 1023 at time 1607967111918
Moved to 1985, 1022 at time 1607967111947
Moved to 1984, 1021 at time 1607967112135
Moved to 1983, 1020 at time 1607967112179
Moved to 1982, 1019 at time 1607967112399
Moved to 1981, 1018 at time 1607967112514
Moved to 1980, 1017 at time 1607967112738
Moved to 1979, 1016 at time 1607967112838
Moved to 1978, 1015 at time 1607967113149
Moved to 1977, 1014 at time 1607967113252
Moved to 1976, 1013 at time 1607967113598
Moved to 1975, 1012 at time 1607967114056
Moved to 1974, 1011 at time 1607967114162
Moved to 1973, 1010 at time 1607967114620
Moved to 1972, 1009 at time 1607967115032
Moved to 1971, 1008 at time 1607967115328
Moved to 1970, 1007 at time 1607967115473
Moved to 1969, 1006 at time 1607967115486
Moved to 1968, 1005 at time 1607967115628
Moved to 1967, 1004 at time 1607967115639
Moved to 1966, 1003 at time 1607967115727
Moved to 1965, 1002 at time 1607967115870
Moved to 1964, 1001 at time 1607967115966
Moved to 1963, 1000 at time 1607967116120
Moved to 1962, 999 at time 1607967116256
Moved to 1961, 998 at time 1607967116462
Moved to 1960, 997 at time 1607967116648
Moved to 1959, 996 at time 1607967116845
Moved to 1958, 995 at time 1607967116930
Moved to 1957, 994 at time 1607967117194
Moved to 1956, 993 at time 1607967117488
Moved to 1955, 992 at time 1607967117765
Moved to 1954, 991 at time 1607967117784
Moved to 1953, 990 at time 1607967118162
Moved to 1952, 989 at time 1607967118566
Moved to 1951, 988 at time 1607967118875
Moved to 1950, 987 at time 1607967119257
Moved to 1949, 986 at time 1607967119627
Moved to 1948, 985 at time 1607967119768
Moved to 1947, 984 at time 1607967119869
Moved to 1946, 983 at time 1607967119882
Moved to 1945, 982 at time 1607967119962
Moved to 1944, 981 at time 1607967120098
Moved to 1943, 980 at time 1607967120189
Moved to 1942, 979 at time 1607967120204
Moved to 1941, 978 at time 1607967120280
Moved to 1940, 977 at time 1607967120298
Moved to 1939, 976 at time 1607967120381
Moved to 1938, 975 at time 1607967120520
Moved to 1937, 974 at time 1607967120604
Moved to 1936, 973 at time 1607967120617
Moved to 1935, 972 at time 1607967120699
Moved to 1934, 971 at time 1607967120813
Moved to 1933, 970 at time 1607967120916
Moved to 1932, 969 at time 1607967120934
Moved to 1931, 968 at time 1607967121005
Moved to 1930, 967 at time 1607967121029
Moved to 1929, 966 at time 1607967121099
Moved to 1928, 965 at time 1607967121124
Moved to 1927, 964 at time 1607967121242
Moved to 1926, 963 at time 1607967121275
Moved to 1925, 962 at time 1607967121392
Moved to 1924, 961 at time 1607967121516
Moved to 1923, 960 at time 1607967121617
Moved to 1922, 959 at time 1607967121718
Moved to 1921, 958 at time 1607967121818
Moved to 1920, 957 at time 1607967121829
Moved to 1919, 956 at time 1607967121928
Moved to 1918, 955 at time 1607967121991
Moved to 1917, 954 at time 1607967122012
Moved to 1916, 953 at time 1607967122070
Moved to 1915, 952 at time 1607967122095
Moved to 1914, 951 at time 1607967122157
Moved to 1913, 950 at time 1607967122188
Moved to 1912, 949 at time 1607967122228
Moved to 1911, 948 at time 1607967122257
Moved to 1910, 947 at time 1607967122301
Moved to 1909, 946 at time 1607967122335
Moved to 1908, 945 at time 1607967122386
Moved to 1907, 944 at time 1607967122411
Moved to 1906, 943 at time 1607967122422
Moved to 1905, 942 at time 1607967122448
Moved to 1904, 941 at time 1607967122487
Moved to 1903, 940 at time 1607967122523
Moved to 1902, 939 at time 1607967122572
Moved to 1901, 938 at time 1607967122602
Moved to 1900, 937 at time 1607967122656
Moved to 1899, 936 at time 1607967122683
Moved to 1898, 935 at time 1607967122722
Moved to 1897, 934 at time 1607967122758
Moved to 1896, 933 at time 1607967122788
Moved to 1895, 932 at time 1607967122836
Moved to 1894, 931 at time 1607967122871
Moved to 1893, 930 at time 1607967122925
Moved to 1892, 929 at time 1607967123045
Moved to 1891, 928 at time 1607967123060
Moved to 1890, 927 at time 1607967123357
Moved to 1889, 926 at time 1607967123387
Moved to 1888, 925 at time 1607967123747
Moved to 1887, 924 at time 1607967123759
Moved to 1886, 923 at time 1607967124022
Moved to 1885, 922 at time 1607967124115
Moved to 1884, 921 at time 1607967124313
Moved to 1883, 920 at time 1607967124336
Moved to 1882, 919 at time 1607967124423
Moved to 1881, 918 at time 1607967124434
Moved to 1880, 917 at time 1607967124512
Moved to 1879, 916 at time 1607967124618
Moved to 1878, 915 at time 1607967124695
Moved to 1877, 914 at time 1607967124823
Moved to 1876, 913 at time 1607967124924
Moved to 1875, 912 at time 1607967125040
Moved to 1874, 911 at time 1607967125147
Moved to 1873, 910 at time 1607967125228
Moved to 1872, 909 at time 1607967125415
Moved to 1871, 908 at time 1607967125483
Moved to 1870, 907 at time 1607967125497
Moved to 1869, 906 at time 1607967125566
Moved to 1868, 905 at time 1607967125588
Moved to 1867, 904 at time 1607967125668
Moved to 1866, 903 at time 1607967125688
Moved to 1865, 902 at time 1607967125771
Moved to 1864, 901 at time 1607967125784
Moved to 1863, 900 at time 1607967125870
Moved to 1862, 899 at time 1607967125888
Moved to 1861, 898 at time 1607967125950
Moved to 1860, 897 at time 1607967125972
Moved to 1859, 896 at time 1607967126133
Moved to 1858, 895 at time 1607967126174
Moved to 1857, 894 at time 1607967126186
Moved to 1856, 893 at time 1607967126446
Moved to 1855, 892 at time 1607967126501
Moved to 1854, 891 at time 1607967126655
Moved to 1853, 890 at time 1607967126700
Moved to 1852, 889 at time 1607967126841
Moved to 1851, 888 at time 1607967126853
Moved to 1850, 887 at time 1607967126873
Moved to 1849, 886 at time 1607967127146
Moved to 1848, 885 at time 1607967127520
Moved to 1847, 884 at time 1607967127552
Moved to 1846, 883 at time 1607967127908
Moved to 1845, 882 at time 1607967127950
Moved to 1844, 881 at time 1607967128313
Moved to 1843, 880 at time 1607967128349
Moved to 1842, 879 at time 1607967128751
Moved to 1841, 878 at time 1607967129106
Moved to 1840, 877 at time 1607967129413
Moved to 1839, 876 at time 1607967129462
Moved to 1838, 875 at time 1607967129786
Moved to 1837, 874 at time 1607967130180
Moved to 1836, 873 at time 1607967130217
Moved to 1835, 872 at time 1607967130554
Moved to 1834, 871 at time 1607967130937
Moved to 1833, 870 at time 1607967131302
Moved to 1832, 869 at time 1607967131651
Moved to 1831, 868 at time 1607967132028
Moved to 1830, 867 at time 1607967132388
Moved to 1829, 866 at time 1607967132402
Moved to 1828, 865 at time 1607967132773
Moved to 1827, 864 at time 1607967133109
Moved to 1826, 863 at time 1607967133142
Moved to 1825, 862 at time 1607967133469
Moved to 1824, 861 at time 1607967133516
Moved to 1823, 860 at time 1607967133870
Moved to 1822, 859 at time 1607967133909
Moved to 1821, 858 at time 1607967134192
Moved to 1820, 857 at time 1607967134204
Moved to 1819, 856 at time 1607967134290
Moved to 1818, 855 at time 1607967134301
Moved to 1817, 854 at time 1607967134402
Moved to 1816, 853 at time 1607967134507
Moved to 1815, 852 at time 1607967134588
Moved to 1814, 851 at time 1607967134670
Moved to 1813, 850 at time 1607967134741
Moved to 1812, 849 at time 1607967134822
Moved to 1811, 848 at time 1607967134899
Moved to 1810, 847 at time 1607967134982
Moved to 1809, 846 at time 1607967135054
Moved to 1808, 845 at time 1607967135142
Moved to 1807, 844 at time 1607967135211
Moved to 1806, 843 at time 1607967135304
Moved to 1805, 842 at time 1607967135366
Moved to 1804, 841 at time 1607967135378
Moved to 1803, 840 at time 1607967135457
Moved to 1802, 839 at time 1607967135536
Moved to 1801, 838 at time 1607967135616
Moved to 1800, 837 at time 1607967135692
Moved to 1799, 836 at time 1607967135778
Moved to 1798, 835 at time 1607967135856
Moved to 1797, 834 at time 1607967135942
Moved to 1796, 833 at time 1607967136030
Moved to 1795, 832 at time 1607967136127
Moved to 1794, 831 at time 1607967136216
Moved to 1793, 830 at time 1607967136296
Moved to 1792, 829 at time 1607967136362
Moved to 1791, 828 at time 1607967136443
Moved to 1790, 827 at time 1607967136455
Moved to 1789, 826 at time 1607967136499
Moved to 1788, 825 at time 1607967136626
Moved to 1787, 824 at time 1607967136721
Moved to 1786, 823 at time 1607967136875
Moved to 1785, 822 at time 1607967136928
Moved to 1784, 821 at time 1607967137036
Moved to 1783, 820 at time 1607967137115
Moved to 1782, 819 at time 1607967137304
Moved to 1781, 818 at time 1607967137435
Moved to 1780, 817 at time 1607967137645
Moved to 1779, 816 at time 1607967137791
Moved to 1778, 815 at time 1607967138008
Moved to 1777, 814 at time 1607967138162
Moved to 1776, 813 at time 1607967138376
Moved to 1775, 812 at time 1607967138494
Moved to 1774, 811 at time 1607967138563
Moved to 1773, 810 at time 1607967138593
Moved to 1772, 809 at time 1607967138655
Moved to 1771, 808 at time 1607967138690
Moved to 1770, 807 at time 1607967138777
Moved to 1769, 806 at time 1607967138841
Moved to 1768, 805 at time 1607967138941
Moved to 1767, 804 at time 1607967138980
Moved to 1766, 803 at time 1607967139033
Moved to 1765, 802 at time 1607967139061
Moved to 1764, 801 at time 1607967139073
Moved to 1763, 800 at time 1607967139105
Moved to 1762, 799 at time 1607967139171
Moved to 1761, 798 at time 1607967139277
Moved to 1760, 797 at time 1607967139291
Moved to 1759, 796 at time 1607967139345
Moved to 1758, 795 at time 1607967139363
Moved to 1757, 794 at time 1607967139423
Moved to 1756, 793 at time 1607967139444
Moved to 1755, 792 at time 1607967139500
Moved to 1754, 791 at time 1607967139520
Moved to 1753, 790 at time 1607967139568
Moved to 1752, 789 at time 1607967139596
Moved to 1751, 788 at time 1607967139641
Moved to 1750, 787 at time 1607967139664
Moved to 1749, 786 at time 1607967139713
Moved to 1748, 785 at time 1607967139741
Moved to 1747, 784 at time 1607967139779
Moved to 1746, 783 at time 1607967139818
Moved to 1745, 782 at time 1607967139853
Moved to 1744, 781 at time 1607967139889
Moved to 1743, 780 at time 1607967139930
Moved to 1742, 779 at time 1607967139960
Moved to 1741, 778 at time 1607967140005
Moved to 1740, 777 at time 1607967140025
Moved to 1739, 776 at time 1607967140063
Moved to 1738, 775 at time 1607967140084
Moved to 1737, 774 at time 1607967140144
Moved to 1736, 773 at time 1607967140171
Moved to 1735, 772 at time 1607967140209
Moved to 1734, 771 at time 1607967140227
Moved to 1733, 770 at time 1607967140268
Moved to 1732, 769 at time 1607967140292
Moved to 1731, 768 at time 1607967140335
Moved to 1730, 767 at time 1607967140356
Moved to 1729, 766 at time 1607967140406
Moved to 1728, 765 at time 1607967140426
Moved to 1727, 764 at time 1607967140475
Moved to 1726, 763 at time 1607967140496
Moved to 1725, 762 at time 1607967140541
Moved to 1724, 761 at time 1607967140558
Moved to 1723, 760 at time 1607967140604
Moved to 1722, 759 at time 1607967140628
Moved to 1721, 758 at time 1607967140673
Moved to 1720, 757 at time 1607967140707
Moved to 1719, 756 at time 1607967140745
Moved to 1718, 755 at time 1607967140778
Moved to 1717, 754 at time 1607967140822
Moved to 1716, 753 at time 1607967140849
Moved to 1715, 752 at time 1607967140903
Moved to 1714, 751 at time 1607967140919
Moved to 1713, 750 at time 1607967140970
Moved to 1712, 749 at time 1607967140986
Moved to 1711, 748 at time 1607967141038
Moved to 1710, 747 at time 1607967141059
Moved to 1709, 746 at time 1607967141124
Moved to 1708, 745 at time 1607967141145
Moved to 1707, 744 at time 1607967141204
Moved to 1706, 743 at time 1607967141277
Moved to 1705, 742 at time 1607967141337
Moved to 1704, 741 at time 1607967141407
Moved to 1703, 740 at time 1607967141475
Moved to 1702, 739 at time 1607967141488
Moved to 1701, 738 at time 1607967141514
Moved to 1700, 737 at time 1607967141553
Moved to 1699, 736 at time 1607967141564
Moved to 1698, 735 at time 1607967141630
Moved to 1697, 734 at time 1607967141697
Moved to 1696, 733 at time 1607967141760
Moved to 1695, 732 at time 1607967141838
Moved to 1694, 731 at time 1607967141892
Moved to 1693, 730 at time 1607967141952
Moved to 1692, 729 at time 1607967142012
Moved to 1691, 728 at time 1607967142078
Moved to 1690, 727 at time 1607967142145
Moved to 1689, 726 at time 1607967142228
Moved to 1688, 725 at time 1607967142279
Moved to 1687, 724 at time 1607967142291
Moved to 1686, 723 at time 1607967142344
Moved to 1685, 722 at time 1607967142356
Moved to 1684, 721 at time 1607967142407
Moved to 1683, 720 at time 1607967142421
Moved to 1682, 719 at time 1607967142469
Moved to 1681, 718 at time 1607967142488
Moved to 1680, 717 at time 1607967142532
Moved to 1679, 716 at time 1607967142573
Moved to 1678, 715 at time 1607967142600
Moved to 1677, 714 at time 1607967142640
Moved to 1676, 713 at time 1607967142664
Moved to 1675, 712 at time 1607967142719
Moved to 1674, 711 at time 1607967142800
Moved to 1673, 710 at time 1607967142811
Moved to 1672, 709 at time 1607967142856
Moved to 1671, 708 at time 1607967142879
Moved to 1670, 707 at time 1607967142931
Moved to 1669, 706 at time 1607967142949
Moved to 1668, 705 at time 1607967143007
Moved to 1667, 704 at time 1607967143029
Moved to 1666, 703 at time 1607967143092
Moved to 1665, 702 at time 1607967143111
Moved to 1664, 701 at time 1607967143164
Moved to 1663, 700 at time 1607967143189
Moved to 1662, 699 at time 1607967143244
Moved to 1661, 698 at time 1607967143278
Moved to 1660, 697 at time 1607967143325
Moved to 1659, 696 at time 1607967143336
