Moved to 2470, 754 at time 1607968070271
Moved to 2469, 753 at time 1607968143887
Moved to 2468, 752 at time 1607968144139
Moved to 2467, 751 at time 1607968144312
Moved to 2466, 750 at time 1607968144487
Moved to 2465, 749 at time 1607968144730
Moved to 2464, 748 at time 1607968144989
Moved to 2463, 747 at time 1607968145116
Moved to 2462, 746 at time 1607968145328
Moved to 2461, 745 at time 1607968145564
Moved to 2460, 744 at time 1607968145621
Moved to 2459, 743 at time 1607968145849
Moved to 2458, 742 at time 1607968146061
Moved to 2457, 741 at time 1607968146311
Moved to 2456, 740 at time 1607968146727
Moved to 2455, 739 at time 1607968146878
Moved to 2454, 738 at time 1607968147004
Moved to 2453, 737 at time 1607968147085
Moved to 2452, 736 at time 1607968147245
Moved to 2451, 735 at time 1607968147366
Moved to 2450, 734 at time 1607968147544
Moved to 2449, 733 at time 1607968147658
Moved to 2448, 732 at time 1607968147779
Moved to 2447, 733 at time 1607968147928
Moved to 2446, 732 at time 1607968148038
Moved to 2445, 731 at time 1607968148136
Moved to 2444, 730 at time 1607968148291
Moved to 2443, 729 at time 1607968148477
Moved to 2442, 728 at time 1607968148780
Moved to 2441, 727 at time 1607968148865
Moved to 2440, 726 at time 1607968149085
Moved to 2439, 725 at time 1607968149187
Moved to 2438, 724 at time 1607968149341
Moved to 2437, 723 at time 1607968149553
Moved to 2436, 722 at time 1607968149716
Moved to 2435, 721 at time 1607968149925
Moved to 2434, 720 at time 1607968150072
Moved to 2433, 719 at time 1607968150120
Moved to 2432, 718 at time 1607968150215
Moved to 2431, 717 at time 1607968150385
Moved to 2430, 716 at time 1607968150443
Moved to 2429, 715 at time 1607968150480
Moved to 2428, 714 at time 1607968150662
Moved to 2427, 715 at time 1607968150842
Moved to 2426, 716 at time 1607968151018
Moved to 2425, 715 at time 1607968151211
Moved to 2424, 714 at time 1607968151374
Moved to 2423, 713 at time 1607968151548
Moved to 2422, 714 at time 1607968151709
Moved to 2421, 713 at time 1607968151803
Moved to 2420, 712 at time 1607968151926
Moved to 2419, 713 at time 1607968152116
Moved to 2418, 714 at time 1607968152275
Moved to 2417, 713 at time 1607968152450
Moved to 2416, 714 at time 1607968152599
Moved to 2415, 715 at time 1607968152794
Moved to 2414, 716 at time 1607968152916
Moved to 2413, 715 at time 1607968152959
Moved to 2412, 714 at time 1607968153076
Moved to 2411, 713 at time 1607968153126
Moved to 2410, 714 at time 1607968153250
Moved to 2409, 713 at time 1607968153297
Moved to 2408, 714 at time 1607968153332
Moved to 2407, 713 at time 1607968153384
Moved to 2406, 714 at time 1607968153600
Moved to 2405, 713 at time 1607968153636
Moved to 2406, 712 at time 1607968153864
Moved to 2405, 711 at time 1607968153961
Moved to 2404, 710 at time 1607968154076
Moved to 2403, 709 at time 1607968263657
Moved to 2402, 710 at time 1607968263784
Moved to 2401, 709 at time 1607968263878
Moved to 2400, 710 at time 1607968264056
Moved to 2399, 711 at time 1607968264172
Moved to 2398, 710 at time 1607968264244
Moved to 2397, 711 at time 1607968264353
Moved to 2396, 710 at time 1607968264434
Moved to 2395, 709 at time 1607968264560
Moved to 2394, 710 at time 1607968264668
Moved to 2395, 709 at time 1607968264787
Moved to 2396, 708 at time 1607968264886
Moved to 2395, 707 at time 1607968265022
Moved to 2396, 706 at time 1607968265106
Moved to 2395, 705 at time 1607968265222
Moved to 2394, 706 at time 1607968265338
Moved to 2395, 705 at time 1607968265458
Moved to 2394, 704 at time 1607968265550
Moved to 2393, 705 at time 1607968265665
Moved to 2392, 704 at time 1607968265758
Moved to 2393, 703 at time 1607968265888
Moved to 2392, 702 at time 1607968265983
Moved to 2391, 703 at time 1607968266111
Moved to 2392, 702 at time 1607968266337
Moved to 2391, 703 at time 1607968266457
Moved to 2390, 704 at time 1607968266534
Moved to 2389, 705 at time 1607968266617
Moved to 2388, 704 at time 1607968266701
Moved to 2389, 703 at time 1607968266785
Moved to 2390, 702 at time 1607968266884
Moved to 2389, 701 at time 1607968266928
Moved to 2390, 700 at time 1607968267037
Moved to 2389, 701 at time 1607968267146
Moved to 2388, 700 at time 1607968267213
Attacked Unit@4846a59dat position 2119, 444 at time 1607968267295
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968267886
Attacked Unit@4846a59dat position 2119, 444 at time 1607968269038
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968269625
Attacked Unit@4846a59dat position 2119, 444 at time 1607968270737
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968271307
Attacked Unit@4846a59dat position 2119, 444 at time 1607968272470
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968273095
Attacked Unit@4846a59dat position 2119, 444 at time 1607968274294
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968274763
Attacked Unit@4846a59dat position 2119, 444 at time 1607968275947
Got attacked at 2388, 700 by Unit@4846a59d at time 1607968276435
Attacked Unit@4846a59dat position 2119, 444 at time 1607968277711
Moved to 2387, 701 at time 1607968277787
Moved to 2386, 700 at time 1607968277909
Moved to 2385, 699 at time 1607968278001
Moved to 2384, 698 at time 1607968278074
Moved to 2385, 697 at time 1607968278141
Moved to 2384, 696 at time 1607968278223
Attacked Unit@2e23a5e3at position 2130, 427 at time 1607968279429
Got attacked at 2384, 696 by Unit@2e23a5e3 at time 1607968279654
Died at 2384, 696 at time 1607968279781
