Attacked Unit@381d7b3at position 349, 687 at time 1607905322025
Attacked Unit@46eca098at position 476, 629 at time 1607905465088
Got attacked at 315, 727 by Unit@6a7dbf8c at time 1607905465122
Got attacked at 315, 727 by Unit@106b4657 at time 1607905465138
Got attacked at 315, 727 by Unit@6b927e57 at time 1607905465253
Got attacked at 315, 727 by Unit@197826aa at time 1607905466721
Got attacked at 315, 727 by Unit@29305266 at time 1607905466732
Got attacked at 315, 727 by Unit@2c142cf1 at time 1607905466748
Got attacked at 315, 727 by Unit@21f06dcf at time 1607905466753
Got attacked at 315, 727 by Unit@6c5df263 at time 1607905466754
Attacked Unit@46eca098at position 476, 629 at time 1607905466817
Died at 315, 727 at time 1607905466817
Got attacked at 315, 727 by Unit@6a7dbf8c at time 1607905466840
Got attacked at 315, 727 by Unit@3cacece0 at time 1607905466934
Got attacked at 315, 727 by Unit@4fd7c514 at time 1607905466945
