Moved to 875, 537 at time 1607870162142
Moved to 874, 536 at time 1607870162225
Moved to 873, 535 at time 1607870162294
Moved to 872, 534 at time 1607870162325
Moved to 871, 533 at time 1607870162337
Moved to 870, 532 at time 1607870162401
Moved to 869, 531 at time 1607870162421
Moved to 868, 530 at time 1607870162433
Moved to 867, 529 at time 1607870162446
Moved to 866, 528 at time 1607870162459
Moved to 865, 527 at time 1607870162493
Moved to 864, 526 at time 1607870162510
Moved to 863, 525 at time 1607870162526
Moved to 862, 524 at time 1607870162567
Moved to 861, 523 at time 1607870162581
Moved to 860, 522 at time 1607870162595
Moved to 859, 521 at time 1607870162607
Moved to 858, 520 at time 1607870162619
Moved to 857, 519 at time 1607870162636
Moved to 856, 518 at time 1607870162652
Moved to 855, 517 at time 1607870162684
Moved to 854, 516 at time 1607870162695
Moved to 853, 515 at time 1607870162714
Moved to 852, 514 at time 1607870162726
Moved to 851, 513 at time 1607870162737
Moved to 850, 512 at time 1607870162755
Moved to 849, 511 at time 1607870162794
Moved to 848, 510 at time 1607870162830
Moved to 847, 509 at time 1607870162881
Moved to 846, 508 at time 1607870162999
Moved to 845, 507 at time 1607870163060
Moved to 844, 506 at time 1607870163152
Moved to 843, 505 at time 1607870163216
Moved to 842, 504 at time 1607870163313
Moved to 841, 503 at time 1607870163368
Moved to 840, 502 at time 1607870163404
Moved to 839, 501 at time 1607870163419
Moved to 838, 500 at time 1607870163433
Moved to 837, 499 at time 1607870163448
Moved to 836, 498 at time 1607870163461
Moved to 835, 497 at time 1607870163479
Moved to 834, 496 at time 1607870163494
Moved to 833, 495 at time 1607870163519
Moved to 832, 494 at time 1607870163535
Moved to 831, 493 at time 1607870163560
Moved to 830, 492 at time 1607870163600
Moved to 829, 491 at time 1607870163631
Moved to 828, 490 at time 1607870163691
Moved to 827, 489 at time 1607870163751
Moved to 826, 488 at time 1607870163770
Moved to 825, 487 at time 1607870163799
Moved to 824, 486 at time 1607870163872
Moved to 823, 485 at time 1607870163902
Moved to 822, 484 at time 1607870163953
Moved to 821, 483 at time 1607870164039
Moved to 820, 482 at time 1607870164099
Moved to 819, 481 at time 1607870164118
Moved to 818, 480 at time 1607870164197
Moved to 817, 479 at time 1607870164211
Moved to 816, 478 at time 1607870164281
Moved to 815, 477 at time 1607870164316
Moved to 814, 476 at time 1607870164365
Moved to 813, 475 at time 1607870164422
Moved to 812, 474 at time 1607870164483
Moved to 811, 473 at time 1607870164521
Moved to 810, 472 at time 1607870164538
Moved to 809, 471 at time 1607870164552
Moved to 808, 470 at time 1607870164569
Moved to 807, 469 at time 1607870164580
Moved to 806, 468 at time 1607870164602
Moved to 805, 467 at time 1607870164619
Moved to 804, 466 at time 1607870164636
Moved to 803, 465 at time 1607870164673
Moved to 802, 464 at time 1607870164697
Moved to 801, 463 at time 1607870164734
Moved to 800, 462 at time 1607870164755
Moved to 799, 461 at time 1607870164783
Moved to 798, 460 at time 1607870164798
Moved to 797, 459 at time 1607870164810
Moved to 796, 458 at time 1607870164825
Moved to 795, 457 at time 1607870164852
Moved to 794, 456 at time 1607870164874
Moved to 793, 455 at time 1607870164885
Moved to 792, 454 at time 1607870164911
Moved to 791, 453 at time 1607870164932
Moved to 790, 452 at time 1607870164944
Moved to 789, 451 at time 1607870164981
Moved to 788, 450 at time 1607870165001
Moved to 787, 449 at time 1607870165021
Moved to 786, 448 at time 1607870165051
Moved to 785, 447 at time 1607870165115
Moved to 784, 446 at time 1607870165159
Moved to 783, 445 at time 1607870165201
Moved to 782, 444 at time 1607870165262
Moved to 781, 443 at time 1607870165281
Moved to 780, 442 at time 1607870165322
Moved to 779, 441 at time 1607870165342
Moved to 778, 440 at time 1607870165396
Moved to 777, 439 at time 1607870165426
Moved to 776, 438 at time 1607870165470
Moved to 775, 437 at time 1607870165481
Moved to 774, 436 at time 1607870165560
Moved to 773, 435 at time 1607870165577
Moved to 772, 434 at time 1607870165635
Moved to 771, 433 at time 1607870165646
Moved to 770, 432 at time 1607870165664
Moved to 769, 431 at time 1607870165682
Moved to 768, 430 at time 1607870165697
Moved to 767, 429 at time 1607870165719
Moved to 766, 428 at time 1607870165740
Moved to 765, 427 at time 1607870165760
Moved to 764, 426 at time 1607870165786
Moved to 763, 425 at time 1607870165824
Moved to 762, 424 at time 1607870165871
Moved to 761, 423 at time 1607870165893
Moved to 760, 422 at time 1607870165912
Moved to 759, 421 at time 1607870165945
Moved to 758, 420 at time 1607870165995
Moved to 757, 419 at time 1607870166023
Moved to 756, 418 at time 1607870166070
Moved to 755, 417 at time 1607870166118
Moved to 754, 416 at time 1607870166132
Moved to 753, 415 at time 1607870166167
Moved to 752, 414 at time 1607870166197
Moved to 751, 413 at time 1607870166217
Moved to 750, 412 at time 1607870166277
Moved to 749, 411 at time 1607870166310
Moved to 748, 410 at time 1607870166356
Moved to 747, 409 at time 1607870166381
Moved to 746, 408 at time 1607870166419
Moved to 745, 407 at time 1607870166439
Moved to 744, 406 at time 1607870166474
Moved to 743, 405 at time 1607870166506
Moved to 742, 404 at time 1607870166592
Moved to 741, 403 at time 1607870166603
Moved to 740, 402 at time 1607870166624
Moved to 739, 401 at time 1607870166728
Moved to 738, 400 at time 1607870166846
Moved to 737, 399 at time 1607870166879
Moved to 736, 398 at time 1607870166904
Moved to 735, 397 at time 1607870166939
Moved to 734, 396 at time 1607870167009
Moved to 733, 395 at time 1607870167041
Moved to 732, 394 at time 1607870167115
Moved to 731, 393 at time 1607870167178
Moved to 730, 392 at time 1607870167216
Moved to 729, 391 at time 1607870167268
Moved to 728, 390 at time 1607870167306
Moved to 727, 389 at time 1607870167359
Moved to 726, 388 at time 1607870167406
Moved to 725, 387 at time 1607870167473
Moved to 724, 386 at time 1607870167511
Moved to 723, 385 at time 1607870167590
Moved to 722, 384 at time 1607870167649
Moved to 721, 383 at time 1607870167725
Moved to 720, 382 at time 1607870167769
Moved to 719, 381 at time 1607870167840
Moved to 718, 380 at time 1607870167875
Moved to 717, 379 at time 1607870167939
Moved to 716, 378 at time 1607870167981
Moved to 715, 377 at time 1607870168073
Moved to 714, 376 at time 1607870168099
Moved to 713, 375 at time 1607870168157
Moved to 712, 374 at time 1607870168190
Moved to 711, 373 at time 1607870168267
Moved to 710, 372 at time 1607870168286
Moved to 709, 371 at time 1607870168376
Moved to 708, 370 at time 1607870168393
Moved to 707, 369 at time 1607870168475
Moved to 706, 368 at time 1607870168493
Moved to 705, 367 at time 1607870168567
Moved to 704, 366 at time 1607870168595
Moved to 703, 365 at time 1607870168659
Moved to 702, 364 at time 1607870168718
Moved to 701, 363 at time 1607870168736
Moved to 700, 362 at time 1607870168747
Moved to 699, 361 at time 1607870168765
Moved to 698, 360 at time 1607870168779
Moved to 697, 359 at time 1607870168793
Moved to 696, 358 at time 1607870168813
Moved to 695, 357 at time 1607870168828
Moved to 694, 356 at time 1607870168841
Moved to 693, 355 at time 1607870168854
Moved to 692, 354 at time 1607870168865
Moved to 691, 353 at time 1607870168892
Moved to 690, 352 at time 1607870168946
Moved to 689, 351 at time 1607870168985
Moved to 688, 350 at time 1607870169048
Moved to 687, 349 at time 1607870169070
Moved to 686, 348 at time 1607870169092
Moved to 685, 347 at time 1607870169149
Moved to 684, 346 at time 1607870169161
Moved to 683, 345 at time 1607870169235
Moved to 682, 344 at time 1607870169253
Moved to 681, 343 at time 1607870169264
Moved to 680, 342 at time 1607870169281
Moved to 679, 341 at time 1607870169297
Moved to 678, 340 at time 1607870169338
Moved to 677, 339 at time 1607870169357
Moved to 676, 338 at time 1607870169369
Moved to 675, 337 at time 1607870169427
Moved to 674, 336 at time 1607870169471
Moved to 673, 335 at time 1607870169524
Moved to 672, 334 at time 1607870169582
Moved to 671, 333 at time 1607870169681
Moved to 670, 332 at time 1607870169720
Moved to 669, 331 at time 1607870169784
Moved to 668, 330 at time 1607870169811
Moved to 667, 329 at time 1607870169879
Moved to 666, 328 at time 1607870169906
Moved to 665, 327 at time 1607870169961
Moved to 664, 326 at time 1607870169982
Moved to 663, 325 at time 1607870170048
Moved to 662, 324 at time 1607870170136
Moved to 661, 323 at time 1607870170224
Moved to 660, 322 at time 1607870170409
Moved to 659, 321 at time 1607870170543
Moved to 658, 320 at time 1607870170654
Moved to 657, 319 at time 1607870170781
Moved to 656, 318 at time 1607870170868
Moved to 655, 317 at time 1607870170969
Moved to 654, 316 at time 1607870171038
Moved to 653, 315 at time 1607870171154
Moved to 652, 314 at time 1607870171265
Moved to 651, 313 at time 1607870171319
Moved to 650, 312 at time 1607870171382
Moved to 649, 311 at time 1607870171439
Moved to 648, 310 at time 1607870171487
Moved to 647, 309 at time 1607870171591
Moved to 646, 308 at time 1607870171639
Moved to 645, 307 at time 1607870171684
Moved to 644, 306 at time 1607870171745
Moved to 643, 305 at time 1607870171786
Moved to 642, 304 at time 1607870171824
Moved to 641, 303 at time 1607870171871
Moved to 640, 302 at time 1607870171893
Moved to 639, 301 at time 1607870171904
Moved to 638, 300 at time 1607870171915
Moved to 637, 299 at time 1607870171939
Moved to 636, 298 at time 1607870171952
Moved to 635, 297 at time 1607870171964
Moved to 634, 296 at time 1607870172014
Moved to 633, 295 at time 1607870172035
Moved to 632, 294 at time 1607870172105
Moved to 631, 293 at time 1607870172145
Moved to 630, 292 at time 1607870172277
Moved to 629, 291 at time 1607870172304
Moved to 628, 290 at time 1607870172378
Moved to 627, 289 at time 1607870172389
Moved to 626, 288 at time 1607870172479
Moved to 625, 287 at time 1607870172568
Moved to 624, 286 at time 1607870172670
Moved to 623, 285 at time 1607870172692
Moved to 622, 284 at time 1607870172770
Moved to 621, 283 at time 1607870172852
Moved to 620, 282 at time 1607870172951
Moved to 619, 281 at time 1607870173033
Moved to 618, 280 at time 1607870173132
Moved to 617, 279 at time 1607870173155
