Moved to 1443, 4589 at time 1607969349745
Moved to 1442, 4588 at time 1607969349796
Moved to 1441, 4587 at time 1607969394709
Moved to 1440, 4586 at time 1607969394722
Moved to 1439, 4585 at time 1607969394818
Moved to 1438, 4584 at time 1607969394839
Moved to 1437, 4583 at time 1607969394920
Moved to 1436, 4582 at time 1607969395005
Moved to 1435, 4581 at time 1607969395103
Moved to 1434, 4580 at time 1607969395275
Moved to 1433, 4579 at time 1607969395598
Moved to 1432, 4578 at time 1607969395782
Moved to 1431, 4577 at time 1607969396075
Moved to 1430, 4576 at time 1607969396091
Moved to 1429, 4575 at time 1607969396368
Moved to 1428, 4574 at time 1607969396410
Moved to 1427, 4573 at time 1607969396772
Moved to 1426, 4572 at time 1607969396809
Moved to 1425, 4571 at time 1607969396922
Moved to 1424, 4570 at time 1607969396935
Moved to 1423, 4569 at time 1607969397026
Moved to 1422, 4568 at time 1607969397141
Moved to 1421, 4567 at time 1607969397271
Moved to 1420, 4566 at time 1607969397419
Moved to 1419, 4565 at time 1607969397437
Moved to 1418, 4564 at time 1607969397786
Moved to 1417, 4563 at time 1607969398040
Moved to 1416, 4562 at time 1607969398304
Moved to 1415, 4561 at time 1607969398327
Moved to 1414, 4560 at time 1607969398607
Moved to 1413, 4559 at time 1607969398721
Moved to 1412, 4558 at time 1607969398933
Moved to 1411, 4557 at time 1607969398955
Moved to 1410, 4556 at time 1607969399158
Moved to 1409, 4555 at time 1607969399241
Moved to 1408, 4554 at time 1607969399303
Moved to 1407, 4553 at time 1607969399317
Moved to 1406, 4552 at time 1607969399367
Moved to 1405, 4551 at time 1607969399381
Moved to 1404, 4550 at time 1607969399451
Moved to 1403, 4549 at time 1607969399471
Moved to 1402, 4548 at time 1607969399533
Moved to 1401, 4547 at time 1607969399603
Moved to 1400, 4546 at time 1607969399664
Moved to 1399, 4545 at time 1607969399724
Moved to 1398, 4544 at time 1607969399816
Moved to 1397, 4543 at time 1607969399917
Moved to 1396, 4542 at time 1607969400050
Moved to 1395, 4541 at time 1607969400097
Moved to 1394, 4540 at time 1607969400248
Moved to 1393, 4539 at time 1607969400305
Moved to 1392, 4538 at time 1607969400336
Moved to 1391, 4537 at time 1607969400372
Moved to 1390, 4536 at time 1607969400406
Moved to 1389, 4535 at time 1607969400455
Moved to 1388, 4534 at time 1607969400522
Moved to 1387, 4533 at time 1607969400587
Moved to 1386, 4532 at time 1607969400606
Moved to 1385, 4531 at time 1607969400657
Moved to 1384, 4530 at time 1607969400675
Moved to 1383, 4529 at time 1607969400717
Moved to 1382, 4528 at time 1607969400735
Moved to 1381, 4527 at time 1607969400769
Moved to 1380, 4526 at time 1607969400791
