Attacked Unit@4009d31aat position 618, 1427 at time 1607971102113
Got attacked at 415, 1541 by Unit@462820e5 at time 1607971139215
Attacked Unit@462820e5at position 612, 1398 at time 1607971139236
Attacked Unit@462820e5at position 612, 1398 at time 1607971140949
Moved to 416, 1540 at time 1607971141019
Moved to 417, 1539 at time 1607971141053
Moved to 418, 1538 at time 1607971141087
Moved to 419, 1537 at time 1607971141121
Moved to 420, 1536 at time 1607971141155
Moved to 421, 1535 at time 1607971141192
Moved to 422, 1534 at time 1607971141227
Moved to 423, 1533 at time 1607971141261
Moved to 424, 1532 at time 1607971141297
Moved to 425, 1531 at time 1607971141332
Moved to 426, 1530 at time 1607971141366
Moved to 427, 1529 at time 1607971141400
Moved to 428, 1528 at time 1607971141467
Moved to 429, 1527 at time 1607971141501
Moved to 430, 1526 at time 1607971141535
Moved to 431, 1525 at time 1607971141569
Moved to 432, 1524 at time 1607971141603
Moved to 433, 1523 at time 1607971141637
Moved to 434, 1522 at time 1607971141671
Moved to 435, 1521 at time 1607971141705
Moved to 436, 1520 at time 1607971141739
Moved to 437, 1519 at time 1607971141774
Moved to 438, 1518 at time 1607971141811
Moved to 439, 1517 at time 1607971141847
Moved to 440, 1516 at time 1607971141882
Moved to 441, 1515 at time 1607971141917
Moved to 442, 1514 at time 1607971141951
Moved to 443, 1513 at time 1607971141985
Moved to 444, 1512 at time 1607971142054
Moved to 445, 1511 at time 1607971142089
Moved to 446, 1510 at time 1607971142124
Moved to 447, 1509 at time 1607971142158
Moved to 448, 1508 at time 1607971142192
Moved to 449, 1507 at time 1607971142226
Moved to 450, 1506 at time 1607971142261
Moved to 451, 1505 at time 1607971142296
Moved to 452, 1504 at time 1607971142331
Moved to 453, 1503 at time 1607971142366
Moved to 454, 1502 at time 1607971142401
Moved to 455, 1501 at time 1607971142435
Moved to 456, 1500 at time 1607971142469
Moved to 457, 1499 at time 1607971142503
Moved to 458, 1498 at time 1607971142570
Moved to 459, 1497 at time 1607971142604
Moved to 460, 1496 at time 1607971142671
Moved to 461, 1495 at time 1607971142705
Moved to 462, 1494 at time 1607971142739
Moved to 463, 1493 at time 1607971142807
Moved to 464, 1492 at time 1607971142842
Moved to 465, 1459 at time 1607971145287
Attacked Unit@57c884c3at position 753, 1212 at time 1607971146012
Moved to 485, 1458 at time 1607971147153
Moved to 486, 1457 at time 1607971147187
Moved to 487, 1456 at time 1607971147221
Moved to 488, 1455 at time 1607971147255
Attacked Unit@41a2f9f5at position 758, 1191 at time 1607971147703
Moved to 490, 1454 at time 1607971149339
Moved to 491, 1453 at time 1607971149373
Moved to 492, 1452 at time 1607971149407
Moved to 493, 1451 at time 1607971149441
Moved to 494, 1450 at time 1607971149475
Moved to 495, 1449 at time 1607971149511
Moved to 496, 1448 at time 1607971149545
Moved to 497, 1447 at time 1607971149580
Moved to 498, 1445 at time 1607971149648
Moved to 499, 1444 at time 1607971149682
Moved to 500, 1443 at time 1607971149717
Moved to 501, 1442 at time 1607971149752
Moved to 502, 1441 at time 1607971149787
Moved to 503, 1440 at time 1607971149854
Moved to 504, 1439 at time 1607971149888
Moved to 505, 1438 at time 1607971149923
Moved to 506, 1437 at time 1607971149958
Moved to 507, 1436 at time 1607971149992
Moved to 508, 1435 at time 1607971150028
Moved to 509, 1434 at time 1607971150062
Moved to 510, 1432 at time 1607971150131
Moved to 511, 1431 at time 1607971150165
Moved to 512, 1430 at time 1607971150199
Moved to 513, 1429 at time 1607971150233
Moved to 514, 1428 at time 1607971150267
Moved to 515, 1427 at time 1607971150302
Moved to 516, 1426 at time 1607971150336
Moved to 517, 1424 at time 1607971150404
Moved to 518, 1423 at time 1607971150476
Moved to 519, 1422 at time 1607971150511
Moved to 520, 1421 at time 1607971150545
Moved to 521, 1420 at time 1607971150580
Moved to 522, 1419 at time 1607971150615
Moved to 523, 1418 at time 1607971150649
Moved to 524, 1417 at time 1607971150685
Moved to 525, 1416 at time 1607971150721
Moved to 526, 1415 at time 1607971150755
Moved to 527, 1414 at time 1607971150791
Moved to 528, 1412 at time 1607971150861
Moved to 529, 1411 at time 1607971150895
Moved to 530, 1410 at time 1607971150930
Moved to 531, 1409 at time 1607971150965
Moved to 532, 1408 at time 1607971150999
Moved to 533, 1407 at time 1607971151034
Moved to 534, 1406 at time 1607971151069
Moved to 535, 1405 at time 1607971151104
Moved to 536, 1403 at time 1607971151172
Moved to 537, 1402 at time 1607971151207
Moved to 538, 1401 at time 1607971151242
Moved to 540, 1400 at time 1607971151313
Moved to 541, 1399 at time 1607971151347
Moved to 542, 1398 at time 1607971151381
Moved to 543, 1397 at time 1607971151416
