Moved to 1601, 401 at time 1607968070153
Moved to 1600, 400 at time 1607968070339
Moved to 1599, 399 at time 1607968143802
Moved to 1598, 398 at time 1607968143944
Moved to 1597, 397 at time 1607968144121
Moved to 1596, 396 at time 1607968144140
Moved to 1595, 395 at time 1607968144239
Moved to 1594, 394 at time 1607968144259
Moved to 1593, 393 at time 1607968144387
Moved to 1592, 392 at time 1607968144423
Moved to 1591, 391 at time 1607968144588
Moved to 1590, 390 at time 1607968144635
Moved to 1589, 389 at time 1607968144842
Moved to 1588, 388 at time 1607968145051
Moved to 1587, 387 at time 1607968145077
Moved to 1586, 386 at time 1607968145221
Moved to 1585, 385 at time 1607968145448
Moved to 1584, 384 at time 1607968145772
Moved to 1583, 383 at time 1607968145962
Moved to 1582, 382 at time 1607968146198
Moved to 1581, 381 at time 1607968146530
Moved to 1580, 380 at time 1607968146550
Moved to 1579, 379 at time 1607968146815
Moved to 1578, 378 at time 1607968146830
Moved to 1577, 377 at time 1607968146946
Moved to 1576, 376 at time 1607968146957
Moved to 1575, 375 at time 1607968147046
Moved to 1574, 374 at time 1607968147061
Moved to 1573, 373 at time 1607968147172
Moved to 1572, 372 at time 1607968147188
Moved to 1571, 371 at time 1607968147301
Moved to 1570, 370 at time 1607968147459
Moved to 1569, 369 at time 1607968147614
Moved to 1568, 368 at time 1607968147727
Moved to 1567, 367 at time 1607968147740
Moved to 1566, 366 at time 1607968147751
Moved to 1565, 365 at time 1607968147762
Moved to 1564, 364 at time 1607968147823
Moved to 1563, 363 at time 1607968147862
Moved to 1562, 362 at time 1607968147952
Moved to 1561, 361 at time 1607968148030
Moved to 1560, 360 at time 1607968148162
Moved to 1559, 359 at time 1607968148290
Moved to 1558, 358 at time 1607968148499
Moved to 1557, 357 at time 1607968148613
Moved to 1556, 356 at time 1607968148752
Moved to 1555, 355 at time 1607968148901
Moved to 1554, 354 at time 1607968149226
Moved to 1553, 353 at time 1607968149237
Moved to 1552, 352 at time 1607968149315
Moved to 1551, 351 at time 1607968149419
Moved to 1550, 350 at time 1607968149499
Moved to 1549, 349 at time 1607968149607
Moved to 1548, 348 at time 1607968149691
Got attacked at 1548, 348 by Unit@73ba8cb0 at time 1607968149787
Moved to 1547, 347 at time 1607968149807
Moved to 1546, 346 at time 1607968149866
Moved to 1545, 345 at time 1607968149977
Moved to 1544, 344 at time 1607968150040
Moved to 1543, 343 at time 1607968150165
Moved to 1542, 342 at time 1607968150207
Moved to 1541, 341 at time 1607968150265
Moved to 1540, 340 at time 1607968150333
