Attacked Unit@56c3f013at position 555, 1485 at time 1607970695576
Got attacked at 454, 1508 by Unit@56c3f013 at time 1607970695584
Attacked Unit@69134627at position 618, 1433 at time 1607970715422
Attacked Unit@460210dbat position 577, 1412 at time 1607970717111
Got attacked at 454, 1508 by Unit@460210db at time 1607970717113
Got attacked at 454, 1508 by Unit@56c3f013 at time 1607970718912
Attacked Unit@69134627at position 618, 1433 at time 1607970718915
Got attacked at 454, 1508 by Unit@460210db at time 1607970718927
Got attacked at 454, 1508 by Unit@2e7882ad at time 1607970718935
Moved to 455, 1507 at time 1607970720561
Moved to 456, 1506 at time 1607970720595
Moved to 458, 1505 at time 1607970720667
Moved to 459, 1504 at time 1607970720702
Moved to 460, 1503 at time 1607970720769
Moved to 461, 1502 at time 1607970720803
Moved to 462, 1501 at time 1607970720871
Moved to 463, 1500 at time 1607970720907
Moved to 464, 1499 at time 1607970720941
Moved to 465, 1498 at time 1607970720975
Moved to 466, 1497 at time 1607970721010
Moved to 467, 1496 at time 1607970721044
Moved to 468, 1495 at time 1607970721078
Moved to 469, 1494 at time 1607970721113
Moved to 470, 1493 at time 1607970721147
Moved to 471, 1492 at time 1607970721182
Moved to 472, 1491 at time 1607970721252
Moved to 473, 1490 at time 1607970721288
Moved to 474, 1489 at time 1607970721323
Moved to 475, 1488 at time 1607970721358
Moved to 476, 1487 at time 1607970721393
Moved to 477, 1486 at time 1607970721427
Moved to 478, 1485 at time 1607970721462
Moved to 479, 1484 at time 1607970721498
Moved to 480, 1483 at time 1607970721532
Moved to 481, 1482 at time 1607970721567
Moved to 482, 1481 at time 1607970721601
Moved to 483, 1480 at time 1607970721638
Moved to 484, 1479 at time 1607970721673
Moved to 485, 1478 at time 1607970721710
Moved to 486, 1477 at time 1607970721779
Moved to 487, 1476 at time 1607970721816
Moved to 488, 1475 at time 1607970721853
Moved to 489, 1474 at time 1607970721889
Moved to 490, 1473 at time 1607970721925
Moved to 491, 1472 at time 1607970721960
Moved to 492, 1471 at time 1607970722028
Moved to 493, 1470 at time 1607970722065
Moved to 494, 1469 at time 1607970722101
Moved to 495, 1468 at time 1607970722135
Moved to 496, 1467 at time 1607970722170
Moved to 497, 1466 at time 1607970722204
Moved to 498, 1465 at time 1607970722240
Moved to 499, 1464 at time 1607970722276
Moved to 500, 1463 at time 1607970722311
Moved to 501, 1462 at time 1607970722349
Moved to 502, 1461 at time 1607970722384
Moved to 503, 1460 at time 1607970722420
Moved to 504, 1459 at time 1607970722457
Moved to 505, 1458 at time 1607970722526
Moved to 506, 1457 at time 1607970722561
Moved to 507, 1456 at time 1607970722597
Moved to 508, 1455 at time 1607970722636
Moved to 509, 1454 at time 1607970722671
Moved to 510, 1453 at time 1607970722708
Moved to 511, 1452 at time 1607970722745
Moved to 512, 1451 at time 1607970722781
Moved to 513, 1450 at time 1607970722815
Moved to 514, 1449 at time 1607970722851
Moved to 515, 1448 at time 1607970722887
Moved to 516, 1447 at time 1607970722923
Moved to 517, 1446 at time 1607970722959
Moved to 518, 1445 at time 1607970722995
Moved to 519, 1444 at time 1607970723030
Moved to 520, 1443 at time 1607970723067
Moved to 521, 1442 at time 1607970723103
Moved to 522, 1441 at time 1607970723138
Moved to 523, 1440 at time 1607970723172
Moved to 524, 1439 at time 1607970723211
Moved to 525, 1438 at time 1607970723247
Moved to 526, 1437 at time 1607970723283
Moved to 527, 1436 at time 1607970723319
Moved to 528, 1435 at time 1607970723353
Moved to 529, 1434 at time 1607970723391
