Moved to 342, 544 at time 1607870162146
Moved to 341, 543 at time 1607870162226
Moved to 340, 542 at time 1607870162295
Moved to 339, 541 at time 1607870162325
Moved to 338, 540 at time 1607870162406
Moved to 337, 539 at time 1607870162422
Moved to 336, 538 at time 1607870162434
Moved to 335, 537 at time 1607870162447
Moved to 334, 536 at time 1607870162459
Moved to 333, 535 at time 1607870162481
Moved to 332, 534 at time 1607870162502
Moved to 331, 533 at time 1607870162513
Moved to 330, 532 at time 1607870162526
Moved to 329, 531 at time 1607870162567
Moved to 328, 530 at time 1607870162581
Moved to 327, 529 at time 1607870162595
Moved to 326, 528 at time 1607870162607
Moved to 325, 527 at time 1607870162625
Moved to 324, 526 at time 1607870162674
Moved to 323, 525 at time 1607870162688
Moved to 322, 524 at time 1607870162700
Moved to 321, 523 at time 1607870162724
Moved to 320, 522 at time 1607870162740
Moved to 319, 521 at time 1607870162755
Moved to 318, 520 at time 1607870162794
Moved to 317, 519 at time 1607870162830
Moved to 316, 518 at time 1607870162882
Moved to 315, 517 at time 1607870162984
Moved to 314, 516 at time 1607870162999
Moved to 313, 515 at time 1607870163054
Moved to 312, 514 at time 1607870163070
Moved to 311, 513 at time 1607870163152
Moved to 310, 512 at time 1607870163214
Moved to 309, 511 at time 1607870163236
Moved to 308, 510 at time 1607870163304
Moved to 307, 509 at time 1607870163381
Moved to 306, 508 at time 1607870163424
Moved to 305, 507 at time 1607870163444
Moved to 304, 506 at time 1607870163479
Moved to 303, 505 at time 1607870163494
Moved to 302, 504 at time 1607870163518
Moved to 301, 503 at time 1607870163535
Moved to 300, 502 at time 1607870163551
Moved to 299, 501 at time 1607870163576
Moved to 298, 500 at time 1607870163617
Moved to 297, 499 at time 1607870163646
Moved to 296, 498 at time 1607870163661
Moved to 295, 497 at time 1607870163724
Moved to 294, 496 at time 1607870163744
Moved to 293, 495 at time 1607870163766
Moved to 292, 494 at time 1607870163780
Moved to 291, 493 at time 1607870163828
Moved to 290, 492 at time 1607870163884
Moved to 289, 491 at time 1607870163942
Moved to 288, 490 at time 1607870163978
Moved to 287, 489 at time 1607870164018
Moved to 286, 488 at time 1607870164043
Moved to 285, 487 at time 1607870164068
Moved to 284, 486 at time 1607870164094
Moved to 283, 485 at time 1607870164118
Moved to 282, 484 at time 1607870164198
Moved to 281, 483 at time 1607870164210
Moved to 280, 482 at time 1607870164281
Moved to 279, 481 at time 1607870164317
Moved to 278, 480 at time 1607870164425
Moved to 277, 479 at time 1607870164482
Moved to 276, 478 at time 1607870164522
Moved to 275, 477 at time 1607870164536
Moved to 274, 476 at time 1607870164547
Moved to 273, 475 at time 1607870164563
Moved to 272, 474 at time 1607870164576
Moved to 271, 473 at time 1607870164593
Moved to 270, 472 at time 1607870164629
Moved to 269, 471 at time 1607870164644
Moved to 268, 470 at time 1607870164679
Moved to 267, 469 at time 1607870164695
Moved to 266, 468 at time 1607870164712
Moved to 265, 467 at time 1607870164739
Moved to 264, 466 at time 1607870164752
Moved to 263, 465 at time 1607870164767
Moved to 262, 464 at time 1607870164787
Moved to 261, 463 at time 1607870164799
Moved to 260, 462 at time 1607870164811
Moved to 259, 461 at time 1607870164824
Moved to 258, 460 at time 1607870164851
Moved to 257, 459 at time 1607870164875
Moved to 256, 458 at time 1607870164895
Moved to 255, 457 at time 1607870164913
Moved to 254, 456 at time 1607870164929
Moved to 253, 455 at time 1607870164945
Moved to 252, 454 at time 1607870164978
Moved to 251, 453 at time 1607870165012
Moved to 250, 452 at time 1607870165026
Moved to 249, 451 at time 1607870165051
Moved to 248, 450 at time 1607870165115
Moved to 247, 449 at time 1607870165158
Moved to 246, 448 at time 1607870165200
Moved to 245, 447 at time 1607870165263
Moved to 244, 446 at time 1607870165277
Moved to 243, 445 at time 1607870165343
Moved to 242, 444 at time 1607870165390
Moved to 241, 443 at time 1607870165430
Moved to 240, 442 at time 1607870165462
Moved to 239, 441 at time 1607870165492
Moved to 238, 440 at time 1607870165577
Moved to 237, 439 at time 1607870165638
Moved to 236, 438 at time 1607870165664
Moved to 235, 437 at time 1607870165681
Moved to 234, 436 at time 1607870165697
