Moved to 3091, 1841 at time 1607968586356
Moved to 3090, 1840 at time 1607968622690
Moved to 3089, 1839 at time 1607968622919
Moved to 3088, 1838 at time 1607968623074
Moved to 3087, 1837 at time 1607968623285
Moved to 3086, 1836 at time 1607968623795
Moved to 3085, 1835 at time 1607968624205
Moved to 3084, 1834 at time 1607968624324
Moved to 3083, 1833 at time 1607968624692
Moved to 3082, 1832 at time 1607968625161
Moved to 3081, 1831 at time 1607968625387
Moved to 3080, 1830 at time 1607968625758
Moved to 3079, 1829 at time 1607968625935
Moved to 3078, 1828 at time 1607968626295
Moved to 3077, 1827 at time 1607968626442
Moved to 3076, 1826 at time 1607968626577
Moved to 3075, 1825 at time 1607968626789
Moved to 3074, 1824 at time 1607968626895
Moved to 3073, 1823 at time 1607968627026
Moved to 3072, 1822 at time 1607968627225
Moved to 3071, 1821 at time 1607968627343
Moved to 3070, 1820 at time 1607968627446
Moved to 3069, 1819 at time 1607968627551
Moved to 3068, 1818 at time 1607968627659
Moved to 3067, 1817 at time 1607968627845
Moved to 3066, 1816 at time 1607968628021
Moved to 3065, 1815 at time 1607968628155
Moved to 3064, 1814 at time 1607968628294
Moved to 3063, 1813 at time 1607968628437
Moved to 3062, 1812 at time 1607968628582
Moved to 3061, 1811 at time 1607968628698
Moved to 3060, 1810 at time 1607968628884
Moved to 3059, 1809 at time 1607968629035
Moved to 3058, 1808 at time 1607968629206
Moved to 3057, 1807 at time 1607968629373
Moved to 3056, 1806 at time 1607968629563
Moved to 3055, 1805 at time 1607968629755
Moved to 3054, 1804 at time 1607968629979
Moved to 3053, 1803 at time 1607968630090
Moved to 3052, 1802 at time 1607968630195
Moved to 3051, 1801 at time 1607968630378
Moved to 3050, 1800 at time 1607968630623
Moved to 3049, 1799 at time 1607968630760
Moved to 3048, 1798 at time 1607968631028
Moved to 3047, 1797 at time 1607968631271
Moved to 3046, 1796 at time 1607968631476
Moved to 3045, 1795 at time 1607968631898
Moved to 3044, 1794 at time 1607968632266
Moved to 3043, 1793 at time 1607968632497
Moved to 3042, 1792 at time 1607968632714
Moved to 3041, 1791 at time 1607968632928
Moved to 3040, 1790 at time 1607968633145
Moved to 3039, 1789 at time 1607968633373
Moved to 3038, 1788 at time 1607968705651
Moved to 3037, 1787 at time 1607968705897
Moved to 3036, 1786 at time 1607968706134
Moved to 3035, 1785 at time 1607968706359
Moved to 3034, 1784 at time 1607968706560
Moved to 3033, 1783 at time 1607968706825
Moved to 3032, 1782 at time 1607968706942
Moved to 3031, 1781 at time 1607968707066
Moved to 3030, 1780 at time 1607968707225
Moved to 3029, 1779 at time 1607968707363
Moved to 3028, 1778 at time 1607968707490
Moved to 3027, 1777 at time 1607968707602
Moved to 3026, 1776 at time 1607968707743
Moved to 3025, 1775 at time 1607968707847
Moved to 3024, 1774 at time 1607968707953
Moved to 3023, 1773 at time 1607968708091
Moved to 3022, 1772 at time 1607968708226
Moved to 3021, 1771 at time 1607968708397
Moved to 3020, 1770 at time 1607968708561
Moved to 3019, 1769 at time 1607968708692
Moved to 3018, 1768 at time 1607968708847
Moved to 3017, 1767 at time 1607968708968
Moved to 3016, 1766 at time 1607968709102
Moved to 3015, 1765 at time 1607968709235
Moved to 3014, 1764 at time 1607968709353
Moved to 3013, 1763 at time 1607968709482
Moved to 3012, 1762 at time 1607968709607
Moved to 3011, 1761 at time 1607968709861
Moved to 3010, 1760 at time 1607968710208
Moved to 3009, 1759 at time 1607968710411
Moved to 3008, 1758 at time 1607968710720
Moved to 3007, 1757 at time 1607968710911
Moved to 3006, 1756 at time 1607968711218
Moved to 3005, 1755 at time 1607968711426
Moved to 3004, 1754 at time 1607968711527
Moved to 3003, 1753 at time 1607968711628
Moved to 3002, 1752 at time 1607968711811
Moved to 3001, 1751 at time 1607968711916
Moved to 3000, 1750 at time 1607968712098
Moved to 2999, 1749 at time 1607968712369
Moved to 2998, 1748 at time 1607968712482
Moved to 2997, 1747 at time 1607968712705
Moved to 2996, 1746 at time 1607968712971
Moved to 2995, 1745 at time 1607968713079
Moved to 2994, 1744 at time 1607968713202
Moved to 2993, 1743 at time 1607968713309
Moved to 2992, 1742 at time 1607968713447
Moved to 2991, 1741 at time 1607968713812
Moved to 2990, 1740 at time 1607968713963
Moved to 2989, 1739 at time 1607968714270
Moved to 2988, 1738 at time 1607968714427
Moved to 2987, 1737 at time 1607968714744
Moved to 2986, 1736 at time 1607968714904
Moved to 2985, 1735 at time 1607968715092
Moved to 2984, 1734 at time 1607968715207
Moved to 2983, 1733 at time 1607968715345
Moved to 2982, 1732 at time 1607968715532
Moved to 2981, 1731 at time 1607968715715
Moved to 2980, 1730 at time 1607968715955
Moved to 2979, 1729 at time 1607968716162
Moved to 2978, 1728 at time 1607968716419
Moved to 2977, 1727 at time 1607968716654
Moved to 2976, 1726 at time 1607968716826
Moved to 2975, 1725 at time 1607968716950
Moved to 2974, 1724 at time 1607968717235
Moved to 2973, 1723 at time 1607968717390
Moved to 2972, 1722 at time 1607968717708
Moved to 2971, 1721 at time 1607968717834
Moved to 2970, 1720 at time 1607968718143
