Moved to 318, 539 at time 1607903707465
Moved to 317, 538 at time 1607903707502
Moved to 316, 537 at time 1607903707548
Moved to 315, 536 at time 1607903707585
Moved to 314, 535 at time 1607903707622
Moved to 313, 534 at time 1607903707662
Moved to 312, 533 at time 1607903707700
Moved to 311, 532 at time 1607903707736
Moved to 310, 531 at time 1607903707771
Moved to 309, 530 at time 1607903707807
Moved to 308, 529 at time 1607903707841
Moved to 307, 528 at time 1607903707875
Moved to 306, 527 at time 1607903707910
Moved to 305, 526 at time 1607903707944
Moved to 304, 525 at time 1607903707978
Moved to 303, 524 at time 1607903708013
Moved to 302, 523 at time 1607903708048
Moved to 301, 522 at time 1607903708083
Moved to 300, 521 at time 1607903708117
Moved to 299, 520 at time 1607903708151
Moved to 298, 519 at time 1607903708185
Moved to 297, 518 at time 1607903708219
Moved to 296, 509 at time 1607903708839
Moved to 295, 508 at time 1607903708873
Moved to 294, 507 at time 1607903708907
Moved to 293, 506 at time 1607903708941
Moved to 292, 505 at time 1607903708975
Moved to 291, 504 at time 1607903709011
Moved to 290, 503 at time 1607903709046
Moved to 289, 502 at time 1607903709081
Moved to 288, 501 at time 1607903709117
Moved to 287, 500 at time 1607903709151
Moved to 286, 499 at time 1607903709186
Moved to 285, 498 at time 1607903709224
Moved to 284, 497 at time 1607903709258
Moved to 283, 496 at time 1607903709294
Moved to 282, 495 at time 1607903709330
Moved to 281, 494 at time 1607903709397
Moved to 280, 493 at time 1607903709464
Moved to 279, 492 at time 1607903709531
Moved to 278, 491 at time 1607903709602
Moved to 277, 490 at time 1607903709670
Moved to 276, 489 at time 1607903709803
Moved to 275, 488 at time 1607903709870
Moved to 274, 487 at time 1607903709937
Moved to 273, 486 at time 1607903710004
Moved to 272, 485 at time 1607903710073
Moved to 271, 484 at time 1607903710206
Moved to 270, 483 at time 1607903710273
Moved to 269, 482 at time 1607903710341
Moved to 268, 481 at time 1607903710408
Moved to 267, 480 at time 1607903710475
Moved to 266, 479 at time 1607903710542
Moved to 265, 478 at time 1607903710609
Moved to 264, 477 at time 1607903710742
Moved to 263, 476 at time 1607903710809
Moved to 262, 475 at time 1607903710876
Moved to 261, 474 at time 1607903711009
Moved to 260, 473 at time 1607903711076
Moved to 259, 472 at time 1607903711143
Moved to 258, 471 at time 1607903711210
Moved to 257, 470 at time 1607903711343
Moved to 256, 469 at time 1607903711410
Moved to 255, 468 at time 1607903711477
Moved to 254, 467 at time 1607903711544
Moved to 253, 466 at time 1607903711613
Moved to 252, 465 at time 1607903711746
Moved to 251, 464 at time 1607903711813
Moved to 250, 463 at time 1607903711880
Moved to 249, 462 at time 1607903711947
Moved to 248, 461 at time 1607903712080
Moved to 247, 460 at time 1607903712149
Moved to 246, 459 at time 1607903712217
Moved to 245, 458 at time 1607903712285
Moved to 244, 457 at time 1607903712352
Moved to 243, 456 at time 1607903712419
Moved to 242, 441 at time 1607903713626
Moved to 241, 440 at time 1607903713694
Moved to 240, 439 at time 1607903713762
Moved to 239, 438 at time 1607903713829
Moved to 238, 437 at time 1607903713962
Moved to 237, 436 at time 1607903714029
Moved to 236, 435 at time 1607903714096
Moved to 235, 434 at time 1607903714163
Moved to 234, 433 at time 1607903714197
Moved to 233, 432 at time 1607903714264
Moved to 231, 426 at time 1607903715048
Moved to 230, 425 at time 1607903715083
Moved to 229, 424 at time 1607903715117
Moved to 228, 423 at time 1607903715151
Moved to 227, 422 at time 1607903715185
Moved to 226, 421 at time 1607903715220
Moved to 225, 420 at time 1607903715254
Moved to 224, 419 at time 1607903715288
Moved to 223, 418 at time 1607903715322
Moved to 222, 417 at time 1607903715389
Moved to 221, 416 at time 1607903715423
Moved to 220, 415 at time 1607903715457
Moved to 219, 414 at time 1607903715492
Moved to 218, 413 at time 1607903715526
Moved to 217, 412 at time 1607903715560
Moved to 216, 411 at time 1607903715594
Moved to 215, 410 at time 1607903715628
Moved to 214, 409 at time 1607903715662
Moved to 213, 408 at time 1607903715696
Moved to 212, 407 at time 1607903715730
Moved to 211, 406 at time 1607903715764
Moved to 210, 405 at time 1607903715831
Moved to 209, 404 at time 1607903715865
Moved to 208, 403 at time 1607903715899
Moved to 207, 402 at time 1607903715933
Moved to 206, 401 at time 1607903715967
Moved to 205, 400 at time 1607903716001
Moved to 204, 399 at time 1607903716035
Attacked Unit@78f22753at position 100, 100 at time 1607903716069
Attacked Unit@78f22753at position 100, 100 at time 1607903717763
Attacked Unit@78f22753at position 100, 100 at time 1607903719462
Attacked Unit@78f22753at position 100, 100 at time 1607903721161
Attacked Unit@78f22753at position 100, 100 at time 1607903722829
Attacked Unit@78f22753at position 100, 100 at time 1607903724528
Attacked Unit@78f22753at position 100, 100 at time 1607903726226
Attacked Unit@78f22753at position 100, 100 at time 1607903727898
Moved to 203, 398 at time 1607903729534
Got attacked at 1144, 1204 by Unit@404cc293 at time 1607970695567
Attacked Unit@58991c87at position 908, 1141 at time 1607970695583
Attacked Unit@7d305738at position 993, 1130 at time 1607970715425
Got attacked at 1144, 1204 by Unit@7d305738 at time 1607970715429
Got attacked at 1144, 1204 by Unit@7d305738 at time 1607970717120
Attacked Unit@1dd8c270at position 916, 1171 at time 1607970717130
Got attacked at 1144, 1204 by Unit@1dd8c270 at time 1607970718843
Attacked Unit@2faf118bat position 951, 1137 at time 1607970718869
Got attacked at 1144, 1204 by Unit@1dd8c270 at time 1607970720529
Attacked Unit@741ceaecat position 985, 1165 at time 1607970720558
Got attacked at 1144, 1204 by Unit@741ceaec at time 1607970720597
Got attacked at 1144, 1204 by Unit@58991c87 at time 1607970720614
Died at 1144, 1204 at time 1607970720625
Got attacked at 1144, 1204 by Unit@7d305738 at time 1607970720627
