Moved to 1503, 169 at time 1607905322325
Moved to 1502, 170 at time 1607905465532
Moved to 1501, 171 at time 1607905465833
Moved to 1500, 172 at time 1607905466134
Moved to 1499, 173 at time 1607905466256
Moved to 1498, 174 at time 1607905466518
Moved to 1497, 175 at time 1607905466871
Moved to 1496, 176 at time 1607905467145
Moved to 1495, 177 at time 1607905467415
Moved to 1494, 178 at time 1607905467683
Moved to 1493, 179 at time 1607905467921
Moved to 1492, 180 at time 1607905468170
Moved to 1491, 181 at time 1607905468306
Moved to 1490, 182 at time 1607905468473
Moved to 1489, 183 at time 1607905468621
Moved to 1488, 184 at time 1607905468784
Moved to 1487, 185 at time 1607905468989
Moved to 1486, 186 at time 1607905469183
Moved to 1485, 187 at time 1607905469323
Moved to 1484, 188 at time 1607905469538
Moved to 1483, 189 at time 1607905469667
Moved to 1482, 190 at time 1607905469887
Moved to 1481, 191 at time 1607905470017
Moved to 1480, 192 at time 1607905470121
Moved to 1479, 193 at time 1607905470307
Moved to 1478, 194 at time 1607905470519
Moved to 1477, 195 at time 1607905470739
Moved to 1476, 196 at time 1607905470884
Moved to 1475, 197 at time 1607905471055
Moved to 1474, 198 at time 1607905471314
Moved to 1473, 199 at time 1607905471520
Moved to 1472, 200 at time 1607905471698
Moved to 1471, 201 at time 1607905471842
Moved to 1470, 202 at time 1607905471956
Moved to 1469, 203 at time 1607905472139
Moved to 1468, 204 at time 1607905472253
Moved to 1467, 205 at time 1607905472453
Moved to 1466, 206 at time 1607905472624
Moved to 1465, 207 at time 1607905472752
Moved to 1464, 208 at time 1607905472874
Moved to 1463, 209 at time 1607905473009
Moved to 1462, 210 at time 1607905473116
Moved to 1461, 211 at time 1607905473286
Moved to 1460, 212 at time 1607905473452
Moved to 1459, 213 at time 1607905473588
Moved to 1458, 214 at time 1607905473754
Moved to 1457, 215 at time 1607905473886
Moved to 1456, 216 at time 1607905473992
Moved to 1455, 217 at time 1607905474179
Moved to 1454, 218 at time 1607905474304
Moved to 1453, 219 at time 1607905474456
Moved to 1452, 220 at time 1607905474574
Moved to 1451, 221 at time 1607905474730
Moved to 1450, 222 at time 1607905474873
