Moved to 1503, 1357 at time 1607968070211
Moved to 1504, 1356 at time 1607968070342
Moved to 1505, 1355 at time 1607968143910
Moved to 1506, 1354 at time 1607968144126
Moved to 1505, 1353 at time 1607968144161
Moved to 1506, 1352 at time 1607968144327
Moved to 1507, 1351 at time 1607968144462
Moved to 1508, 1350 at time 1607968144512
Moved to 1507, 1349 at time 1607968144690
Moved to 1506, 1348 at time 1607968144773
Moved to 1505, 1347 at time 1607968145013
Moved to 1506, 1346 at time 1607968145094
Moved to 1507, 1345 at time 1607968145180
Moved to 1508, 1344 at time 1607968145257
Moved to 1509, 1343 at time 1607968145293
Moved to 1510, 1342 at time 1607968145338
Moved to 1509, 1341 at time 1607968145550
Moved to 1510, 1340 at time 1607968145634
Moved to 1511, 1339 at time 1607968145841
Moved to 1512, 1338 at time 1607968146072
Moved to 1511, 1337 at time 1607968146298
Moved to 1512, 1336 at time 1607968146359
Moved to 1513, 1335 at time 1607968146676
Moved to 1512, 1334 at time 1607968146727
Moved to 1513, 1333 at time 1607968146878
Moved to 1512, 1332 at time 1607968147005
Moved to 1513, 1331 at time 1607968147144
Moved to 1514, 1330 at time 1607968147194
Moved to 1513, 1329 at time 1607968147275
Moved to 1514, 1328 at time 1607968147457
Moved to 1515, 1327 at time 1607968147600
Moved to 1516, 1326 at time 1607968147757
Moved to 1517, 1325 at time 1607968147808
Moved to 1516, 1324 at time 1607968147858
Moved to 1515, 1323 at time 1607968147935
Moved to 1516, 1322 at time 1607968148018
Moved to 1515, 1321 at time 1607968148151
Moved to 1516, 1320 at time 1607968148266
Moved to 1515, 1319 at time 1607968148503
Moved to 1514, 1318 at time 1607968148606
Moved to 1515, 1317 at time 1607968148640
Moved to 1514, 1316 at time 1607968149285
Moved to 1513, 1315 at time 1607968149501
Moved to 1512, 1314 at time 1607968149575
Moved to 1511, 1313 at time 1607968149811
Moved to 1512, 1312 at time 1607968150023
Moved to 1511, 1311 at time 1607968150164
Moved to 1512, 1310 at time 1607968150198
Moved to 1511, 1309 at time 1607968150245
Moved to 1512, 1308 at time 1607968150331
Moved to 1511, 1307 at time 1607968150387
Moved to 1512, 1306 at time 1607968150441
Moved to 1513, 1305 at time 1607968150478
Moved to 1512, 1304 at time 1607968150557
Moved to 1513, 1303 at time 1607968150619
Moved to 1514, 1302 at time 1607968150709
Moved to 1513, 1301 at time 1607968150794
Moved to 1512, 1300 at time 1607968150883
Moved to 1513, 1299 at time 1607968150957
Moved to 1514, 1298 at time 1607968151078
Moved to 1515, 1297 at time 1607968151150
Moved to 1516, 1296 at time 1607968151258
Moved to 1515, 1295 at time 1607968151328
Moved to 1514, 1294 at time 1607968151424
Moved to 1513, 1293 at time 1607968151481
Moved to 1512, 1292 at time 1607968151600
Moved to 1513, 1291 at time 1607968151661
Moved to 1509, 1292 at time 1607968152875
Moved to 1508, 1291 at time 1607968153069
Moved to 1508, 1292 at time 1607968264355
Moved to 1507, 1291 at time 1607968264595
Moved to 1505, 1292 at time 1607968266095
Moved to 1506, 1291 at time 1607968266236
Moved to 1508, 1292 at time 1607968266704
Moved to 1509, 1291 at time 1607968266778
Moved to 1509, 1292 at time 1607968267001
Moved to 1510, 1291 at time 1607968267099
Moved to 1511, 1290 at time 1607968267757
Moved to 1512, 1289 at time 1607968267809
Moved to 1511, 1290 at time 1607968267906
Moved to 1512, 1289 at time 1607968267960
Moved to 1513, 1288 at time 1607968268043
Moved to 1512, 1287 at time 1607968268107
Moved to 1511, 1288 at time 1607968268176
Moved to 1510, 1289 at time 1607968268253
Moved to 1509, 1290 at time 1607968268319
Moved to 1510, 1289 at time 1607968268385
Moved to 1509, 1288 at time 1607968268457
Moved to 1510, 1287 at time 1607968268501
Moved to 1511, 1286 at time 1607968268603
Moved to 1512, 1285 at time 1607968268655
Moved to 1511, 1286 at time 1607968268691
Moved to 1512, 1285 at time 1607968268759
Moved to 1511, 1286 at time 1607968268793
Moved to 1510, 1287 at time 1607968268839
Moved to 1511, 1286 at time 1607968268924
Attacked Unit@6c14dda6at position 1750, 1017 at time 1607968268996
Got attacked at 1511, 1286 by Unit@6c14dda6 at time 1607968269037
Attacked Unit@6c14dda6at position 1750, 1017 at time 1607968270682
Got attacked at 1511, 1286 by Unit@6c14dda6 at time 1607968270791
Got attacked at 1511, 1286 by Unit@2e9ca4bf at time 1607968271197
Got attacked at 1511, 1286 by Unit@2f88d22c at time 1607968271346
Got attacked at 1511, 1286 by Unit@724c2129 at time 1607968271388
Got attacked at 1511, 1286 by Unit@674625fa at time 1607968271855
Attacked Unit@724c2129at position 1364, 1017 at time 1607968272361
Got attacked at 1511, 1286 by Unit@6c14dda6 at time 1607968272465
Died at 1511, 1286 at time 1607968272501
