Moved to 1751, 885 at time 1607904712102
Moved to 1750, 884 at time 1607904712152
Moved to 1749, 883 at time 1607904712418
Moved to 1748, 882 at time 1607904712537
Moved to 1747, 881 at time 1607904712734
Moved to 1746, 880 at time 1607904712897
Moved to 1745, 879 at time 1607904713031
Moved to 1744, 878 at time 1607904713099
Moved to 1743, 877 at time 1607904713228
Moved to 1742, 876 at time 1607904713343
Moved to 1741, 875 at time 1607904725380
Moved to 1740, 874 at time 1607904725438
Moved to 1739, 873 at time 1607904725609
Moved to 1738, 872 at time 1607904725673
Moved to 1737, 871 at time 1607904725779
Moved to 1736, 870 at time 1607904725856
Moved to 1735, 869 at time 1607904725957
Moved to 1734, 868 at time 1607904726083
Moved to 1733, 867 at time 1607904726132
Moved to 1732, 866 at time 1607904750310
Moved to 1731, 865 at time 1607904750394
Moved to 1730, 864 at time 1607904750472
Moved to 1729, 863 at time 1607904750543
Moved to 1728, 862 at time 1607904750603
Moved to 1727, 861 at time 1607904750665
Moved to 1726, 860 at time 1607904750714
Moved to 1725, 859 at time 1607904750794
Moved to 1724, 858 at time 1607904750863
Moved to 1723, 857 at time 1607904750897
Moved to 1722, 856 at time 1607904750965
Moved to 1721, 855 at time 1607904751048
Moved to 1720, 854 at time 1607904751097
Moved to 1719, 853 at time 1607904751179
Moved to 1718, 852 at time 1607904751221
Moved to 1717, 851 at time 1607904751261
Moved to 1716, 850 at time 1607904751349
Moved to 1715, 849 at time 1607904751420
Moved to 1714, 848 at time 1607904751483
Moved to 1713, 847 at time 1607904751562
Moved to 1712, 846 at time 1607904751642
Moved to 1711, 845 at time 1607904751740
Moved to 1710, 844 at time 1607904751781
Moved to 1709, 843 at time 1607904751859
Moved to 1708, 842 at time 1607904751907
Moved to 1707, 841 at time 1607904751947
Moved to 1706, 840 at time 1607904752045
Moved to 1705, 839 at time 1607904752081
Moved to 1704, 838 at time 1607904752163
Moved to 1703, 837 at time 1607904752213
Moved to 1702, 836 at time 1607904752265
