Moved to 1676, 1204 at time 1607967053755
Moved to 1675, 1203 at time 1607967097393
Moved to 1674, 1202 at time 1607967097693
Moved to 1673, 1201 at time 1607967097931
Moved to 1672, 1200 at time 1607967098089
Moved to 1671, 1199 at time 1607967098294
Moved to 1670, 1198 at time 1607967098475
Moved to 1669, 1197 at time 1607967098721
Moved to 1668, 1196 at time 1607967099068
Moved to 1667, 1195 at time 1607967099709
Moved to 1666, 1194 at time 1607967099838
Moved to 1665, 1193 at time 1607967100127
Moved to 1664, 1192 at time 1607967100623
Moved to 1663, 1191 at time 1607967101097
Moved to 1662, 1190 at time 1607967101809
Moved to 1661, 1189 at time 1607967102086
Moved to 1660, 1188 at time 1607967102213
Moved to 1659, 1187 at time 1607967102600
Moved to 1658, 1186 at time 1607967102997
Moved to 1657, 1185 at time 1607967103122
Moved to 1656, 1184 at time 1607967103315
Moved to 1655, 1183 at time 1607967103473
Moved to 1654, 1182 at time 1607967103610
Moved to 1653, 1181 at time 1607967103792
Moved to 1652, 1180 at time 1607967104024
Moved to 1651, 1179 at time 1607967104301
Moved to 1650, 1178 at time 1607967104463
Moved to 1649, 1177 at time 1607967104626
Moved to 1648, 1176 at time 1607967104867
Moved to 1647, 1175 at time 1607967105080
Moved to 1646, 1174 at time 1607967105187
Moved to 1645, 1173 at time 1607967105368
Moved to 1644, 1172 at time 1607967105834
Moved to 1643, 1171 at time 1607967106251
Moved to 1642, 1170 at time 1607967106543
Moved to 1641, 1169 at time 1607967107029
Moved to 1640, 1168 at time 1607967107132
Moved to 1639, 1167 at time 1607967107441
Moved to 1638, 1166 at time 1607967107631
Moved to 1637, 1165 at time 1607967107844
Moved to 1636, 1164 at time 1607967107949
Moved to 1635, 1163 at time 1607967108054
Moved to 1634, 1162 at time 1607967108233
Moved to 1633, 1161 at time 1607967108414
Moved to 1632, 1160 at time 1607967108594
Moved to 1631, 1159 at time 1607967108746
Moved to 1630, 1158 at time 1607967108923
Moved to 1629, 1157 at time 1607967109130
Moved to 1628, 1156 at time 1607967109346
Moved to 1627, 1155 at time 1607967109524
Moved to 1626, 1154 at time 1607967109813
Moved to 1625, 1153 at time 1607967109955
Moved to 1624, 1152 at time 1607967110239
Moved to 1623, 1151 at time 1607967110696
Moved to 1622, 1150 at time 1607967111103
Moved to 1621, 1149 at time 1607967111549
Moved to 1620, 1148 at time 1607967111910
Moved to 1619, 1147 at time 1607967112071
Moved to 1618, 1146 at time 1607967112435
Moved to 1617, 1145 at time 1607967112852
Moved to 1616, 1144 at time 1607967113062
Moved to 1615, 1143 at time 1607967113250
Moved to 1614, 1142 at time 1607967113505
Moved to 1613, 1141 at time 1607967113731
Moved to 1612, 1140 at time 1607967113968
Moved to 1611, 1139 at time 1607967114162
Moved to 1610, 1138 at time 1607967114426
Moved to 1609, 1137 at time 1607967114601
Moved to 1608, 1136 at time 1607967114837
Moved to 1607, 1135 at time 1607967115004
Moved to 1606, 1134 at time 1607967115271
Moved to 1605, 1133 at time 1607967115454
Moved to 1604, 1132 at time 1607967115583
Moved to 1603, 1131 at time 1607967115922
Moved to 1602, 1130 at time 1607967116028
Moved to 1601, 1129 at time 1607967116261
Moved to 1600, 1128 at time 1607967116384
Moved to 1599, 1127 at time 1607967116637
Moved to 1598, 1126 at time 1607967116785
Moved to 1597, 1125 at time 1607967116909
Moved to 1596, 1124 at time 1607967117217
Moved to 1595, 1123 at time 1607967117468
Moved to 1594, 1122 at time 1607967117696
Moved to 1593, 1121 at time 1607967118161
Moved to 1592, 1120 at time 1607967118471
Moved to 1591, 1119 at time 1607967118882
Moved to 1590, 1118 at time 1607967119134
Moved to 1589, 1117 at time 1607967119281
Moved to 1588, 1116 at time 1607967119513
Moved to 1587, 1115 at time 1607967119646
Moved to 1586, 1114 at time 1607967119796
Moved to 1585, 1113 at time 1607967119953
Moved to 1584, 1112 at time 1607967120137
Moved to 1583, 1111 at time 1607967120243
Moved to 1582, 1110 at time 1607967120352
Moved to 1581, 1109 at time 1607967120466
Moved to 1580, 1108 at time 1607967120567
Moved to 1579, 1107 at time 1607967120756
Moved to 1578, 1106 at time 1607967120888
Moved to 1577, 1105 at time 1607967121052
Moved to 1576, 1104 at time 1607967121221
Moved to 1575, 1103 at time 1607967121369
Moved to 1574, 1102 at time 1607967121484
Moved to 1573, 1101 at time 1607967121657
Moved to 1572, 1100 at time 1607967121838
Moved to 1571, 1099 at time 1607967121993
Moved to 1570, 1098 at time 1607967122172
Moved to 1569, 1097 at time 1607967122298
Moved to 1568, 1096 at time 1607967122408
Moved to 1567, 1095 at time 1607967122514
Moved to 1566, 1094 at time 1607967122691
Moved to 1565, 1093 at time 1607967122840
Moved to 1564, 1092 at time 1607967123059
Moved to 1563, 1091 at time 1607967123268
Moved to 1562, 1090 at time 1607967123383
Moved to 1561, 1089 at time 1607967123599
Moved to 1560, 1088 at time 1607967124041
Moved to 1559, 1087 at time 1607967124305
Moved to 1558, 1086 at time 1607967124451
Moved to 1557, 1085 at time 1607967124589
Moved to 1556, 1084 at time 1607967124722
Moved to 1555, 1083 at time 1607967124933
Moved to 1554, 1082 at time 1607967125049
Moved to 1553, 1081 at time 1607967125237
Moved to 1552, 1080 at time 1607967125405
Moved to 1551, 1079 at time 1607967125571
Moved to 1550, 1078 at time 1607967125697
Moved to 1549, 1077 at time 1607967125868
Moved to 1548, 1076 at time 1607967125971
Moved to 1547, 1075 at time 1607967126254
Moved to 1546, 1074 at time 1607967126574
Moved to 1545, 1073 at time 1607967126689
Moved to 1544, 1072 at time 1607967126973
Moved to 1543, 1071 at time 1607967127077
Moved to 1542, 1070 at time 1607967127526
Moved to 1541, 1069 at time 1607967127858
Moved to 1540, 1068 at time 1607967128310
Moved to 1539, 1067 at time 1607967128647
Moved to 1538, 1066 at time 1607967129119
Moved to 1537, 1065 at time 1607967129372
Moved to 1536, 1064 at time 1607967129790
Moved to 1535, 1063 at time 1607967130131
Moved to 1534, 1062 at time 1607967130550
Moved to 1533, 1061 at time 1607967130876
Moved to 1532, 1060 at time 1607967131276
Moved to 1531, 1059 at time 1607967131722
Moved to 1530, 1058 at time 1607967131855
Moved to 1529, 1057 at time 1607967132095
Moved to 1528, 1056 at time 1607967132234
Moved to 1527, 1055 at time 1607967132469
Moved to 1526, 1054 at time 1607967132578
Moved to 1525, 1053 at time 1607967132854
Moved to 1524, 1052 at time 1607967133295
Moved to 1523, 1051 at time 1607967133593
Moved to 1522, 1050 at time 1607967134064
Moved to 1521, 1049 at time 1607967134218
Moved to 1520, 1048 at time 1607967134398
Moved to 1519, 1047 at time 1607967134519
Moved to 1518, 1046 at time 1607967134652
Moved to 1517, 1045 at time 1607967134820
Moved to 1516, 1044 at time 1607967134970
Moved to 1515, 1043 at time 1607967135140
Moved to 1514, 1042 at time 1607967135320
Moved to 1513, 1041 at time 1607967135428
Moved to 1512, 1040 at time 1607967135556
Moved to 1511, 1039 at time 1607967135668
Moved to 1510, 1038 at time 1607967135794
Moved to 1509, 1037 at time 1607967135920
Moved to 1508, 1036 at time 1607967136022
Moved to 1507, 1035 at time 1607967136216
Moved to 1506, 1034 at time 1607967136353
Moved to 1505, 1033 at time 1607967136528
Moved to 1504, 1032 at time 1607967136737
Moved to 1503, 1031 at time 1607967136970
Moved to 1502, 1030 at time 1607967137084
Moved to 1501, 1029 at time 1607967137240
Moved to 1500, 1028 at time 1607967137409
Moved to 1499, 1027 at time 1607967137585
Moved to 1498, 1026 at time 1607967137763
Moved to 1497, 1025 at time 1607967137939
Got attacked at 1497, 1025 by Unit@5c6bc1f0 at time 1607967138072
Moved to 1496, 1024 at time 1607967138131
Moved to 1495, 1023 at time 1607967138322
Moved to 1494, 1022 at time 1607967138478
Moved to 1493, 1021 at time 1607967138579
Moved to 1492, 1020 at time 1607967138807
Moved to 1491, 1019 at time 1607967139010
Got attacked at 1491, 1019 by Unit@606ff94b at time 1607967139036
Moved to 1490, 1018 at time 1607967139179
Died at 1490, 1018 at time 1607967139179
