Moved to 2863, 1207 at time 1607969349730
Moved to 2862, 1206 at time 1607969349874
Moved to 2861, 1205 at time 1607969394728
Moved to 2860, 1204 at time 1607969394885
Moved to 2859, 1203 at time 1607969394938
Moved to 2858, 1202 at time 1607969395052
Moved to 2857, 1201 at time 1607969395118
Moved to 2856, 1200 at time 1607969395178
Moved to 2855, 1199 at time 1607969395362
Moved to 2854, 1198 at time 1607969395472
Moved to 2853, 1197 at time 1607969395671
Moved to 2852, 1196 at time 1607969395733
Moved to 2851, 1195 at time 1607969395819
Moved to 2850, 1194 at time 1607969395958
Moved to 2849, 1193 at time 1607969396126
Moved to 2848, 1192 at time 1607969396352
Moved to 2847, 1191 at time 1607969396406
Moved to 2846, 1190 at time 1607969396441
Moved to 2845, 1189 at time 1607969396646
Moved to 2844, 1188 at time 1607969396836
Moved to 2843, 1187 at time 1607969396989
Moved to 2842, 1186 at time 1607969397133
Moved to 2841, 1185 at time 1607969397297
Moved to 2840, 1184 at time 1607969397353
Moved to 2839, 1183 at time 1607969397523
Moved to 2838, 1182 at time 1607969397685
Moved to 2837, 1181 at time 1607969397864
Moved to 2836, 1180 at time 1607969398000
Moved to 2835, 1179 at time 1607969398052
Moved to 2834, 1178 at time 1607969398245
Moved to 2833, 1177 at time 1607969398375
Moved to 2832, 1176 at time 1607969398565
Moved to 2831, 1175 at time 1607969398623
Moved to 2830, 1174 at time 1607969398678
Moved to 2829, 1173 at time 1607969398747
Moved to 2828, 1172 at time 1607969398875
Moved to 2827, 1171 at time 1607969398996
Moved to 2826, 1170 at time 1607969399106
Moved to 2825, 1169 at time 1607969399175
Moved to 2824, 1168 at time 1607969399215
Moved to 2823, 1167 at time 1607969399307
Moved to 2822, 1166 at time 1607969399353
Moved to 2821, 1165 at time 1607969399461
Moved to 2820, 1164 at time 1607969399522
Moved to 2819, 1163 at time 1607969399591
Moved to 2818, 1162 at time 1607969399651
Moved to 2817, 1161 at time 1607969399717
Moved to 2816, 1160 at time 1607969399800
Moved to 2815, 1159 at time 1607969399880
Moved to 2814, 1158 at time 1607969400088
Moved to 2813, 1157 at time 1607969400122
Moved to 2812, 1156 at time 1607969400182
Moved to 2811, 1155 at time 1607969400249
Moved to 2810, 1154 at time 1607969400358
Moved to 2809, 1153 at time 1607969400397
Moved to 2808, 1152 at time 1607969400439
Moved to 2807, 1151 at time 1607969400515
Moved to 2806, 1150 at time 1607969400563
Moved to 2805, 1149 at time 1607969400606
Moved to 2804, 1148 at time 1607969400701
Moved to 2803, 1147 at time 1607969400783
Moved to 2802, 1146 at time 1607969400820
Moved to 2801, 1145 at time 1607969400922
Moved to 2800, 1144 at time 1607969400990
Moved to 2799, 1143 at time 1607969401073
Moved to 2798, 1142 at time 1607969401213
Moved to 2797, 1141 at time 1607969401318
Moved to 2796, 1140 at time 1607969401502
Moved to 2795, 1139 at time 1607969401585
Moved to 2794, 1138 at time 1607969401778
Moved to 2793, 1137 at time 1607969401855
Moved to 2792, 1136 at time 1607969401989
Moved to 2791, 1135 at time 1607969402115
Moved to 2790, 1134 at time 1607969402482
Moved to 2789, 1133 at time 1607969402534
Moved to 2788, 1132 at time 1607969402783
Moved to 2787, 1131 at time 1607969402820
Moved to 2786, 1130 at time 1607969403135
Moved to 2785, 1129 at time 1607969403183
Moved to 2784, 1128 at time 1607969403354
Moved to 2783, 1127 at time 1607969403604
Moved to 2782, 1126 at time 1607969403773
Moved to 2781, 1125 at time 1607969403839
Moved to 2780, 1124 at time 1607969404038
Moved to 2779, 1123 at time 1607969404102
Moved to 2778, 1122 at time 1607969404316
Moved to 2777, 1121 at time 1607969404402
Moved to 2776, 1120 at time 1607969404554
Moved to 2775, 1119 at time 1607969404604
Moved to 2774, 1118 at time 1607969404818
Moved to 2773, 1117 at time 1607969404867
Moved to 2772, 1116 at time 1607969404998
Moved to 2771, 1115 at time 1607969405064
Moved to 2770, 1114 at time 1607969405286
Moved to 2769, 1113 at time 1607969405455
Moved to 2768, 1112 at time 1607969405538
Moved to 2767, 1111 at time 1607969405592
Moved to 2766, 1110 at time 1607969405657
Moved to 2765, 1109 at time 1607969405872
Moved to 2764, 1108 at time 1607969405924
Moved to 2763, 1107 at time 1607969406048
Moved to 2762, 1106 at time 1607969406119
Moved to 2761, 1105 at time 1607969406153
Moved to 2760, 1104 at time 1607969406240
Moved to 2759, 1103 at time 1607969406332
Moved to 2758, 1102 at time 1607969406378
Moved to 2757, 1101 at time 1607969406470
Moved to 2756, 1100 at time 1607969406506
Moved to 2755, 1099 at time 1607969406590
Moved to 2754, 1098 at time 1607969406690
Moved to 2753, 1097 at time 1607969406753
Moved to 2752, 1096 at time 1607969406831
Moved to 2751, 1095 at time 1607969406921
Moved to 2750, 1094 at time 1607969406982
Moved to 2749, 1093 at time 1607969407073
Moved to 2748, 1092 at time 1607969407154
Moved to 2747, 1091 at time 1607969407302
Moved to 2746, 1090 at time 1607969407485
