Attacked Unit@4dac3b6bat position 651, 1309 at time 1607971941794
Got attacked at 538, 1370 by Unit@2ae8bcaa at time 1607972019926
Attacked Unit@24986959at position 628, 1329 at time 1607972019937
Got attacked at 538, 1370 by Unit@f3979c8 at time 1607972021604
Got attacked at 538, 1370 by Unit@3d39632c at time 1607972021606
Attacked Unit@42eeb911at position 680, 1390 at time 1607972021614
Got attacked at 538, 1370 by Unit@2e0376c8 at time 1607972021621
Moved to 539, 1369 at time 1607972021716
Moved to 540, 1368 at time 1607972021771
Moved to 541, 1367 at time 1607972021822
Moved to 542, 1366 at time 1607972021875
Moved to 543, 1365 at time 1607972021928
Moved to 544, 1364 at time 1607972021981
Moved to 545, 1363 at time 1607972022032
Moved to 546, 1362 at time 1607972022083
Moved to 547, 1361 at time 1607972022137
Moved to 548, 1360 at time 1607972022190
Moved to 549, 1359 at time 1607972022245
Moved to 550, 1358 at time 1607972022296
Moved to 551, 1357 at time 1607972022348
Moved to 552, 1356 at time 1607972022399
Moved to 553, 1355 at time 1607972022450
Moved to 554, 1354 at time 1607972022502
Moved to 555, 1353 at time 1607972022556
Moved to 556, 1352 at time 1607972022607
Moved to 557, 1351 at time 1607972022660
Moved to 558, 1350 at time 1607972022710
Moved to 559, 1349 at time 1607972022763
Moved to 560, 1348 at time 1607972022815
Moved to 561, 1347 at time 1607972022866
Moved to 562, 1346 at time 1607972022919
Moved to 563, 1345 at time 1607972022971
Moved to 564, 1344 at time 1607972023072
Moved to 565, 1343 at time 1607972023125
Moved to 566, 1342 at time 1607972023177
Moved to 567, 1341 at time 1607972023236
Moved to 568, 1340 at time 1607972023287
Moved to 569, 1339 at time 1607972023338
Moved to 570, 1338 at time 1607972023391
Moved to 571, 1337 at time 1607972023443
Moved to 572, 1336 at time 1607972023495
Attacked Unit@60efd532at position 730, 1167 at time 1607972023546
Attacked Unit@60efd532at position 730, 1167 at time 1607972025256
Moved to 573, 1335 at time 1607972026593
Moved to 574, 1334 at time 1607972026646
Moved to 575, 1333 at time 1607972026749
Moved to 576, 1332 at time 1607972026800
Moved to 577, 1331 at time 1607972026853
Moved to 578, 1330 at time 1607972026905
Moved to 579, 1329 at time 1607972026957
Moved to 580, 1328 at time 1607972027058
Moved to 581, 1327 at time 1607972027110
Attacked Unit@2e0376c8at position 750, 1159 at time 1607972027162
Got attacked at 581, 1327 by Unit@5045d1d0 at time 1607972028313
Got attacked at 581, 1327 by Unit@6d0151a3 at time 1607972028375
Attacked Unit@2e0376c8at position 750, 1159 at time 1607972028861
Got attacked at 581, 1327 by Unit@3d39632c at time 1607972030015
Died at 581, 1327 at time 1607972030039
