Moved to 614, 1636 at time 1607965644611
Moved to 613, 1635 at time 1607965644891
Moved to 612, 1634 at time 1607965645148
Moved to 611, 1633 at time 1607965645506
Moved to 610, 1632 at time 1607965645817
Moved to 609, 1631 at time 1607965645876
Moved to 608, 1630 at time 1607965646558
Moved to 607, 1629 at time 1607965707731
Moved to 606, 1628 at time 1607965708147
Moved to 605, 1627 at time 1607965708317
Moved to 604, 1626 at time 1607965708518
Moved to 603, 1625 at time 1607965708742
Moved to 602, 1624 at time 1607965708989
Moved to 601, 1623 at time 1607965709126
Moved to 600, 1622 at time 1607965709321
Moved to 599, 1621 at time 1607965709502
Moved to 598, 1620 at time 1607965710010
Moved to 597, 1619 at time 1607965710066
Moved to 596, 1618 at time 1607965710624
Moved to 595, 1617 at time 1607965711117
Moved to 594, 1616 at time 1607965711513
Moved to 593, 1615 at time 1607965712180
Moved to 592, 1614 at time 1607965712644
Moved to 591, 1613 at time 1607965713056
Moved to 590, 1612 at time 1607965713713
Moved to 589, 1611 at time 1607965714129
Moved to 588, 1610 at time 1607965714493
Moved to 587, 1609 at time 1607965714600
Moved to 586, 1608 at time 1607965715078
Moved to 585, 1607 at time 1607965715188
Moved to 584, 1606 at time 1607965715366
Moved to 583, 1605 at time 1607965715567
Moved to 582, 1604 at time 1607965715775
Moved to 581, 1603 at time 1607965716062
Moved to 580, 1602 at time 1607965716165
Moved to 579, 1601 at time 1607965716590
Moved to 578, 1600 at time 1607965716700
Moved to 577, 1599 at time 1607965716885
Moved to 576, 1598 at time 1607965717140
Moved to 575, 1597 at time 1607965717304
Moved to 574, 1596 at time 1607965717508
Moved to 573, 1595 at time 1607965717639
Moved to 572, 1594 at time 1607965717869
Moved to 571, 1593 at time 1607965718392
Moved to 570, 1592 at time 1607965718429
Moved to 569, 1591 at time 1607965718600
Moved to 568, 1590 at time 1607965718802
Moved to 567, 1589 at time 1607965718928
Moved to 566, 1588 at time 1607965718964
Moved to 565, 1587 at time 1607965719213
Moved to 564, 1586 at time 1607965719289
Moved to 563, 1585 at time 1607965719595
Moved to 562, 1584 at time 1607965719720
Moved to 561, 1583 at time 1607965720127
Moved to 560, 1582 at time 1607965720268
Moved to 559, 1581 at time 1607965720663
Moved to 558, 1580 at time 1607965720774
Moved to 557, 1579 at time 1607965721174
Moved to 556, 1578 at time 1607965721300
Moved to 555, 1577 at time 1607965721535
Moved to 554, 1576 at time 1607965721733
Moved to 553, 1575 at time 1607965721871
Moved to 552, 1574 at time 1607965722022
Moved to 551, 1573 at time 1607965722152
Moved to 550, 1572 at time 1607965722281
Moved to 549, 1571 at time 1607965722472
Moved to 548, 1570 at time 1607965722929
Moved to 547, 1569 at time 1607965723362
Moved to 546, 1568 at time 1607965723781
Moved to 545, 1567 at time 1607965724284
Moved to 544, 1566 at time 1607965724766
Moved to 543, 1565 at time 1607965725253
Moved to 542, 1564 at time 1607965725718
Moved to 541, 1563 at time 1607965726166
Moved to 540, 1562 at time 1607965726638
Moved to 539, 1561 at time 1607965727066
Moved to 538, 1560 at time 1607965727513
Moved to 537, 1559 at time 1607965727992
Moved to 536, 1558 at time 1607965728421
Moved to 535, 1557 at time 1607965728901
Moved to 534, 1556 at time 1607965729358
Moved to 533, 1555 at time 1607965729600
Moved to 532, 1554 at time 1607965729700
Moved to 531, 1553 at time 1607965729835
Moved to 530, 1552 at time 1607965730002
Moved to 529, 1551 at time 1607965730080
Moved to 528, 1550 at time 1607965730344
Moved to 527, 1549 at time 1607965730384
Moved to 526, 1548 at time 1607965730427
Moved to 525, 1547 at time 1607965730464
Moved to 524, 1546 at time 1607965730798
Moved to 523, 1545 at time 1607965730890
Moved to 522, 1544 at time 1607965730925
Moved to 521, 1543 at time 1607965731200
Moved to 520, 1542 at time 1607965731351
Moved to 519, 1541 at time 1607965731441
Moved to 518, 1540 at time 1607965731578
Moved to 517, 1539 at time 1607965731669
Moved to 516, 1538 at time 1607965731803
Moved to 515, 1537 at time 1607965731885
Moved to 514, 1536 at time 1607965732009
Moved to 513, 1535 at time 1607965732083
Moved to 512, 1534 at time 1607965732118
Moved to 511, 1533 at time 1607965732192
Moved to 510, 1532 at time 1607965732337
Moved to 509, 1531 at time 1607965732438
Moved to 508, 1530 at time 1607965732664
Moved to 507, 1529 at time 1607965733093
Moved to 506, 1528 at time 1607965733502
Moved to 505, 1527 at time 1607965733953
Moved to 504, 1526 at time 1607965734370
Moved to 503, 1525 at time 1607965734776
Moved to 502, 1524 at time 1607965734956
Moved to 501, 1523 at time 1607965735025
Moved to 500, 1522 at time 1607965735094
Moved to 499, 1521 at time 1607965735153
Moved to 498, 1520 at time 1607965735215
Moved to 497, 1519 at time 1607965735264
Moved to 496, 1518 at time 1607965735324
Moved to 495, 1517 at time 1607965735369
Moved to 494, 1516 at time 1607965735429
Moved to 493, 1515 at time 1607965735470
Moved to 492, 1514 at time 1607965735529
Moved to 491, 1513 at time 1607965735574
Moved to 490, 1512 at time 1607965735638
Moved to 489, 1511 at time 1607965735678
Moved to 488, 1510 at time 1607965735743
Moved to 487, 1509 at time 1607965735791
Moved to 486, 1508 at time 1607965735925
Moved to 485, 1507 at time 1607965736204
Moved to 484, 1506 at time 1607965736277
Moved to 483, 1505 at time 1607965736625
Moved to 482, 1504 at time 1607965736701
Moved to 481, 1503 at time 1607965736859
Moved to 480, 1502 at time 1607965737132
Moved to 479, 1501 at time 1607965737509
Moved to 478, 1500 at time 1607965737546
Moved to 477, 1499 at time 1607965737922
Moved to 476, 1498 at time 1607965738345
Moved to 475, 1497 at time 1607965738726
Moved to 474, 1496 at time 1607965738761
