Moved to 2001, 2138 at time 1607968070268
Moved to 2000, 2137 at time 1607968143827
Moved to 1999, 2136 at time 1607968143949
Moved to 1998, 2135 at time 1607968144076
Moved to 1997, 2134 at time 1607968144152
Moved to 1996, 2133 at time 1607968144208
Moved to 1995, 2132 at time 1607968144272
Moved to 1994, 2131 at time 1607968144340
Moved to 1993, 2130 at time 1607968144447
Moved to 1992, 2129 at time 1607968144527
Moved to 1991, 2128 at time 1607968144676
Moved to 1990, 2127 at time 1607968144978
Moved to 1989, 2126 at time 1607968145179
Moved to 1988, 2125 at time 1607968145261
Moved to 1987, 2124 at time 1607968145362
Moved to 1986, 2123 at time 1607968145514
Moved to 1985, 2122 at time 1607968145674
Moved to 1984, 2121 at time 1607968145814
Moved to 1983, 2120 at time 1607968145900
Moved to 1982, 2119 at time 1607968146009
Moved to 1981, 2118 at time 1607968146096
Moved to 1980, 2117 at time 1607968146271
Moved to 1979, 2116 at time 1607968146405
Moved to 1978, 2115 at time 1607968146643
Moved to 1977, 2114 at time 1607968146680
Moved to 1976, 2113 at time 1607968146900
Moved to 1975, 2112 at time 1607968146984
Moved to 1974, 2111 at time 1607968147108
Moved to 1973, 2110 at time 1607968147226
Moved to 1972, 2109 at time 1607968147389
Moved to 1971, 2108 at time 1607968147509
Moved to 1970, 2107 at time 1607968147663
Moved to 1969, 2106 at time 1607968147776
Moved to 1968, 2105 at time 1607968147903
Moved to 1967, 2104 at time 1607968148075
Moved to 1966, 2103 at time 1607968148364
Moved to 1965, 2102 at time 1607968148659
Moved to 1964, 2101 at time 1607968148973
Moved to 1963, 2100 at time 1607968149279
Moved to 1962, 2099 at time 1607968149441
Moved to 1961, 2098 at time 1607968149648
Moved to 1960, 2097 at time 1607968149820
Moved to 1959, 2096 at time 1607968149997
Moved to 1958, 2095 at time 1607968150159
Moved to 1957, 2094 at time 1607968150194
Moved to 1956, 2093 at time 1607968150258
Moved to 1955, 2092 at time 1607968150309
Moved to 1954, 2091 at time 1607968150401
Moved to 1953, 2090 at time 1607968150526
Moved to 1952, 2089 at time 1607968150654
Moved to 1951, 2088 at time 1607968150848
Moved to 1950, 2087 at time 1607968151009
Moved to 1949, 2086 at time 1607968151219
Moved to 1948, 2085 at time 1607968151364
