Attacked Unit@7fb67c16at position 656, 1298 at time 1607972168622
Got attacked at 546, 1360 by Unit@32a3852 at time 1607972168658
Got attacked at 546, 1360 by Unit@28c2aee8 at time 1607972168712
Attacked Unit@28c2aee8at position 715, 1306 at time 1607972170320
Got attacked at 546, 1360 by Unit@28c2aee8 at time 1607972170427
Attacked Unit@32a3852at position 695, 1303 at time 1607972172007
Got attacked at 546, 1360 by Unit@32a3852 at time 1607972172045
Attacked Unit@4b2e64d2at position 623, 1305 at time 1607972173702
Moved to 547, 1359 at time 1607972173737
Moved to 548, 1358 at time 1607972173772
Moved to 549, 1357 at time 1607972173840
Moved to 550, 1356 at time 1607972173910
Moved to 551, 1355 at time 1607972173944
Moved to 552, 1354 at time 1607972173979
Moved to 553, 1353 at time 1607972174013
Moved to 554, 1352 at time 1607972174047
Moved to 555, 1351 at time 1607972174082
Moved to 556, 1350 at time 1607972174117
Moved to 557, 1349 at time 1607972174153
Moved to 558, 1348 at time 1607972174189
Moved to 559, 1347 at time 1607972174256
Moved to 560, 1346 at time 1607972174291
Moved to 561, 1345 at time 1607972174326
Moved to 562, 1344 at time 1607972174361
Moved to 563, 1343 at time 1607972174395
Moved to 564, 1342 at time 1607972174429
Moved to 565, 1341 at time 1607972174463
Moved to 566, 1340 at time 1607972174498
Moved to 567, 1339 at time 1607972174533
Moved to 568, 1338 at time 1607972174571
Moved to 569, 1337 at time 1607972174605
Moved to 570, 1336 at time 1607972174640
Moved to 571, 1335 at time 1607972174675
Moved to 572, 1334 at time 1607972174711
Moved to 573, 1333 at time 1607972174747
Moved to 574, 1332 at time 1607972174781
Moved to 575, 1331 at time 1607972174815
Moved to 576, 1330 at time 1607972174849
Moved to 577, 1329 at time 1607972174884
Moved to 578, 1328 at time 1607972174919
Moved to 579, 1327 at time 1607972174955
Moved to 580, 1326 at time 1607972174989
Moved to 581, 1325 at time 1607972175024
Moved to 582, 1324 at time 1607972175058
Moved to 583, 1323 at time 1607972175092
Moved to 584, 1322 at time 1607972175128
Moved to 585, 1321 at time 1607972175161
Moved to 586, 1320 at time 1607972175195
Moved to 587, 1319 at time 1607972175231
Moved to 588, 1318 at time 1607972175265
Moved to 589, 1317 at time 1607972175299
Moved to 590, 1316 at time 1607972175334
Moved to 591, 1315 at time 1607972175368
Moved to 592, 1314 at time 1607972175403
Moved to 593, 1313 at time 1607972175438
Moved to 594, 1312 at time 1607972175472
Moved to 595, 1311 at time 1607972175506
Moved to 596, 1310 at time 1607972175540
Moved to 597, 1309 at time 1607972175574
Moved to 598, 1308 at time 1607972175608
Moved to 599, 1307 at time 1607972175642
Moved to 600, 1306 at time 1607972175678
Moved to 601, 1305 at time 1607972175712
Moved to 602, 1304 at time 1607972175746
Moved to 603, 1303 at time 1607972175780
Moved to 604, 1302 at time 1607972175814
Moved to 605, 1301 at time 1607972175848
Moved to 606, 1300 at time 1607972175882
Moved to 607, 1299 at time 1607972175916
Moved to 608, 1298 at time 1607972175952
Moved to 609, 1297 at time 1607972175987
Moved to 610, 1296 at time 1607972176021
Moved to 611, 1295 at time 1607972176055
Moved to 612, 1294 at time 1607972176089
Moved to 613, 1293 at time 1607972176123
Moved to 614, 1292 at time 1607972176157
Moved to 615, 1291 at time 1607972176191
Moved to 616, 1290 at time 1607972176225
Moved to 617, 1289 at time 1607972176259
Moved to 618, 1288 at time 1607972176294
Moved to 619, 1287 at time 1607972176328
Moved to 620, 1286 at time 1607972176362
Moved to 621, 1285 at time 1607972176396
Moved to 622, 1284 at time 1607972176430
Moved to 623, 1283 at time 1607972176464
Moved to 624, 1282 at time 1607972176498
Moved to 625, 1281 at time 1607972176532
Moved to 626, 1280 at time 1607972176568
Moved to 627, 1279 at time 1607972176603
Moved to 628, 1278 at time 1607972176638
Moved to 629, 1277 at time 1607972176672
Moved to 630, 1276 at time 1607972176706
Moved to 631, 1275 at time 1607972176740
Moved to 632, 1274 at time 1607972176774
Moved to 633, 1273 at time 1607972176808
Moved to 634, 1272 at time 1607972176842
Moved to 635, 1271 at time 1607972176876
Moved to 636, 1270 at time 1607972176910
Moved to 637, 1269 at time 1607972176945
