Moved to 1657, 1229 at time 1607967053394
Moved to 1656, 1228 at time 1607967053611
Moved to 1655, 1227 at time 1607967097508
Moved to 1654, 1226 at time 1607967097826
Moved to 1653, 1225 at time 1607967097997
Moved to 1652, 1224 at time 1607967098205
Moved to 1651, 1223 at time 1607967098367
Moved to 1650, 1222 at time 1607967098612
Moved to 1649, 1221 at time 1607967098871
Moved to 1648, 1220 at time 1607967099432
Moved to 1647, 1219 at time 1607967100015
Moved to 1646, 1218 at time 1607967100270
Moved to 1645, 1217 at time 1607967100521
Moved to 1644, 1216 at time 1607967100694
Moved to 1643, 1215 at time 1607967100948
Moved to 1642, 1214 at time 1607967101374
Moved to 1641, 1213 at time 1607967101716
Moved to 1640, 1212 at time 1607967101915
Moved to 1639, 1211 at time 1607967102045
Moved to 1638, 1210 at time 1607967102343
Moved to 1637, 1209 at time 1607967102487
Moved to 1636, 1208 at time 1607967102653
Moved to 1635, 1207 at time 1607967102910
Moved to 1634, 1206 at time 1607967103182
Moved to 1633, 1205 at time 1607967103433
Moved to 1632, 1204 at time 1607967103647
Moved to 1631, 1203 at time 1607967103756
Moved to 1630, 1202 at time 1607967103922
Moved to 1629, 1201 at time 1607967104032
Moved to 1628, 1200 at time 1607967104297
Moved to 1627, 1199 at time 1607967104473
Moved to 1626, 1198 at time 1607967104615
Moved to 1625, 1197 at time 1607967104871
Moved to 1624, 1196 at time 1607967105075
Moved to 1623, 1195 at time 1607967105180
Moved to 1622, 1194 at time 1607967105383
Moved to 1621, 1193 at time 1607967105828
Moved to 1620, 1192 at time 1607967106272
Moved to 1619, 1191 at time 1607967106532
Moved to 1618, 1190 at time 1607967106636
Moved to 1617, 1189 at time 1607967106958
Moved to 1616, 1188 at time 1607967107340
Moved to 1615, 1187 at time 1607967107529
Moved to 1614, 1186 at time 1607967107686
Moved to 1613, 1185 at time 1607967107944
Moved to 1612, 1184 at time 1607967108097
Moved to 1611, 1183 at time 1607967108317
Moved to 1610, 1182 at time 1607967108437
Moved to 1609, 1181 at time 1607967108576
Moved to 1608, 1180 at time 1607967108772
Moved to 1607, 1179 at time 1607967108892
Moved to 1606, 1178 at time 1607967109162
Moved to 1605, 1177 at time 1607967109315
Moved to 1604, 1176 at time 1607967109567
Moved to 1603, 1175 at time 1607967109782
Moved to 1602, 1174 at time 1607967109967
Moved to 1601, 1173 at time 1607967110212
Moved to 1600, 1172 at time 1607967110752
Moved to 1599, 1171 at time 1607967111040
Moved to 1598, 1170 at time 1607967111168
Moved to 1597, 1169 at time 1607967111489
Moved to 1596, 1168 at time 1607967111600
Moved to 1595, 1167 at time 1607967111890
Moved to 1594, 1166 at time 1607967112095
Moved to 1593, 1165 at time 1607967112199
Moved to 1592, 1164 at time 1607967112601
Moved to 1591, 1163 at time 1607967112900
Moved to 1590, 1162 at time 1607967113016
Moved to 1589, 1161 at time 1607967113120
Moved to 1588, 1160 at time 1607967113644
Moved to 1587, 1159 at time 1607967114034
Moved to 1586, 1158 at time 1607967114549
Moved to 1585, 1157 at time 1607967114888
Moved to 1584, 1156 at time 1607967115403
Moved to 1583, 1155 at time 1607967115623
Moved to 1582, 1154 at time 1607967115883
Moved to 1581, 1153 at time 1607967116113
Moved to 1580, 1152 at time 1607967116526
Moved to 1579, 1151 at time 1607967116867
Moved to 1578, 1150 at time 1607967117004
Moved to 1577, 1149 at time 1607967117380
Moved to 1576, 1148 at time 1607967117542
Moved to 1575, 1147 at time 1607967117954
Moved to 1574, 1146 at time 1607967118302
Moved to 1573, 1145 at time 1607967118713
Moved to 1572, 1144 at time 1607967118976
Moved to 1571, 1143 at time 1607967119427
Moved to 1570, 1142 at time 1607967119677
Moved to 1569, 1141 at time 1607967119870
Moved to 1568, 1140 at time 1607967120127
Moved to 1567, 1139 at time 1607967120263
Moved to 1566, 1138 at time 1607967120432
Moved to 1565, 1137 at time 1607967120600
Moved to 1564, 1136 at time 1607967120718
Moved to 1563, 1135 at time 1607967120925
Moved to 1562, 1134 at time 1607967121122
Moved to 1561, 1133 at time 1607967121306
Moved to 1560, 1132 at time 1607967121429
Moved to 1559, 1131 at time 1607967121616
Moved to 1558, 1130 at time 1607967121792
Moved to 1557, 1129 at time 1607967121965
Moved to 1556, 1128 at time 1607967122114
Moved to 1555, 1127 at time 1607967122282
Moved to 1554, 1126 at time 1607967122456
Moved to 1553, 1125 at time 1607967122631
Moved to 1552, 1124 at time 1607967122761
Moved to 1551, 1123 at time 1607967122940
Moved to 1550, 1122 at time 1607967123079
Moved to 1549, 1121 at time 1607967123250
Moved to 1548, 1120 at time 1607967123353
Moved to 1547, 1119 at time 1607967123632
Moved to 1546, 1118 at time 1607967124062
Moved to 1545, 1117 at time 1607967124293
Moved to 1544, 1116 at time 1607967124465
Moved to 1543, 1115 at time 1607967124583
Moved to 1542, 1114 at time 1607967124795
Moved to 1541, 1113 at time 1607967124972
Moved to 1540, 1112 at time 1607967125122
Moved to 1539, 1111 at time 1607967125250
Moved to 1538, 1110 at time 1607967125388
Moved to 1537, 1109 at time 1607967125504
Moved to 1536, 1108 at time 1607967125666
Moved to 1535, 1107 at time 1607967125804
Moved to 1534, 1106 at time 1607967125948
Moved to 1533, 1105 at time 1607967126272
Moved to 1532, 1104 at time 1607967126566
Moved to 1531, 1103 at time 1607967126697
Moved to 1530, 1102 at time 1607967126957
Moved to 1529, 1101 at time 1607967127289
Moved to 1528, 1100 at time 1607967127711
Moved to 1527, 1099 at time 1607967128068
Moved to 1526, 1098 at time 1607967128173
Moved to 1525, 1097 at time 1607967128400
Moved to 1524, 1096 at time 1607967128563
