Moved to 120, 857 at time 1607904712094
Moved to 119, 856 at time 1607904712228
Moved to 118, 855 at time 1607904712432
Moved to 117, 854 at time 1607904712510
Moved to 116, 853 at time 1607904712648
Moved to 115, 852 at time 1607904712768
Moved to 114, 851 at time 1607904712902
Moved to 113, 850 at time 1607904713005
Moved to 112, 849 at time 1607904713117
Moved to 111, 848 at time 1607904713225
Moved to 110, 847 at time 1607904713316
Moved to 109, 846 at time 1607904725353
Moved to 108, 845 at time 1607904725364
Moved to 107, 844 at time 1607904725415
Moved to 106, 843 at time 1607904725431
Moved to 105, 842 at time 1607904725549
Moved to 104, 841 at time 1607904725632
Moved to 103, 840 at time 1607904725673
Moved to 102, 839 at time 1607904725764
Moved to 101, 838 at time 1607904725876
Moved to 100, 837 at time 1607904725949
Got attacked at 100, 593 by Unit@5490bf59 at time 1607904758330
Got attacked at 100, 512 by Unit@5490bf59 at time 1607904760599
Got attacked at 100, 507 by Unit@f6dfc02 at time 1607904760712
Got attacked at 100, 504 by Unit@d279a1e at time 1607904760800
Got attacked at 100, 460 by Unit@d279a1e at time 1607904761949
Got attacked at 100, 413 by Unit@f6dfc02 at time 1607904763040
Got attacked at 100, 264 by Unit@232c92ba at time 1607904765248
Got attacked at 100, 184 by Unit@5490bf59 at time 1607904766204
Attacked Unit@7d086d2at position 100, 100 at time 1607904766266
Got attacked at 121, 293 by Unit@d279a1e at time 1607904767586
