Moved to 2170, 2257 at time 1607969349713
Moved to 2169, 2256 at time 1607969349802
Moved to 2168, 2255 at time 1607969394795
Moved to 2167, 2254 at time 1607969394838
Moved to 2166, 2253 at time 1607969394896
Moved to 2165, 2252 at time 1607969395007
Moved to 2164, 2251 at time 1607969395081
Moved to 2163, 2250 at time 1607969395272
Moved to 2162, 2249 at time 1607969395575
Moved to 2161, 2248 at time 1607969395782
Moved to 2160, 2247 at time 1607969396017
Moved to 2159, 2246 at time 1607969396115
Moved to 2158, 2245 at time 1607969396356
Moved to 2157, 2244 at time 1607969396402
Moved to 2156, 2243 at time 1607969396714
Moved to 2155, 2242 at time 1607969396822
Moved to 2154, 2241 at time 1607969396882
Moved to 2153, 2240 at time 1607969396949
Moved to 2152, 2239 at time 1607969397076
Moved to 2151, 2238 at time 1607969397186
Moved to 2150, 2237 at time 1607969397326
Moved to 2149, 2236 at time 1607969397577
Moved to 2148, 2235 at time 1607969397622
Moved to 2147, 2234 at time 1607969397934
Moved to 2146, 2233 at time 1607969398158
Moved to 2145, 2232 at time 1607969398454
Moved to 2144, 2231 at time 1607969398662
Moved to 2143, 2230 at time 1607969398783
Moved to 2142, 2229 at time 1607969398851
Moved to 2141, 2228 at time 1607969399102
Moved to 2140, 2227 at time 1607969399178
Moved to 2139, 2226 at time 1607969399214
Moved to 2138, 2225 at time 1607969399309
Moved to 2137, 2224 at time 1607969399350
Moved to 2136, 2223 at time 1607969399465
Moved to 2135, 2222 at time 1607969399562
Moved to 2134, 2221 at time 1607969399613
Moved to 2133, 2220 at time 1607969399692
Moved to 2132, 2219 at time 1607969399745
Moved to 2131, 2218 at time 1607969399846
Moved to 2130, 2217 at time 1607969399928
Moved to 2129, 2216 at time 1607969399999
Moved to 2128, 2215 at time 1607969400125
Moved to 2127, 2214 at time 1607969400181
Moved to 2126, 2213 at time 1607969400252
Moved to 2125, 2212 at time 1607969400356
Moved to 2124, 2211 at time 1607969400400
Moved to 2123, 2210 at time 1607969400435
Moved to 2122, 2209 at time 1607969400522
Moved to 2121, 2208 at time 1607969400557
Moved to 2120, 2207 at time 1607969400608
Moved to 2119, 2206 at time 1607969400700
Moved to 2118, 2205 at time 1607969400782
Moved to 2117, 2204 at time 1607969400820
Moved to 2116, 2203 at time 1607969400922
Moved to 2115, 2202 at time 1607969401124
Moved to 2114, 2201 at time 1607969401412
Moved to 2113, 2200 at time 1607969401668
Moved to 2112, 2199 at time 1607969401923
Moved to 2111, 2198 at time 1607969402170
Moved to 2110, 2197 at time 1607969402277
Moved to 2109, 2196 at time 1607969402460
Moved to 2108, 2195 at time 1607969402550
Moved to 2107, 2194 at time 1607969402765
Moved to 2106, 2193 at time 1607969402834
Moved to 2105, 2192 at time 1607969403059
Moved to 2104, 2191 at time 1607969403129
Moved to 2103, 2190 at time 1607969403254
