Moved to 1118, 193 at time 1607968586195
Moved to 1117, 192 at time 1607968586353
Moved to 1116, 191 at time 1607968622465
Moved to 1115, 190 at time 1607968622477
Moved to 1114, 189 at time 1607968622516
Moved to 1113, 188 at time 1607968622544
Moved to 1112, 187 at time 1607968622681
Moved to 1111, 186 at time 1607968622721
Moved to 1110, 185 at time 1607968622842
Moved to 1109, 184 at time 1607968622865
Moved to 1108, 183 at time 1607968622978
Moved to 1107, 182 at time 1607968623116
Moved to 1106, 181 at time 1607968623364
Moved to 1105, 180 at time 1607968623392
Moved to 1104, 179 at time 1607968623760
Moved to 1103, 178 at time 1607968623825
Moved to 1102, 177 at time 1607968624255
Moved to 1101, 176 at time 1607968624360
Moved to 1100, 175 at time 1607968624745
Moved to 1099, 174 at time 1607968624815
Moved to 1098, 173 at time 1607968624828
Moved to 1097, 172 at time 1607968625126
Moved to 1096, 171 at time 1607968625181
Got attacked at 1096, 171 by Unit@3fe1a0ee at time 1607968625474
Moved to 1095, 170 at time 1607968625489
Moved to 1094, 169 at time 1607968625535
Moved to 1093, 168 at time 1607968625762
Moved to 1092, 167 at time 1607968625804
Moved to 1091, 166 at time 1607968625971
Moved to 1090, 165 at time 1607968626042
Moved to 1089, 164 at time 1607968626284
Moved to 1088, 163 at time 1607968626336
Got attacked at 1088, 163 by Unit@2f793617 at time 1607968626360
Moved to 1087, 162 at time 1607968626504
Moved to 1086, 161 at time 1607968626616
Moved to 1085, 160 at time 1607968626828
Got attacked at 1085, 160 by Unit@3fe1a0ee at time 1607968626877
Moved to 1084, 159 at time 1607968627003
Moved to 1083, 158 at time 1607968627109
Moved to 1082, 157 at time 1607968627230
Moved to 1081, 156 at time 1607968627242
Moved to 1080, 155 at time 1607968627322
Moved to 1079, 154 at time 1607968627333
Moved to 1078, 153 at time 1607968627403
Moved to 1077, 152 at time 1607968627481
Moved to 1076, 151 at time 1607968627583
Moved to 1075, 150 at time 1607968627645
Moved to 1074, 149 at time 1607968627728
Moved to 1073, 148 at time 1607968627783
Moved to 1072, 147 at time 1607968627810
Moved to 1071, 146 at time 1607968627864
Moved to 1070, 145 at time 1607968627887
Moved to 1069, 144 at time 1607968627928
Moved to 1068, 143 at time 1607968627960
Moved to 1067, 142 at time 1607968627994
Moved to 1066, 141 at time 1607968628039
Moved to 1065, 140 at time 1607968628129
Moved to 1064, 139 at time 1607968628141
Moved to 1063, 138 at time 1607968628206
Moved to 1062, 137 at time 1607968628218
Moved to 1061, 136 at time 1607968628260
Moved to 1060, 135 at time 1607968628279
Moved to 1059, 134 at time 1607968628323
Moved to 1058, 133 at time 1607968628340
Moved to 1057, 132 at time 1607968628376
Moved to 1056, 131 at time 1607968628388
Moved to 1055, 130 at time 1607968628425
Moved to 1054, 129 at time 1607968628472
Moved to 1053, 128 at time 1607968628510
Moved to 1052, 127 at time 1607968628539
Moved to 1051, 126 at time 1607968628573
Moved to 1050, 125 at time 1607968628605
Got attacked at 1050, 125 by Unit@2f793617 at time 1607968628645
Moved to 1049, 124 at time 1607968628661
Moved to 1048, 123 at time 1607968628715
Moved to 1047, 122 at time 1607968628790
Moved to 1046, 121 at time 1607968628880
Moved to 1045, 120 at time 1607968628939
Moved to 1044, 119 at time 1607968628987
Moved to 1043, 118 at time 1607968629023
Moved to 1042, 117 at time 1607968629084
Moved to 1041, 116 at time 1607968629145
Moved to 1040, 115 at time 1607968629196
Moved to 1039, 114 at time 1607968629247
Moved to 1038, 113 at time 1607968629375
Moved to 1037, 112 at time 1607968629413
Moved to 1036, 111 at time 1607968629466
Moved to 1035, 110 at time 1607968629557
Moved to 1034, 109 at time 1607968629647
Moved to 1033, 108 at time 1607968629758
Moved to 1032, 107 at time 1607968629841
Got attacked at 1032, 107 by Unit@2f793617 at time 1607968629850
Moved to 1031, 106 at time 1607968629981
Moved to 1030, 105 at time 1607968630027
Moved to 1029, 104 at time 1607968630069
Moved to 1028, 103 at time 1607968630088
Moved to 1027, 102 at time 1607968630123
Moved to 1026, 101 at time 1607968630139
Moved to 1025, 100 at time 1607968630179
Got attacked at 993, 100 by Unit@3fe1a0ee at time 1607968632658
Got attacked at 862, 100 by Unit@2f793617 at time 1607968709892
Got attacked at 837, 100 by Unit@2f793617 at time 1607968712505
Got attacked at 775, 100 by Unit@2f793617 at time 1607968717417
Got attacked at 691, 100 by Unit@2f793617 at time 1607968725849
Got attacked at 674, 100 by Unit@3fe1a0ee at time 1607968727128
Got attacked at 645, 100 by Unit@3fe1a0ee at time 1607968729572
Got attacked at 644, 100 by Unit@5b6ea99c at time 1607968729648
Got attacked at 525, 100 by Unit@63fb6848 at time 1607968732773
Got attacked at 523, 100 by Unit@2f793617 at time 1607968732813
Got attacked at 478, 100 by Unit@3f62fa47 at time 1607968734210
Got attacked at 459, 100 by Unit@7b04e36b at time 1607968735060
Got attacked at 432, 100 by Unit@7b04e36b at time 1607968736280
Got attacked at 406, 100 by Unit@38059512 at time 1607968736719
Got attacked at 360, 100 by Unit@5b6ea99c at time 1607968738651
Got attacked at 278, 100 by Unit@38059512 at time 1607968774867
Got attacked at 266, 100 by Unit@3f62fa47 at time 1607968776011
Got attacked at 241, 100 by Unit@63fb6848 at time 1607968778518
Attacked Unit@4289c7f4at position 100, 100 at time 1607968793327
Got attacked at 191, 112 by Unit@5b6ea99c at time 1607968794205
Got attacked at 286, 194 by Unit@38059512 at time 1607968797743
Got attacked at 299, 194 by Unit@3f62fa47 at time 1607968798809
Got attacked at 299, 194 by Unit@7b04e36b at time 1607968798815
Got attacked at 300, 194 by Unit@33ac6f79 at time 1607968798917
Got attacked at 389, 194 by Unit@33ac6f79 at time 1607968801177
Got attacked at 462, 194 by Unit@3f62fa47 at time 1607968803353
Attacked Unit@4289c7f4at position 100, 100 at time 1607968878790
Died at 1119, 194 at time 1607968878790
