Moved to 484, 798 at time 1607903508283
Moved to 483, 797 at time 1607903508308
Moved to 482, 796 at time 1607903508335
Moved to 481, 795 at time 1607903508355
Moved to 480, 794 at time 1607903508376
Moved to 479, 793 at time 1607903508388
Moved to 478, 792 at time 1607903508399
Moved to 477, 791 at time 1607903508412
Moved to 476, 790 at time 1607903508423
Moved to 475, 789 at time 1607903508435
Moved to 474, 788 at time 1607903508453
Moved to 473, 787 at time 1607903508464
Moved to 472, 786 at time 1607903508478
Moved to 471, 785 at time 1607903508506
Moved to 470, 784 at time 1607903508518
Moved to 469, 783 at time 1607903508531
Moved to 468, 782 at time 1607903508542
Moved to 467, 781 at time 1607903508553
Moved to 466, 780 at time 1607903508575
Moved to 465, 779 at time 1607903508587
Moved to 464, 778 at time 1607903508598
Moved to 463, 777 at time 1607903508610
Moved to 462, 776 at time 1607903508622
Moved to 461, 775 at time 1607903508635
Moved to 460, 774 at time 1607903508648
Moved to 459, 773 at time 1607903508662
Moved to 458, 772 at time 1607903508675
Moved to 457, 771 at time 1607903508686
Moved to 456, 770 at time 1607903508697
Moved to 455, 769 at time 1607903508708
Moved to 454, 768 at time 1607903508719
Moved to 453, 767 at time 1607903508730
Moved to 452, 766 at time 1607903508742
Moved to 451, 765 at time 1607903508755
Moved to 450, 764 at time 1607903508776
Moved to 449, 763 at time 1607903508787
Moved to 448, 762 at time 1607903508798
Moved to 447, 761 at time 1607903508810
Moved to 446, 760 at time 1607903508821
Moved to 445, 759 at time 1607903508833
Moved to 444, 758 at time 1607903508846
Moved to 443, 757 at time 1607903508859
Moved to 442, 756 at time 1607903508870
Moved to 441, 755 at time 1607903508882
Moved to 440, 754 at time 1607903508894
Moved to 439, 753 at time 1607903508905
Moved to 438, 752 at time 1607903508917
Moved to 437, 751 at time 1607903508929
Moved to 436, 750 at time 1607903508940
Moved to 435, 749 at time 1607903508951
Moved to 434, 748 at time 1607903508962
Moved to 433, 747 at time 1607903508975
Moved to 432, 746 at time 1607903508986
Moved to 431, 745 at time 1607903508998
Moved to 430, 744 at time 1607903509009
Moved to 429, 743 at time 1607903509020
Moved to 428, 742 at time 1607903509031
Moved to 427, 741 at time 1607903509043
