Moved to 628, 1248 at time 1607965644619
Moved to 627, 1247 at time 1607965644887
Moved to 626, 1246 at time 1607965645151
Moved to 625, 1245 at time 1607965645521
Moved to 624, 1244 at time 1607965645940
Moved to 623, 1243 at time 1607965646446
Moved to 622, 1242 at time 1607965707907
Moved to 621, 1241 at time 1607965708214
Moved to 620, 1240 at time 1607965708442
Moved to 619, 1239 at time 1607965708700
Moved to 618, 1238 at time 1607965708951
Moved to 617, 1237 at time 1607965709166
Moved to 616, 1236 at time 1607965709298
Moved to 615, 1235 at time 1607965709516
Moved to 614, 1234 at time 1607965710256
Moved to 613, 1233 at time 1607965710460
Moved to 612, 1232 at time 1607965710756
Moved to 611, 1231 at time 1607965711284
Moved to 610, 1230 at time 1607965711776
Moved to 609, 1229 at time 1607965711899
Moved to 608, 1228 at time 1607965712439
Moved to 607, 1227 at time 1607965712834
Moved to 606, 1226 at time 1607965713269
Moved to 605, 1225 at time 1607965713350
Moved to 604, 1224 at time 1607965713965
Moved to 603, 1223 at time 1607965714275
Moved to 602, 1222 at time 1607965714812
Moved to 601, 1221 at time 1607965715154
Moved to 600, 1220 at time 1607965715262
Moved to 599, 1219 at time 1607965715452
Moved to 598, 1218 at time 1607965715487
Moved to 597, 1217 at time 1607965715685
Moved to 596, 1216 at time 1607965715885
Moved to 595, 1215 at time 1607965716375
Moved to 594, 1214 at time 1607965716793
Moved to 593, 1213 at time 1607965716976
Moved to 592, 1212 at time 1607965717046
Moved to 591, 1211 at time 1607965717221
Moved to 590, 1210 at time 1607965717412
Moved to 589, 1209 at time 1607965717577
Moved to 588, 1208 at time 1607965717726
Moved to 587, 1207 at time 1607965718090
Moved to 586, 1206 at time 1607965718153
Moved to 585, 1205 at time 1607965718533
Moved to 584, 1204 at time 1607965718738
Moved to 583, 1203 at time 1607965718837
Moved to 582, 1202 at time 1607965718888
Moved to 581, 1201 at time 1607965719023
Moved to 580, 1200 at time 1607965719142
Moved to 579, 1199 at time 1607965719361
Moved to 578, 1198 at time 1607965719497
Moved to 577, 1197 at time 1607965719822
Moved to 576, 1196 at time 1607965720009
Moved to 575, 1195 at time 1607965720374
Moved to 574, 1194 at time 1607965720549
Moved to 573, 1193 at time 1607965720885
Moved to 572, 1192 at time 1607965721071
Moved to 571, 1191 at time 1607965721406
Moved to 570, 1190 at time 1607965721493
Moved to 569, 1189 at time 1607965721606
Moved to 570, 1188 at time 1607965721664
Moved to 569, 1187 at time 1607965721771
Moved to 568, 1186 at time 1607965721832
Moved to 569, 1185 at time 1607965721922
Moved to 568, 1184 at time 1607965721966
Moved to 567, 1183 at time 1607965722065
Moved to 566, 1182 at time 1607965722113
Moved to 567, 1181 at time 1607965722190
Moved to 566, 1180 at time 1607965722248
Moved to 565, 1179 at time 1607965722323
Moved to 564, 1178 at time 1607965722363
Moved to 563, 1177 at time 1607965722622
Moved to 562, 1176 at time 1607965722786
Moved to 561, 1175 at time 1607965723052
Moved to 560, 1174 at time 1607965723255
Moved to 561, 1173 at time 1607965723291
Moved to 560, 1172 at time 1607965723431
Moved to 561, 1171 at time 1607965723640
Moved to 562, 1170 at time 1607965723903
Moved to 561, 1169 at time 1607965724173
Moved to 562, 1168 at time 1607965724391
Moved to 563, 1167 at time 1607965724658
Moved to 562, 1166 at time 1607965724887
Moved to 561, 1165 at time 1607965725146
Moved to 562, 1164 at time 1607965725369
Moved to 561, 1163 at time 1607965725600
Moved to 560, 1162 at time 1607965725819
Moved to 561, 1161 at time 1607965726058
Moved to 562, 1160 at time 1607965726285
Moved to 561, 1159 at time 1607965726525
Moved to 560, 1158 at time 1607965726739
Moved to 559, 1157 at time 1607965726970
Moved to 558, 1156 at time 1607965727167
Moved to 557, 1155 at time 1607965727396
Moved to 556, 1154 at time 1607965727628
Moved to 557, 1153 at time 1607965727869
Moved to 556, 1152 at time 1607965728089
Moved to 555, 1151 at time 1607965728319
Moved to 556, 1150 at time 1607965728353
Moved to 555, 1149 at time 1607965728496
Moved to 556, 1148 at time 1607965728816
Moved to 555, 1147 at time 1607965728984
Moved to 556, 1146 at time 1607965729286
Moved to 555, 1145 at time 1607965729444
Moved to 554, 1144 at time 1607965729570
Moved to 553, 1143 at time 1607965729610
Moved to 552, 1142 at time 1607965729691
