Moved to 2229, 435 at time 1607969349813
Moved to 2228, 434 at time 1607969394817
Moved to 2227, 433 at time 1607969394919
Moved to 2226, 432 at time 1607969394988
Moved to 2225, 431 at time 1607969395098
Moved to 2224, 430 at time 1607969395214
Moved to 2223, 429 at time 1607969395312
Moved to 2222, 428 at time 1607969395663
Moved to 2221, 427 at time 1607969395737
Moved to 2220, 426 at time 1607969396053
Moved to 2219, 425 at time 1607969396396
Moved to 2218, 424 at time 1607969396760
Moved to 2217, 423 at time 1607969396806
Moved to 2216, 422 at time 1607969396906
Moved to 2215, 421 at time 1607969397051
Moved to 2214, 420 at time 1607969397205
Moved to 2213, 419 at time 1607969397305
Moved to 2212, 418 at time 1607969397343
Moved to 2211, 417 at time 1607969397546
Moved to 2210, 416 at time 1607969397656
Moved to 2209, 415 at time 1607969397900
Moved to 2208, 414 at time 1607969397973
Moved to 2207, 413 at time 1607969398079
Moved to 2206, 412 at time 1607969398221
Moved to 2205, 411 at time 1607969398408
Moved to 2204, 410 at time 1607969398538
Moved to 2203, 409 at time 1607969398639
Moved to 2202, 408 at time 1607969398823
Moved to 2201, 407 at time 1607969399060
Moved to 2200, 406 at time 1607969399220
Moved to 2199, 405 at time 1607969399300
Moved to 2198, 404 at time 1607969399358
Moved to 2197, 403 at time 1607969399451
Moved to 2196, 402 at time 1607969399528
Moved to 2195, 401 at time 1607969399586
Moved to 2194, 400 at time 1607969399655
Moved to 2193, 399 at time 1607969399713
Moved to 2192, 398 at time 1607969399803
Moved to 2191, 397 at time 1607969399874
Moved to 2190, 396 at time 1607969400075
Moved to 2189, 395 at time 1607969400218
Moved to 2188, 394 at time 1607969400314
Moved to 2187, 393 at time 1607969400422
Moved to 2186, 392 at time 1607969400531
Moved to 2185, 391 at time 1607969400631
Moved to 2184, 390 at time 1607969400723
Moved to 2183, 389 at time 1607969400758
Moved to 2182, 388 at time 1607969400842
Moved to 2181, 387 at time 1607969400900
Moved to 2180, 386 at time 1607969401036
Moved to 2179, 385 at time 1607969401247
Moved to 2178, 384 at time 1607969401557
Moved to 2177, 383 at time 1607969401799
Moved to 2176, 382 at time 1607969401833
Moved to 2175, 381 at time 1607969402025
Moved to 2174, 380 at time 1607969402078
Moved to 2173, 379 at time 1607969402328
Moved to 2172, 378 at time 1607969402385
Moved to 2171, 377 at time 1607969402637
Moved to 2170, 376 at time 1607969402680
Moved to 2169, 375 at time 1607969402718
Moved to 2168, 374 at time 1607969402884
