Moved to 2023, 2379 at time 1607969349825
Moved to 2022, 2378 at time 1607969394738
Moved to 2021, 2377 at time 1607969394875
Moved to 2020, 2376 at time 1607969394947
Moved to 2019, 2375 at time 1607969395036
Moved to 2018, 2374 at time 1607969395134
Moved to 2017, 2373 at time 1607969395416
Moved to 2016, 2372 at time 1607969395705
Moved to 2015, 2371 at time 1607969395862
Moved to 2014, 2370 at time 1607969395907
Moved to 2013, 2369 at time 1607969396307
Moved to 2012, 2368 at time 1607969396450
Moved to 2011, 2367 at time 1607969396632
Moved to 2010, 2366 at time 1607969396839
Moved to 2009, 2365 at time 1607969397063
Moved to 2008, 2364 at time 1607969397198
Moved to 2007, 2363 at time 1607969397314
Moved to 2006, 2362 at time 1607969397603
Moved to 2005, 2361 at time 1607969397944
Moved to 2004, 2360 at time 1607969398233
Moved to 2003, 2359 at time 1607969398567
Moved to 2002, 2358 at time 1607969398623
Moved to 2001, 2357 at time 1607969398680
Moved to 2000, 2356 at time 1607969398739
Moved to 1999, 2355 at time 1607969398882
Moved to 1998, 2354 at time 1607969399149
Moved to 1997, 2353 at time 1607969399236
Moved to 1996, 2352 at time 1607969399271
Moved to 1995, 2351 at time 1607969399322
Moved to 1994, 2350 at time 1607969399411
Moved to 1993, 2349 at time 1607969399484
Moved to 1992, 2348 at time 1607969399564
Moved to 1991, 2347 at time 1607969399612
Moved to 1990, 2346 at time 1607969399695
Moved to 1989, 2345 at time 1607969399741
Moved to 1988, 2344 at time 1607969399775
Moved to 1987, 2343 at time 1607969399822
Moved to 1986, 2342 at time 1607969399959
Moved to 1985, 2341 at time 1607969400160
Moved to 1984, 2340 at time 1607969400270
Moved to 1983, 2339 at time 1607969400341
Moved to 1982, 2338 at time 1607969400417
Moved to 1981, 2337 at time 1607969400538
Moved to 1980, 2336 at time 1607969400622
Moved to 1979, 2335 at time 1607969400686
Moved to 1978, 2334 at time 1607969400744
Moved to 1977, 2333 at time 1607969400794
Moved to 1976, 2332 at time 1607969400872
Moved to 1975, 2331 at time 1607969400947
Moved to 1974, 2330 at time 1607969401142
Moved to 1973, 2329 at time 1607969401398
Moved to 1972, 2328 at time 1607969401717
Moved to 1971, 2327 at time 1607969401893
Moved to 1970, 2326 at time 1607969402262
Moved to 1969, 2325 at time 1607969402483
Moved to 1968, 2324 at time 1607969402528
Moved to 1967, 2323 at time 1607969402781
Moved to 1966, 2322 at time 1607969402823
Moved to 1965, 2321 at time 1607969403076
Moved to 1964, 2320 at time 1607969403120
Moved to 1963, 2319 at time 1607969403193
Moved to 1962, 2318 at time 1607969403334
Moved to 1961, 2317 at time 1607969403373
Moved to 1960, 2316 at time 1607969403540
Moved to 1959, 2315 at time 1607969403585
Moved to 1958, 2314 at time 1607969403622
Moved to 1957, 2313 at time 1607969403753
Moved to 1956, 2312 at time 1607969403858
Moved to 1955, 2311 at time 1607969404008
Moved to 1954, 2310 at time 1607969404320
Moved to 1953, 2309 at time 1607969404389
Moved to 1952, 2308 at time 1607969404560
Moved to 1951, 2307 at time 1607969404600
Moved to 1950, 2306 at time 1607969404747
Moved to 1949, 2305 at time 1607969404785
Moved to 1948, 2304 at time 1607969404908
Moved to 1947, 2303 at time 1607969404957
Moved to 1946, 2302 at time 1607969405104
Moved to 1945, 2301 at time 1607969405293
Moved to 1944, 2300 at time 1607969405449
Moved to 1943, 2299 at time 1607969405543
Moved to 1942, 2298 at time 1607969405611
Moved to 1941, 2297 at time 1607969405720
Moved to 1940, 2296 at time 1607969405887
Moved to 1939, 2295 at time 1607969406068
Moved to 1938, 2294 at time 1607969406150
Moved to 1937, 2293 at time 1607969406241
Moved to 1936, 2292 at time 1607969406330
Moved to 1935, 2291 at time 1607969406380
Moved to 1934, 2290 at time 1607969406479
Moved to 1933, 2289 at time 1607969406553
Moved to 1932, 2288 at time 1607969406646
Moved to 1931, 2287 at time 1607969406703
Moved to 1930, 2286 at time 1607969406740
Moved to 1929, 2285 at time 1607969406843
Moved to 1928, 2284 at time 1607969406910
Moved to 1927, 2283 at time 1607969406997
Moved to 1926, 2282 at time 1607969407063
Moved to 1925, 2281 at time 1607969407174
Moved to 1924, 2280 at time 1607969407288
Moved to 1923, 2279 at time 1607969407379
Moved to 1922, 2278 at time 1607969407444
Moved to 1921, 2277 at time 1607969407535
Moved to 1920, 2276 at time 1607969407569
Moved to 1919, 2275 at time 1607969407604
Moved to 1918, 2274 at time 1607969407713
Moved to 1917, 2273 at time 1607969407754
Moved to 1916, 2272 at time 1607969407904
Moved to 1915, 2271 at time 1607969407948
Moved to 1914, 2270 at time 1607969408013
Moved to 1913, 2269 at time 1607969408049
Moved to 1912, 2268 at time 1607969408107
Moved to 1911, 2267 at time 1607969408170
Moved to 1910, 2266 at time 1607969408226
Moved to 1909, 2265 at time 1607969408270
Moved to 1908, 2264 at time 1607969408355
Moved to 1907, 2263 at time 1607969408457
Moved to 1906, 2262 at time 1607969408610
Moved to 1905, 2261 at time 1607969408743
Moved to 1904, 2260 at time 1607969408855
Moved to 1903, 2259 at time 1607969408910
Moved to 1902, 2258 at time 1607969408977
Moved to 1901, 2257 at time 1607969409044
Moved to 1900, 2256 at time 1607969409087
Moved to 1899, 2255 at time 1607969409144
Moved to 1898, 2254 at time 1607969409190
Moved to 1897, 2253 at time 1607969409239
Moved to 1896, 2252 at time 1607969409273
Moved to 1895, 2251 at time 1607969409343
Moved to 1894, 2250 at time 1607969409385
Moved to 1893, 2249 at time 1607969409444
Moved to 1892, 2248 at time 1607969409493
Moved to 1891, 2247 at time 1607969409556
Moved to 1890, 2246 at time 1607969409601
Moved to 1889, 2245 at time 1607969409661
Moved to 1888, 2244 at time 1607969409729
Moved to 1887, 2243 at time 1607969409813
Moved to 1886, 2242 at time 1607969409891
Moved to 1885, 2241 at time 1607969409955
Moved to 1884, 2240 at time 1607969410009
Moved to 1883, 2239 at time 1607969410072
Moved to 1882, 2238 at time 1607969410110
Moved to 1881, 2237 at time 1607969410175
Moved to 1880, 2236 at time 1607969410232
Moved to 1879, 2235 at time 1607969410273
Moved to 1878, 2234 at time 1607969410357
Moved to 1877, 2233 at time 1607969410403
Moved to 1876, 2232 at time 1607969410468
Moved to 1875, 2231 at time 1607969410511
Moved to 1874, 2230 at time 1607969410565
Moved to 1873, 2229 at time 1607969410616
Moved to 1872, 2228 at time 1607969410703
Moved to 1871, 2227 at time 1607969410760
Moved to 1870, 2226 at time 1607969410794
Moved to 1869, 2225 at time 1607969410875
Moved to 1868, 2224 at time 1607969410981
Moved to 1867, 2223 at time 1607969411088
Moved to 1866, 2222 at time 1607969411127
Moved to 1865, 2221 at time 1607969411201
Moved to 1864, 2220 at time 1607969411290
Moved to 1863, 2219 at time 1607969411353
Moved to 1862, 2218 at time 1607969411413
Moved to 1861, 2217 at time 1607969411506
Moved to 1860, 2216 at time 1607969411688
Moved to 1859, 2215 at time 1607969411761
Moved to 1858, 2214 at time 1607969411795
Moved to 1857, 2213 at time 1607969411899
Moved to 1856, 2212 at time 1607969411974
Moved to 1855, 2211 at time 1607969412094
Moved to 1854, 2210 at time 1607969412304
Moved to 1853, 2209 at time 1607969412453
Moved to 1852, 2208 at time 1607969412637
Moved to 1851, 2207 at time 1607969412771
Moved to 1850, 2206 at time 1607969412969
Moved to 1849, 2205 at time 1607969413105
Moved to 1848, 2204 at time 1607969413426
Moved to 1847, 2203 at time 1607969413560
Moved to 1846, 2202 at time 1607969413650
Moved to 1845, 2201 at time 1607969413734
Moved to 1844, 2200 at time 1607969413850
Moved to 1843, 2199 at time 1607969413912
Moved to 1842, 2198 at time 1607969413980
Moved to 1841, 2197 at time 1607969414051
Moved to 1840, 2196 at time 1607969414102
Moved to 1839, 2195 at time 1607969414160
Moved to 1838, 2194 at time 1607969414208
Moved to 1837, 2193 at time 1607969414275
Moved to 1836, 2192 at time 1607969414454
Moved to 1835, 2191 at time 1607969414589
Moved to 1834, 2190 at time 1607969414754
Moved to 1833, 2189 at time 1607969414792
Moved to 1832, 2188 at time 1607969414827
Moved to 1831, 2187 at time 1607969414990
Moved to 1830, 2186 at time 1607969415115
Moved to 1829, 2185 at time 1607969415201
Moved to 1828, 2184 at time 1607969415275
Moved to 1827, 2183 at time 1607969415363
Moved to 1826, 2182 at time 1607969415439
Moved to 1825, 2181 at time 1607969415475
Moved to 1824, 2180 at time 1607969415635
Moved to 1823, 2179 at time 1607969415777
Moved to 1822, 2178 at time 1607969415851
Moved to 1821, 2177 at time 1607969416081
Moved to 1820, 2176 at time 1607969416405
Moved to 1819, 2175 at time 1607969416616
Moved to 1818, 2174 at time 1607969416838
Moved to 1817, 2173 at time 1607969416966
Moved to 1816, 2172 at time 1607969417052
Moved to 1815, 2171 at time 1607969417129
Moved to 1814, 2170 at time 1607969417187
Moved to 1813, 2169 at time 1607969417278
Moved to 1812, 2168 at time 1607969417335
Moved to 1811, 2167 at time 1607969417427
Moved to 1810, 2166 at time 1607969417523
Moved to 1809, 2165 at time 1607969417574
Moved to 1808, 2164 at time 1607969417632
Moved to 1807, 2163 at time 1607969417689
Moved to 1806, 2162 at time 1607969417801
Moved to 1805, 2161 at time 1607969417897
Moved to 1804, 2160 at time 1607969417947
Moved to 1803, 2159 at time 1607969418044
Moved to 1802, 2158 at time 1607969418081
Moved to 1801, 2157 at time 1607969418122
Moved to 1800, 2156 at time 1607969418252
Moved to 1799, 2155 at time 1607969418330
Moved to 1798, 2154 at time 1607969418372
Moved to 1797, 2153 at time 1607969418440
Moved to 1796, 2152 at time 1607969418513
Moved to 1795, 2151 at time 1607969418564
Moved to 1794, 2150 at time 1607969418665
Moved to 1793, 2149 at time 1607969418733
Moved to 1792, 2148 at time 1607969418836
Moved to 1791, 2147 at time 1607969418914
Moved to 1790, 2146 at time 1607969418949
Moved to 1789, 2145 at time 1607969418983
Moved to 1788, 2144 at time 1607969419047
Moved to 1787, 2143 at time 1607969419097
Moved to 1786, 2142 at time 1607969419177
Moved to 1785, 2141 at time 1607969419261
Moved to 1784, 2140 at time 1607969419313
Moved to 1783, 2139 at time 1607969419410
Moved to 1782, 2138 at time 1607969419459
Moved to 1781, 2137 at time 1607969419546
Moved to 1780, 2136 at time 1607969419648
Moved to 1779, 2135 at time 1607969419690
Moved to 1778, 2134 at time 1607969419755
Moved to 1777, 2133 at time 1607969419801
Moved to 1776, 2132 at time 1607969419915
Moved to 1775, 2131 at time 1607969419966
Moved to 1774, 2130 at time 1607969420024
Moved to 1773, 2129 at time 1607969420236
Moved to 1772, 2128 at time 1607969420438
Moved to 1771, 2127 at time 1607969420708
Moved to 1770, 2126 at time 1607969420918
Moved to 1769, 2125 at time 1607969420994
Moved to 1768, 2124 at time 1607969421119
Moved to 1767, 2123 at time 1607969421343
Moved to 1766, 2122 at time 1607969421377
Moved to 1765, 2121 at time 1607969421446
Moved to 1764, 2120 at time 1607969421528
Moved to 1763, 2119 at time 1607969421587
Moved to 1762, 2118 at time 1607969421664
Moved to 1761, 2117 at time 1607969421726
Moved to 1760, 2116 at time 1607969421816
Moved to 1759, 2115 at time 1607969421882
Moved to 1758, 2114 at time 1607969422004
Moved to 1757, 2113 at time 1607969422114
Moved to 1756, 2112 at time 1607969422283
Moved to 1755, 2111 at time 1607969422422
Moved to 1754, 2110 at time 1607969422597
Moved to 1753, 2109 at time 1607969422699
Moved to 1752, 2108 at time 1607969422740
Moved to 1751, 2107 at time 1607969422834
Moved to 1750, 2106 at time 1607969423016
Moved to 1749, 2105 at time 1607969423110
Moved to 1748, 2104 at time 1607969423371
Moved to 1747, 2103 at time 1607969423623
Moved to 1746, 2102 at time 1607969423679
Moved to 1745, 2101 at time 1607969423943
Moved to 1744, 2100 at time 1607969424245
Moved to 1743, 2099 at time 1607969424472
Moved to 1742, 2098 at time 1607969424704
Moved to 1741, 2097 at time 1607969424821
Moved to 1740, 2096 at time 1607969424863
Moved to 1739, 2095 at time 1607969424978
Moved to 1738, 2094 at time 1607969425014
Moved to 1737, 2093 at time 1607969425130
Moved to 1736, 2092 at time 1607969425183
Moved to 1735, 2091 at time 1607969425308
Moved to 1734, 2090 at time 1607969425342
Moved to 1733, 2089 at time 1607969425612
