Moved to 1245, 2412 at time 1607967053296
Moved to 1244, 2411 at time 1607967053425
Moved to 1243, 2410 at time 1607967053779
Moved to 1242, 2409 at time 1607967097433
Moved to 1241, 2408 at time 1607967097738
Moved to 1240, 2407 at time 1607967097950
Moved to 1239, 2406 at time 1607967098124
Moved to 1238, 2405 at time 1607967098328
Moved to 1237, 2404 at time 1607967098513
Moved to 1236, 2403 at time 1607967098766
Moved to 1235, 2402 at time 1607967099086
Moved to 1234, 2401 at time 1607967099764
Moved to 1233, 2400 at time 1607967099846
Moved to 1232, 2399 at time 1607967099880
Moved to 1231, 2398 at time 1607967100114
Moved to 1230, 2397 at time 1607967100241
Moved to 1229, 2396 at time 1607967100580
Moved to 1228, 2395 at time 1607967100615
Moved to 1227, 2394 at time 1607967100663
Moved to 1226, 2393 at time 1607967101142
Moved to 1225, 2392 at time 1607967101278
Moved to 1224, 2391 at time 1607967101773
Moved to 1223, 2390 at time 1607967101949
Moved to 1222, 2389 at time 1607967102071
Moved to 1221, 2388 at time 1607967102278
Moved to 1220, 2387 at time 1607967102313
Moved to 1219, 2386 at time 1607967102348
Moved to 1218, 2385 at time 1607967102543
Moved to 1217, 2384 at time 1607967102578
Moved to 1216, 2383 at time 1607967102622
Moved to 1215, 2382 at time 1607967103153
Moved to 1214, 2381 at time 1607967103336
Moved to 1213, 2380 at time 1607967103517
Moved to 1212, 2379 at time 1607967103630
Moved to 1211, 2378 at time 1607967103664
Moved to 1210, 2377 at time 1607967103800
Moved to 1209, 2376 at time 1607967103949
Moved to 1208, 2375 at time 1607967104165
Moved to 1207, 2374 at time 1607967104277
Moved to 1206, 2373 at time 1607967104531
Moved to 1205, 2372 at time 1607967104622
Moved to 1204, 2371 at time 1607967104656
Moved to 1203, 2370 at time 1607967104887
Moved to 1202, 2369 at time 1607967105139
Moved to 1201, 2368 at time 1607967105441
Moved to 1200, 2367 at time 1607967105829
Moved to 1199, 2366 at time 1607967105975
Moved to 1198, 2365 at time 1607967106151
Moved to 1197, 2364 at time 1607967106525
