Moved to 2123, 926 at time 1607967053745
Moved to 2122, 925 at time 1607967097301
Moved to 2121, 924 at time 1607967097312
Moved to 2120, 923 at time 1607967097394
Moved to 2119, 922 at time 1607967097495
Moved to 2118, 921 at time 1607967097669
Moved to 2117, 920 at time 1607967097781
Moved to 2116, 919 at time 1607967097934
Moved to 2115, 918 at time 1607967097945
Moved to 2114, 917 at time 1607967097979
Moved to 2113, 916 at time 1607967098120
Moved to 2112, 915 at time 1607967098162
Moved to 2111, 914 at time 1607967098313
Moved to 2110, 913 at time 1607967098355
Got attacked at 2110, 913 by Unit@e4b002 at time 1607967098444
Moved to 2109, 912 at time 1607967098498
Moved to 2108, 911 at time 1607967098722
Moved to 2107, 910 at time 1607967098853
Moved to 2106, 909 at time 1607967099034
Moved to 2105, 908 at time 1607967099173
Moved to 2104, 907 at time 1607967099926
Got attacked at 2104, 907 by Unit@e4b002 at time 1607967100007
Moved to 2103, 906 at time 1607967100127
Moved to 2102, 905 at time 1607967100249
Moved to 2101, 904 at time 1607967100597
Moved to 2100, 903 at time 1607967100713
Moved to 2099, 902 at time 1607967101099
Moved to 2098, 901 at time 1607967101336
Moved to 2097, 900 at time 1607967101347
Moved to 2096, 899 at time 1607967101758
Got attacked at 2096, 899 by Unit@e4b002 at time 1607967101769
Moved to 2095, 898 at time 1607967101824
Moved to 2094, 897 at time 1607967101898
Moved to 2093, 896 at time 1607967101966
Moved to 2092, 895 at time 1607967102078
Moved to 2091, 894 at time 1607967102158
Moved to 2090, 893 at time 1607967102237
Moved to 2089, 892 at time 1607967102558
Moved to 2088, 891 at time 1607967103012
Moved to 2087, 890 at time 1607967103180
Got attacked at 2087, 890 by Unit@e4b002 at time 1607967103243
Moved to 2086, 889 at time 1607967103334
Moved to 2085, 888 at time 1607967103381
Moved to 2084, 887 at time 1607967103538
Moved to 2083, 886 at time 1607967103632
Moved to 2082, 885 at time 1607967103688
Moved to 2081, 884 at time 1607967103800
Moved to 2080, 883 at time 1607967103812
Moved to 2079, 882 at time 1607967103947
Moved to 2078, 881 at time 1607967104229
Moved to 2077, 880 at time 1607967104244
Got attacked at 2077, 880 by Unit@e4b002 at time 1607967104511
Moved to 2076, 879 at time 1607967104578
Moved to 2075, 878 at time 1607967104592
Moved to 2074, 877 at time 1607967105000
Moved to 2073, 876 at time 1607967105033
Moved to 2072, 875 at time 1607967105562
Got attacked at 2072, 875 by Unit@e4b002 at time 1607967105696
Moved to 2071, 874 at time 1607967105726
Moved to 2070, 873 at time 1607967105740
Moved to 2069, 872 at time 1607967106035
Moved to 2068, 871 at time 1607967106105
Moved to 2067, 870 at time 1607967106444
Moved to 2066, 869 at time 1607967106485
Moved to 2065, 868 at time 1607967106800
Moved to 2064, 867 at time 1607967106875
Got attacked at 2064, 867 by Unit@e4b002 at time 1607967106889
Moved to 2063, 866 at time 1607967107171
Moved to 2062, 865 at time 1607967107213
Moved to 2061, 864 at time 1607967107452
Moved to 2060, 863 at time 1607967107496
Moved to 2059, 862 at time 1607967107650
Moved to 2058, 861 at time 1607967107662
Moved to 2057, 860 at time 1607967107797
Moved to 2056, 859 at time 1607967107931
Got attacked at 2056, 859 by Unit@e4b002 at time 1607967108021
Moved to 2055, 858 at time 1607967108065
Moved to 2054, 857 at time 1607967108191
Moved to 2053, 856 at time 1607967108311
Moved to 2052, 855 at time 1607967108422
Moved to 2051, 854 at time 1607967108550
Moved to 2050, 853 at time 1607967108712
Moved to 2049, 852 at time 1607967109071
Got attacked at 2049, 852 by Unit@e4b002 at time 1607967109431
Moved to 2048, 851 at time 1607967109477
Moved to 2047, 850 at time 1607967109935
Moved to 2046, 849 at time 1607967110096
Moved to 2045, 848 at time 1607967110512
Moved to 2044, 847 at time 1607967110533
Got attacked at 2044, 847 by Unit@e4b002 at time 1607967110960
Moved to 2043, 846 at time 1607967110960
Moved to 2042, 845 at time 1607967111370
Moved to 2041, 844 at time 1607967111778
Moved to 2040, 843 at time 1607967111818
Moved to 2039, 842 at time 1607967112025
Moved to 2038, 841 at time 1607967112041
Got attacked at 2038, 841 by Unit@e4b002 at time 1607967112249
Moved to 2037, 840 at time 1607967112265
Moved to 2036, 839 at time 1607967112283
Moved to 2035, 838 at time 1607967112606
Moved to 2034, 837 at time 1607967112633
Moved to 2033, 836 at time 1607967112978
Moved to 2032, 835 at time 1607967113028
Moved to 2031, 834 at time 1607967113383
Moved to 2030, 833 at time 1607967113475
Got attacked at 2030, 833 by Unit@e4b002 at time 1607967113497
Moved to 2029, 832 at time 1607967113858
Moved to 2028, 831 at time 1607967113932
Moved to 2027, 830 at time 1607967114300
Moved to 2026, 829 at time 1607967114355
Moved to 2025, 828 at time 1607967114747
Moved to 2024, 827 at time 1607967114788
Got attacked at 2024, 827 by Unit@e4b002 at time 1607967114928
Moved to 2023, 826 at time 1607967115151
Moved to 2022, 825 at time 1607967115209
Moved to 2021, 824 at time 1607967115553
Moved to 2020, 823 at time 1607967115576
Moved to 2019, 822 at time 1607967115799
Moved to 2018, 821 at time 1607967115817
Moved to 2017, 820 at time 1607967116018
Moved to 2016, 819 at time 1607967116058
Moved to 2015, 818 at time 1607967116329
Got attacked at 2015, 818 by Unit@e4b002 at time 1607967116366
Moved to 2014, 817 at time 1607967116400
Moved to 2013, 816 at time 1607967116631
Moved to 2012, 815 at time 1607967116855
Moved to 2011, 814 at time 1607967116919
Moved to 2010, 813 at time 1607967117032
Moved to 2009, 812 at time 1607967117146
Moved to 2008, 811 at time 1607967117338
Moved to 2007, 810 at time 1607967117442
Got attacked at 2007, 810 by Unit@e4b002 at time 1607967117546
Moved to 2006, 809 at time 1607967117575
Moved to 2005, 808 at time 1607967117681
Moved to 2004, 807 at time 1607967117889
Moved to 2003, 806 at time 1607967118050
Moved to 2002, 805 at time 1607967118292
Moved to 2001, 804 at time 1607967118428
Moved to 2000, 803 at time 1607967118685
Got attacked at 2000, 803 by Unit@e4b002 at time 1607967118816
Moved to 1999, 802 at time 1607967119003
Moved to 1998, 801 at time 1607967119107
Moved to 1997, 800 at time 1607967119385
Moved to 1996, 799 at time 1607967119501
Moved to 1995, 798 at time 1607967119683
Moved to 1994, 797 at time 1607967119815
Moved to 1993, 796 at time 1607967119829
Moved to 1992, 795 at time 1607967119916
Got attacked at 1992, 795 by Unit@e4b002 at time 1607967119930
Moved to 1991, 794 at time 1607967120035
Moved to 1990, 793 at time 1607967120163
Moved to 1989, 792 at time 1607967120223
Moved to 1988, 791 at time 1607967120249
Moved to 1987, 790 at time 1607967120329
Moved to 1986, 789 at time 1607967120355
Moved to 1985, 788 at time 1607967120429
Moved to 1984, 787 at time 1607967120472
Moved to 1983, 786 at time 1607967120556
Moved to 1982, 785 at time 1607967120660
Moved to 1981, 784 at time 1607967120752
Moved to 1980, 783 at time 1607967120871
Moved to 1979, 782 at time 1607967120968
Moved to 1978, 781 at time 1607967121066
Got attacked at 1978, 781 by Unit@e4b002 at time 1607967121092
Moved to 1977, 780 at time 1607967121204
Moved to 1976, 779 at time 1607967121311
Moved to 1975, 778 at time 1607967121366
Moved to 1974, 777 at time 1607967121462
Moved to 1973, 776 at time 1607967121481
Moved to 1972, 775 at time 1607967121557
Moved to 1971, 774 at time 1607967121576
Moved to 1970, 773 at time 1607967121655
Moved to 1969, 772 at time 1607967121668
Moved to 1968, 771 at time 1607967121739
Moved to 1967, 770 at time 1607967121757
Moved to 1966, 769 at time 1607967121850
Moved to 1965, 768 at time 1607967121906
Moved to 1964, 767 at time 1607967121939
Moved to 1963, 766 at time 1607967121983
Moved to 1962, 765 at time 1607967122020
Moved to 1961, 764 at time 1607967122067
Moved to 1960, 763 at time 1607967122078
Moved to 1959, 762 at time 1607967122177
Got attacked at 1959, 762 by Unit@e4b002 at time 1607967122221
Moved to 1958, 761 at time 1607967122240
Moved to 1957, 760 at time 1607967122321
Moved to 1956, 759 at time 1607967122397
Moved to 1955, 758 at time 1607967122469
Moved to 1954, 757 at time 1607967122541
Moved to 1953, 756 at time 1607967122553
Moved to 1952, 755 at time 1607967122622
Moved to 1951, 754 at time 1607967122637
Moved to 1950, 753 at time 1607967122700
Moved to 1949, 752 at time 1607967122780
Moved to 1948, 751 at time 1607967122839
Moved to 1947, 750 at time 1607967122870
Moved to 1946, 749 at time 1607967122924
Moved to 1945, 748 at time 1607967122950
Moved to 1944, 747 at time 1607967123109
Moved to 1943, 746 at time 1607967123454
Moved to 1942, 745 at time 1607967123612
Moved to 1941, 744 at time 1607967123811
Moved to 1940, 743 at time 1607967123974
Moved to 1939, 742 at time 1607967124165
Moved to 1938, 741 at time 1607967124286
Moved to 1937, 740 at time 1607967124357
Moved to 1936, 739 at time 1607967124406
Moved to 1935, 738 at time 1607967124418
Moved to 1934, 737 at time 1607967124438
Moved to 1933, 736 at time 1607967124508
Moved to 1932, 735 at time 1607967124529
Moved to 1931, 734 at time 1607967124601
Moved to 1930, 733 at time 1607967124622
Moved to 1929, 732 at time 1607967124688
