Moved to 1372, 3336 at time 1607969349764
Moved to 1371, 3335 at time 1607969394737
Moved to 1370, 3334 at time 1607969394875
Moved to 1369, 3333 at time 1607969394947
Moved to 1368, 3332 at time 1607969395035
Moved to 1367, 3331 at time 1607969395135
Moved to 1366, 3330 at time 1607969395414
Moved to 1365, 3329 at time 1607969395708
Moved to 1364, 3328 at time 1607969395858
Moved to 1363, 3327 at time 1607969395910
Moved to 1362, 3326 at time 1607969396307
Moved to 1361, 3325 at time 1607969396448
Moved to 1360, 3324 at time 1607969396636
Moved to 1359, 3323 at time 1607969396839
Moved to 1358, 3322 at time 1607969397129
Moved to 1357, 3321 at time 1607969397249
Moved to 1356, 3320 at time 1607969397471
Moved to 1355, 3319 at time 1607969397848
Moved to 1354, 3318 at time 1607969398004
Moved to 1353, 3317 at time 1607969398306
Moved to 1352, 3316 at time 1607969398606
Moved to 1351, 3315 at time 1607969398699
Moved to 1350, 3314 at time 1607969398929
Moved to 1349, 3313 at time 1607969399159
Moved to 1348, 3312 at time 1607969399224
Moved to 1347, 3311 at time 1607969399294
Moved to 1346, 3310 at time 1607969399367
Moved to 1345, 3309 at time 1607969399438
Moved to 1344, 3308 at time 1607969399539
Moved to 1343, 3307 at time 1607969399574
Moved to 1342, 3306 at time 1607969399667
Moved to 1341, 3305 at time 1607969399705
Moved to 1340, 3304 at time 1607969399810
Moved to 1339, 3303 at time 1607969399852
Moved to 1338, 3302 at time 1607969399887
Moved to 1337, 3301 at time 1607969400064
Moved to 1336, 3300 at time 1607969400227
Moved to 1335, 3299 at time 1607969400305
Moved to 1334, 3298 at time 1607969400378
Moved to 1333, 3297 at time 1607969400486
Moved to 1332, 3296 at time 1607969400598
Moved to 1331, 3295 at time 1607969400640
Moved to 1330, 3294 at time 1607969400727
Moved to 1329, 3293 at time 1607969400813
Moved to 1328, 3292 at time 1607969400853
Moved to 1327, 3291 at time 1607969400964
Moved to 1326, 3290 at time 1607969401108
Moved to 1325, 3289 at time 1607969401180
Moved to 1324, 3288 at time 1607969401500
Moved to 1323, 3287 at time 1607969401585
Moved to 1322, 3286 at time 1607969401778
Moved to 1321, 3285 at time 1607969401854
Moved to 1320, 3284 at time 1607969401989
Moved to 1319, 3283 at time 1607969402120
Moved to 1318, 3282 at time 1607969402154
Moved to 1317, 3281 at time 1607969402284
Moved to 1316, 3280 at time 1607969402453
Moved to 1315, 3279 at time 1607969402557
Moved to 1314, 3278 at time 1607969402592
Moved to 1313, 3277 at time 1607969402729
Moved to 1312, 3276 at time 1607969402874
Moved to 1311, 3275 at time 1607969403006
Moved to 1310, 3274 at time 1607969403149
Moved to 1309, 3273 at time 1607969403262
Moved to 1308, 3272 at time 1607969403454
Moved to 1307, 3271 at time 1607969403701
Moved to 1306, 3270 at time 1607969403917
Moved to 1305, 3269 at time 1607969404240
Moved to 1304, 3268 at time 1607969404488
Moved to 1303, 3267 at time 1607969404673
Moved to 1302, 3266 at time 1607969404875
Moved to 1301, 3265 at time 1607969404993
Moved to 1300, 3264 at time 1607969405068
Moved to 1299, 3263 at time 1607969405102
Moved to 1298, 3262 at time 1607969405293
Moved to 1297, 3261 at time 1607969405446
Moved to 1296, 3260 at time 1607969405543
Moved to 1295, 3259 at time 1607969405590
Moved to 1294, 3258 at time 1607969405658
Moved to 1293, 3257 at time 1607969405771
Moved to 1292, 3256 at time 1607969405845
Moved to 1291, 3255 at time 1607969405878
Moved to 1290, 3254 at time 1607969405914
Moved to 1289, 3253 at time 1607969405948
Moved to 1288, 3252 at time 1607969406039
Moved to 1287, 3251 at time 1607969406126
Moved to 1286, 3250 at time 1607969406207
Moved to 1285, 3249 at time 1607969406241
Moved to 1284, 3248 at time 1607969406330
Moved to 1283, 3247 at time 1607969406379
Moved to 1282, 3246 at time 1607969406469
Moved to 1281, 3245 at time 1607969406506
Moved to 1280, 3244 at time 1607969406590
Moved to 1279, 3243 at time 1607969406690
Moved to 1278, 3242 at time 1607969406754
Moved to 1277, 3241 at time 1607969406945
Moved to 1276, 3240 at time 1607969407109
Moved to 1275, 3239 at time 1607969407331
Moved to 1274, 3238 at time 1607969407487
Moved to 1273, 3237 at time 1607969407660
Moved to 1272, 3236 at time 1607969407824
Moved to 1271, 3235 at time 1607969407908
Moved to 1270, 3234 at time 1607969407947
Moved to 1269, 3233 at time 1607969408011
Moved to 1268, 3232 at time 1607969408051
Moved to 1267, 3231 at time 1607969408105
Moved to 1266, 3230 at time 1607969408173
Moved to 1265, 3229 at time 1607969408223
Moved to 1264, 3228 at time 1607969408274
Moved to 1263, 3227 at time 1607969408334
Moved to 1262, 3226 at time 1607969408387
Moved to 1261, 3225 at time 1607969408558
Moved to 1260, 3224 at time 1607969408650
Moved to 1259, 3223 at time 1607969408699
Moved to 1258, 3222 at time 1607969408795
Moved to 1257, 3221 at time 1607969408892
Moved to 1256, 3220 at time 1607969408941
Moved to 1255, 3219 at time 1607969409011
Moved to 1254, 3218 at time 1607969409068
Moved to 1253, 3217 at time 1607969409118
Moved to 1252, 3216 at time 1607969409157
Moved to 1251, 3215 at time 1607969409224
Moved to 1250, 3214 at time 1607969409318
Moved to 1249, 3213 at time 1607969409362
Moved to 1248, 3212 at time 1607969409411
Moved to 1247, 3211 at time 1607969409476
Moved to 1246, 3210 at time 1607969409516
Moved to 1245, 3209 at time 1607969409586
Moved to 1244, 3208 at time 1607969409679
Moved to 1243, 3207 at time 1607969409760
Moved to 1242, 3206 at time 1607969409840
Moved to 1241, 3205 at time 1607969409910
Moved to 1240, 3204 at time 1607969409993
Moved to 1239, 3203 at time 1607969410036
Moved to 1238, 3202 at time 1607969410098
Moved to 1237, 3201 at time 1607969410191
Moved to 1236, 3200 at time 1607969410266
Moved to 1235, 3199 at time 1607969410360
Moved to 1234, 3198 at time 1607969410398
Moved to 1233, 3197 at time 1607969410471
Moved to 1232, 3196 at time 1607969410511
Moved to 1231, 3195 at time 1607969410570
Moved to 1230, 3194 at time 1607969410614
Moved to 1229, 3193 at time 1607969410705
Moved to 1228, 3192 at time 1607969410759
Moved to 1227, 3191 at time 1607969410804
Moved to 1226, 3190 at time 1607969410867
Moved to 1225, 3189 at time 1607969410905
