Moved to 2051, 716 at time 1607969349734
Moved to 2050, 715 at time 1607969349769
Moved to 2049, 714 at time 1607969394755
Moved to 2048, 713 at time 1607969394868
Moved to 2047, 712 at time 1607969394956
Moved to 2046, 711 at time 1607969395026
Moved to 2045, 710 at time 1607969395145
Moved to 2044, 709 at time 1607969395392
Moved to 2043, 708 at time 1607969395439
Moved to 2042, 707 at time 1607969395475
Moved to 2041, 706 at time 1607969395670
Moved to 2040, 705 at time 1607969395734
Moved to 2039, 704 at time 1607969395816
Moved to 2038, 703 at time 1607969395962
Moved to 2037, 702 at time 1607969396127
Moved to 2036, 701 at time 1607969396350
Moved to 2035, 700 at time 1607969396409
Moved to 2034, 699 at time 1607969396745
Moved to 2033, 698 at time 1607969396810
Moved to 2032, 697 at time 1607969396899
Moved to 2031, 696 at time 1607969396935
Moved to 2030, 695 at time 1607969397070
Moved to 2029, 694 at time 1607969397191
Moved to 2028, 693 at time 1607969397226
Moved to 2027, 692 at time 1607969397280
Moved to 2026, 691 at time 1607969397377
Moved to 2025, 690 at time 1607969397469
Moved to 2024, 689 at time 1607969397735
Moved to 2023, 688 at time 1607969397821
Moved to 2022, 687 at time 1607969397855
Moved to 2021, 686 at time 1607969398003
Moved to 2020, 685 at time 1607969398050
Moved to 2019, 684 at time 1607969398248
Moved to 2018, 683 at time 1607969398373
Moved to 2017, 682 at time 1607969398566
Moved to 2016, 681 at time 1607969398623
Moved to 2015, 680 at time 1607969398680
Moved to 2014, 679 at time 1607969398740
Moved to 2013, 678 at time 1607969398882
Moved to 2012, 677 at time 1607969398989
Moved to 2011, 676 at time 1607969399110
Moved to 2010, 675 at time 1607969399239
Moved to 2009, 674 at time 1607969399281
Moved to 2008, 673 at time 1607969399317
Moved to 2007, 672 at time 1607969399351
Moved to 2006, 671 at time 1607969399464
Moved to 2005, 670 at time 1607969399520
Moved to 2004, 669 at time 1607969399598
Moved to 2003, 668 at time 1607969399697
Moved to 2002, 667 at time 1607969399738
Moved to 2001, 666 at time 1607969399777
Moved to 2000, 665 at time 1607969399821
Moved to 1999, 664 at time 1607969399965
Moved to 1998, 663 at time 1607969400157
Moved to 1997, 662 at time 1607969400272
Moved to 1996, 661 at time 1607969400341
Moved to 1995, 660 at time 1607969400417
Moved to 1994, 659 at time 1607969400538
Moved to 1993, 658 at time 1607969400624
Moved to 1992, 657 at time 1607969400684
Moved to 1991, 656 at time 1607969400745
Moved to 1990, 655 at time 1607969400793
