Moved to 396, 987 at time 1607970910775
Moved to 397, 988 at time 1607970910815
Moved to 398, 989 at time 1607970910864
Moved to 399, 990 at time 1607970910905
Moved to 400, 991 at time 1607970910939
Moved to 401, 992 at time 1607970946946
Moved to 402, 993 at time 1607970946989
Moved to 403, 994 at time 1607970947026
Moved to 404, 995 at time 1607970947095
Moved to 405, 996 at time 1607970947129
Moved to 406, 997 at time 1607970947169
Moved to 407, 998 at time 1607970947205
Moved to 408, 999 at time 1607970947239
Moved to 409, 1000 at time 1607970947273
Moved to 410, 1001 at time 1607970947420
Moved to 411, 1002 at time 1607970947488
Moved to 412, 1003 at time 1607970947555
Moved to 413, 1004 at time 1607970947625
Moved to 414, 1005 at time 1607970947693
Moved to 415, 1006 at time 1607970947760
Moved to 416, 1007 at time 1607970947829
Moved to 417, 1008 at time 1607970947896
Moved to 418, 1009 at time 1607970947963
Moved to 419, 1010 at time 1607970948096
Moved to 420, 1011 at time 1607970948163
Moved to 421, 1012 at time 1607970948232
Moved to 422, 1013 at time 1607970948301
Moved to 423, 1014 at time 1607970948370
Moved to 424, 1015 at time 1607970948441
Moved to 425, 1016 at time 1607970948510
Moved to 426, 1017 at time 1607970948576
Moved to 427, 1018 at time 1607970948644
Moved to 428, 1019 at time 1607970948711
Moved to 429, 1020 at time 1607970948779
Moved to 430, 1021 at time 1607970948846
Moved to 431, 1022 at time 1607970948913
Moved to 432, 1023 at time 1607970948980
Moved to 433, 1024 at time 1607970949047
Moved to 434, 1025 at time 1607970949117
Moved to 435, 1026 at time 1607970949184
Moved to 436, 1027 at time 1607970949251
Moved to 437, 1028 at time 1607970949320
Moved to 438, 1029 at time 1607970949395
Moved to 439, 1030 at time 1607970949465
Moved to 440, 1031 at time 1607970949598
Moved to 441, 1032 at time 1607970949668
Moved to 442, 1033 at time 1607970949735
Moved to 443, 1034 at time 1607970949828
Moved to 444, 1035 at time 1607970949895
Moved to 445, 1036 at time 1607970949964
Moved to 446, 1037 at time 1607970950031
Moved to 447, 1038 at time 1607970950098
Moved to 448, 1039 at time 1607970950167
Moved to 449, 1040 at time 1607970950235
Moved to 450, 1041 at time 1607970950311
Moved to 451, 1042 at time 1607970950380
Moved to 452, 1043 at time 1607970950451
Moved to 453, 1044 at time 1607970950584
Moved to 454, 1045 at time 1607970950655
Moved to 455, 1046 at time 1607970950722
Moved to 456, 1047 at time 1607970950795
Moved to 457, 1048 at time 1607970950863
Moved to 458, 1049 at time 1607970950931
Moved to 459, 1050 at time 1607970950998
Moved to 460, 1051 at time 1607970951070
Moved to 461, 1052 at time 1607970951138
Moved to 462, 1053 at time 1607970951205
Moved to 463, 1054 at time 1607970951272
Moved to 465, 1055 at time 1607970951407
Moved to 466, 1056 at time 1607970951474
Moved to 467, 1057 at time 1607970951541
Moved to 469, 1058 at time 1607970951679
Moved to 470, 1059 at time 1607970951713
Moved to 471, 1060 at time 1607970951748
Moved to 472, 1061 at time 1607970951782
Moved to 473, 1062 at time 1607970951849
Moved to 474, 1063 at time 1607970951885
Moved to 475, 1062 at time 1607970951919
Moved to 476, 1063 at time 1607970951955
Moved to 477, 1064 at time 1607970951992
Moved to 478, 1065 at time 1607970952039
Moved to 479, 1066 at time 1607970952073
Moved to 480, 1067 at time 1607970952107
Moved to 481, 1068 at time 1607970952144
Moved to 482, 1069 at time 1607970952211
Moved to 483, 1070 at time 1607970952246
Moved to 484, 1071 at time 1607970952313
Moved to 485, 1072 at time 1607970952347
Moved to 486, 1071 at time 1607970952382
Moved to 487, 1072 at time 1607970952417
Moved to 488, 1071 at time 1607970952452
Moved to 489, 1072 at time 1607970952486
Moved to 490, 1073 at time 1607970952521
Moved to 491, 1072 at time 1607970952556
Moved to 492, 1073 at time 1607970952590
Moved to 493, 1072 at time 1607970952624
Moved to 494, 1073 at time 1607970952693
Moved to 495, 1074 at time 1607970952727
Moved to 496, 1073 at time 1607970952761
Moved to 497, 1072 at time 1607970952796
Moved to 498, 1073 at time 1607970952829
Moved to 499, 1072 at time 1607970952863
Moved to 500, 1073 at time 1607970952898
Moved to 501, 1072 at time 1607970952932
Attacked Unit@2eb31456at position 770, 1051 at time 1607970952966
